tag,protocol,miners,seed,wall_s,main_blocks,stale_pct,accepted,legit_stales,obs_round,obs_parent,obs_template,obs_generation,obs_difficulty,invalid,exhausted_rounds,template_refreshes,scheduled,processed,queue_peak,eff_interval_s,energy_kwh
PoCol_N100_seed1,PoCol,100,1,0.96,12,0,12,0,0,0,0,10,0,0,3,3,22,22,104,833.3333333333334,8.420833333333343
PoCol_N100_seed2,PoCol,100,2,1.11,17,0,17,0,0,0,0,15,0,0,2,2,32,32,105,588.2352941176471,8.420833333333343
PoCol_N100_seed3,PoCol,100,3,1.31,22,0,22,0,0,0,0,33,0,0,2,2,55,55,108,454.54545454545456,8.420833333333345
PoCol_N100_seed4,PoCol,100,4,1.05,14,0,14,0,0,0,0,14,0,0,4,4,28,28,105,714.2857142857143,8.420833333333345
PoCol_N100_seed5,PoCol,100,5,1.08,16,0,16,0,0,0,0,25,0,0,1,1,41,41,108,625.0,8.420833333333345
PoCol_N200_seed1,PoCol,200,1,1.29,15,0,15,0,0,0,0,15,0,0,4,4,30,30,204,666.6666666666666,8.420833333333311
PoCol_N200_seed2,PoCol,200,2,1.37,15,0,15,0,0,0,0,31,0,0,4,4,46,46,211,666.6666666666666,8.420833333333311
PoCol_N200_seed3,PoCol,200,3,2.2,24,0,24,0,0,0,0,25,0,0,2,2,49,49,208,416.6666666666667,8.420833333333311
PoCol_N300_seed1,PoCol,300,1,2.38,22,0,22,0,0,0,0,19,0,0,2,2,41,41,306,454.54545454545456,8.420833333333293
PoCol_N300_seed2,PoCol,300,2,1.87,14,0,14,0,0,0,0,13,0,0,4,4,27,27,305,714.2857142857143,8.420833333333293
PoCol_N300_seed3,PoCol,300,3,1.93,14,0,14,0,0,0,0,13,0,0,4,4,27,27,307,714.2857142857143,8.420833333333293
PoCol_N400_seed1,PoCol,400,1,3.02,19,0,19,0,0,0,0,21,0,0,1,1,40,40,407,526.3157894736842,8.420833333333311
PoCol_N400_seed2,PoCol,400,2,3.33,22,0,22,0,0,0,0,38,0,0,3,3,60,60,411,454.54545454545456,8.420833333333311
PoCol_N400_seed3,PoCol,400,3,1.85,11,0,11,0,0,0,0,20,0,0,4,4,31,31,408,909.0909090909091,8.420833333333311
PoCol_N500_seed1,PoCol,500,1,3.1,17,0,17,0,0,0,0,21,0,0,4,4,38,38,505,588.2352941176471,8.420833333333418
PoCol_N500_seed2,PoCol,500,2,3.52,21,0,21,0,0,0,0,46,0,0,3,3,67,67,513,476.1904761904762,8.420833333333418
PoCol_N500_seed3,PoCol,500,3,2.64,13,0,13,0,0,0,0,17,0,0,2,2,30,30,506,769.2307692307693,8.420833333333418
PoCol_N500_seed4,PoCol,500,4,2.07,10,0,10,0,0,0,0,6,0,0,4,4,16,16,503,1000.0,8.420833333333418
PoCol_N500_seed5,PoCol,500,5,3.13,16,0,16,0,0,0,0,21,0,0,3,3,37,37,567,625.0,8.420833333333418
PoW_N100_seed1,PoW,100,1,1.07,13,0,,,,,,,,,,,,,,,8.420833333333343
PoW_N100_seed2,PoW,100,2,1.36,17,0,,,,,,,,,,,,,,,8.420833333333343
PoW_N100_seed3,PoW,100,3,0.92,21,0,,,,,,,,,,,,,,,8.420833333333343
PoW_N100_seed4,PoW,100,4,0.96,23,0,,,,,,,,,,,,,,,8.420833333333343
PoW_N100_seed5,PoW,100,5,0.96,23,0,,,,,,,,,,,,,,,8.420833333333345
PoW_N200_seed1,PoW,200,1,1.52,18,0,,,,,,,,,,,,,,,8.420833333333311
PoW_N200_seed2,PoW,200,2,1.44,23,0,,,,,,,,,,,,,,,8.420833333333311
PoW_N200_seed3,PoW,200,3,0.97,12,0,,,,,,,,,,,,,,,8.420833333333311
PoW_N300_seed1,PoW,300,1,1.11,11,0,,,,,,,,,,,,,,,8.420833333333293
PoW_N300_seed2,PoW,300,2,1.38,14,0,,,,,,,,,,,,,,,8.420833333333293
PoW_N300_seed3,PoW,300,3,1.41,14,0,,,,,,,,,,,,,,,8.420833333333293
PoW_N400_seed1,PoW,400,1,1.73,14,0,,,,,,,,,,,,,,,8.420833333333311
PoW_N400_seed2,PoW,400,2,1.53,12,0,,,,,,,,,,,,,,,8.420833333333311
PoW_N400_seed3,PoW,400,3,1.83,13,0,,,,,,,,,,,,,,,8.420833333333311
PoW_N500_seed1,PoW,500,1,2.93,19,0,,,,,,,,,,,,,,,8.420833333333418
PoW_N500_seed2,PoW,500,2,2.4,18,0,,,,,,,,,,,,,,,8.420833333333418
PoW_N500_seed3,PoW,500,3,2.22,15,0,,,,,,,,,,,,,,,8.420833333333418
PoW_N500_seed4,PoW,500,4,2.43,19,0,,,,,,,,,,,,,,,8.420833333333418
PoW_N500_seed5,PoW,500,5,2.45,19,0,,,,,,,,,,,,,,,8.420833333333418
