run_id,hypothesis_id,matrix_class,scenario_id,underlying_execution_model,interpretation_labels,seed,miner_count,network_hash_rate_hps,efficiency_j_per_th,simulation_duration_s,target_block_interval_s,propagation_delay_mean_s,hash_rate_distribution,mu,inactive_miner_fraction,idle_power_ratio,allocation_policy,configuration_hash,expected_output_path,planned_status
S5-00000,H1;H2,CORE,B0,bitcoin_independent_pow,B0,20260201,100,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,94a33f34075368d0,results/thesis_revision_v43/stage_05b/raw/S5-00000.summary.json,PLANNED
S5-00001,H1;H2,CORE,B0,bitcoin_independent_pow,B0,20260202,100,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,d7a6bcd10f327907,results/thesis_revision_v43/stage_05b/raw/S5-00001.summary.json,PLANNED
S5-00002,H1;H2,CORE,B0,bitcoin_independent_pow,B0,20260203,100,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,5eb61a917b39893a,results/thesis_revision_v43/stage_05b/raw/S5-00002.summary.json,PLANNED
S5-00003,H1;H2,CORE,B0,bitcoin_independent_pow,B0,20260204,100,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,32d457aeafee1858,results/thesis_revision_v43/stage_05b/raw/S5-00003.summary.json,PLANNED
S5-00004,H1;H2,CORE,B0,bitcoin_independent_pow,B0,20260205,100,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,313a99046f3360cb,results/thesis_revision_v43/stage_05b/raw/S5-00004.summary.json,PLANNED
S5-00005,H1;H2,CORE,B0,bitcoin_independent_pow,B0,20260206,100,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,09c1cbc4cd405d3d,results/thesis_revision_v43/stage_05b/raw/S5-00005.summary.json,PLANNED
S5-00006,H1;H2,CORE,B0,bitcoin_independent_pow,B0,20260207,100,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,2d53f863db9bca48,results/thesis_revision_v43/stage_05b/raw/S5-00006.summary.json,PLANNED
S5-00007,H1;H2,CORE,B0,bitcoin_independent_pow,B0,20260208,100,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,e540b0cfbd30f76b,results/thesis_revision_v43/stage_05b/raw/S5-00007.summary.json,PLANNED
S5-00008,H1;H2,CORE,B0,bitcoin_independent_pow,B0,20260209,100,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,8b85fff861309808,results/thesis_revision_v43/stage_05b/raw/S5-00008.summary.json,PLANNED
S5-00009,H1;H2,CORE,B0,bitcoin_independent_pow,B0,20260210,100,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,20ebba92a768f61e,results/thesis_revision_v43/stage_05b/raw/S5-00009.summary.json,PLANNED
