run_id,scenario_id,interpretation_labels,reused_by_hypotheses,hypothesis_id,matrix_class,seed,miner_count,underlying_execution_model,network_hash_rate_hps,efficiency_j_per_th,simulation_duration_s,target_block_interval_s,propagation_delay_mean_s,hash_rate_distribution,mu,inactive_miner_fraction,idle_power_ratio,allocation_policy,configuration_hash,execution_semantics_hash,analysis_group_hash,validation_only,retain_full_log,expected_output_path,planned_status
S5B2-00000,B0,B0,,H1;A1,CORE,20260201,100,independent_full_parallel,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,ff1119e1afeb1b82,b93fa3698899129f,41108ac0904fb97d,False,True,results/thesis_revision_v43/stage_05b2/raw/S5B2-00000.summary.json,PLANNED
S5B2-00001,B0,B0,,H1;A1,CORE,20260202,100,independent_full_parallel,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,eeb4ffd9ded09fdc,710851fa6a5acf7f,41108ac0904fb97d,False,False,results/thesis_revision_v43/stage_05b2/raw/S5B2-00001.summary.json,PLANNED
S5B2-00002,B0,B0,,H1;A1,CORE,20260203,100,independent_full_parallel,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,11aa6cbc7de65f17,656a91625890b22a,41108ac0904fb97d,False,False,results/thesis_revision_v43/stage_05b2/raw/S5B2-00002.summary.json,PLANNED
S5B2-00003,B0,B0,,H1;A1,CORE,20260204,100,independent_full_parallel,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,4fc7e5bc6ae88880,ca0661cab10e54f8,41108ac0904fb97d,False,False,results/thesis_revision_v43/stage_05b2/raw/S5B2-00003.summary.json,PLANNED
S5B2-00004,B0,B0,,H1;A1,CORE,20260205,100,independent_full_parallel,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,f586e985a17610d5,73a48e25dac5e531,41108ac0904fb97d,False,False,results/thesis_revision_v43/stage_05b2/raw/S5B2-00004.summary.json,PLANNED
S5B2-00005,B0,B0,,H1;A1,CORE,20260206,100,independent_full_parallel,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,17ec87bdd28c2b5f,d4d83396ad0c74c2,41108ac0904fb97d,False,False,results/thesis_revision_v43/stage_05b2/raw/S5B2-00005.summary.json,PLANNED
S5B2-00006,B0,B0,,H1;A1,CORE,20260207,100,independent_full_parallel,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,27ced87d5c46e16d,3defa706c621ea41,41108ac0904fb97d,False,False,results/thesis_revision_v43/stage_05b2/raw/S5B2-00006.summary.json,PLANNED
S5B2-00007,B0,B0,,H1;A1,CORE,20260208,100,independent_full_parallel,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,5286124c79944256,7aacf28220bcec91,41108ac0904fb97d,False,False,results/thesis_revision_v43/stage_05b2/raw/S5B2-00007.summary.json,PLANNED
S5B2-00008,B0,B0,,H1;A1,CORE,20260209,100,independent_full_parallel,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,16111c245a6fbed6,3228db9a15bdf666,41108ac0904fb97d,False,False,results/thesis_revision_v43/stage_05b2/raw/S5B2-00008.summary.json,PLANNED
S5B2-00009,B0,B0,,H1;A1,CORE,20260210,100,independent_full_parallel,141000000000000.0,21.5,10000.0,600.0,0.42,homogeneous,2.0,0.0,0.0,disjoint_equal,487cd3fe146f513c,4ed6c3609ab822b0,41108ac0904fb97d,False,False,results/thesis_revision_v43/stage_05b2/raw/S5B2-00009.summary.json,PLANNED
