chunk_name,archive_letter,archive_name,reconstructs_original_directory,archive_original_file_count,chunk_bytes,chunk_sha256,availability_class,remote_branch,remote_commit,committed_path,roundtrip_verified
stage5b2-per-miner-generation.tar.part-000,A,stage5b2-per-miner-generation,per_miner_generation,63,41943040,809b6454a98be5e25df562c6b451fc5fd65a35a8609a2056a99430c2d15d2551,AVAILABLE_REMOTE_GIT,thesis-v43-stage5b2-data-1,b44975dd0803e3912f6151398a5a93c34eb95082,results/thesis_revision_v43/stage_05b2/bulk_archives/stage5b2-per-miner-generation.tar.part-000,true
stage5b2-per-miner-generation.tar.part-001,A,stage5b2-per-miner-generation,per_miner_generation,63,41943040,91604e435b30fa50fb0164edad78e79be46c4b846812e31cbe958675721deed1,AVAILABLE_REMOTE_GIT,thesis-v43-stage5b2-data-1,b44975dd0803e3912f6151398a5a93c34eb95082,results/thesis_revision_v43/stage_05b2/bulk_archives/stage5b2-per-miner-generation.tar.part-001,true
stage5b2-per-miner-generation.tar.part-002,A,stage5b2-per-miner-generation,per_miner_generation,63,41943040,ac97e48e1a32f2265bd40a70f5ea3bfb888f42dc3015f2866f4cf037aec697b9,AVAILABLE_REMOTE_GIT,thesis-v43-stage5b2-data-1,b44975dd0803e3912f6151398a5a93c34eb95082,results/thesis_revision_v43/stage_05b2/bulk_archives/stage5b2-per-miner-generation.tar.part-002,true
stage5b2-per-miner-generation.tar.part-003,A,stage5b2-per-miner-generation,per_miner_generation,63,41943040,47e19f1aecf4797f667a299282af8da615125a9cf63625b94e76ce98a2fc2eda,AVAILABLE_REMOTE_GIT,thesis-v43-stage5b2-data-1,b44975dd0803e3912f6151398a5a93c34eb95082,results/thesis_revision_v43/stage_05b2/bulk_archives/stage5b2-per-miner-generation.tar.part-003,true
stage5b2-per-miner-generation.tar.part-004,A,stage5b2-per-miner-generation,per_miner_generation,63,41943040,edbea27f44f52de950749fcdd42d2191e6674c79572bd215d99f19e0493dd548,AVAILABLE_REMOTE_GIT,thesis-v43-stage5b2-data-1,b44975dd0803e3912f6151398a5a93c34eb95082,results/thesis_revision_v43/stage_05b2/bulk_archives/stage5b2-per-miner-generation.tar.part-004,true
stage5b2-per-miner-generation.tar.part-005,A,stage5b2-per-miner-generation,per_miner_generation,63,41943040,4d49efc707900b55aab4d30fbcea7c3beaef6347901b7223bbccb728ecd1b4be,AVAILABLE_REMOTE_GIT,thesis-v43-stage5b2-data-1,b44975dd0803e3912f6151398a5a93c34eb95082,results/thesis_revision_v43/stage_05b2/bulk_archives/stage5b2-per-miner-generation.tar.part-005,true
stage5b2-per-miner-generation.tar.part-006,A,stage5b2-per-miner-generation,per_miner_generation,63,41943040,6c48b92244a86c6c7a71b9ea50a48dab83f35dc2e842033738d5e543068e1cc5,AVAILABLE_REMOTE_GIT,thesis-v43-stage5b2-data-1,b44975dd0803e3912f6151398a5a93c34eb95082,results/thesis_revision_v43/stage_05b2/bulk_archives/stage5b2-per-miner-generation.tar.part-006,true
stage5b2-per-miner-generation.tar.part-007,A,stage5b2-per-miner-generation,per_miner_generation,63,41943040,4bbf6be7d91f0bb84e8e76586146782486418c509278b0f6697215c5c0f33b71,AVAILABLE_REMOTE_GIT,thesis-v43-stage5b2-data-1,b44975dd0803e3912f6151398a5a93c34eb95082,results/thesis_revision_v43/stage_05b2/bulk_archives/stage5b2-per-miner-generation.tar.part-007,true
stage5b2-per-miner-generation.tar.part-008,A,stage5b2-per-miner-generation,per_miner_generation,63,41943040,0f6fe287b378896a847374ed67b3739cf86a90731c5e476544f3a4a0d2e75d37,AVAILABLE_REMOTE_GIT,thesis-v43-stage5b2-data-1,b44975dd0803e3912f6151398a5a93c34eb95082,results/thesis_revision_v43/stage_05b2/bulk_archives/stage5b2-per-miner-generation.tar.part-008,true
stage5b2-per-miner-generation.tar.part-009,A,stage5b2-per-miner-generation,per_miner_generation,63,41943040,d6bef3d4668294c5be7c678c7e22603dcbad0e4d9ac5f59c4fba1128cd572fc2,AVAILABLE_REMOTE_GIT,thesis-v43-stage5b2-data-1,b44975dd0803e3912f6151398a5a93c34eb95082,results/thesis_revision_v43/stage_05b2/bulk_archives/stage5b2-per-miner-generation.tar.part-009,true
