scenario_id,block_id,confirmatory_or_exploratory,paired_control_id,hypothesis_ids,num_miners,horizon_T,P_hash,P_listen,P_reserve,P_wake,P_offline,nonce_domain_size,difficulty,batch_size,base_hash_rate,heterogeneous_hash_rates,reserve_fraction,security_floor_policy,range_lease_policy,adversarial_policy,incentive_policy,fault_schedule,primary_outcomes,secondary_outcomes,expected_NA_fields,notes
A01,A,CONFIRMATORY,SELF,IP-H1;IP-H2;IP-H3;IP-H5,141,10000.0,21.5,21.5,21.5,21.5,0.0,4000,1000,50,100.0,False,0.2,DISABLED,DISABLED,DISABLED,DISABLED,NONE,total_energy_kwh,relative_energy_reduction_percent;accepted_blocks;median_round_duration,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,mechanistic idle-policy energy; the ONLY factor is the idle-power ratio rho = P_listen/P_hash = P_reserve/P_hash
A02,A,CONFIRMATORY,A01,IP-H1;IP-H2;IP-H3,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,False,0.2,DISABLED,DISABLED,DISABLED,DISABLED,NONE,total_energy_kwh,relative_energy_reduction_percent;accepted_blocks;median_round_duration,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,mechanistic idle-policy energy; the ONLY factor is the idle-power ratio rho = P_listen/P_hash = P_reserve/P_hash
A03,A,CONFIRMATORY,SELF,IP-H1;IP-H2;IP-H4;IP-H5;IP-H6,141,10000.0,21.5,21.5,21.5,21.5,0.0,4000,1000,50,100.0,True,0.2,DISABLED,DISABLED,DISABLED,DISABLED,NONE,total_energy_kwh,relative_energy_reduction_percent;accepted_blocks;median_round_duration,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,mechanistic idle-policy energy; the ONLY factor is the idle-power ratio rho = P_listen/P_hash = P_reserve/P_hash
A04,A,CONFIRMATORY,A03,IP-H1;IP-H2;IP-H6,141,10000.0,21.5,5.375,5.375,10.75,0.0,4000,1000,50,100.0,True,0.2,DISABLED,DISABLED,DISABLED,DISABLED,NONE,total_energy_kwh,relative_energy_reduction_percent;accepted_blocks;median_round_duration,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,mechanistic idle-policy energy; the ONLY factor is the idle-power ratio rho = P_listen/P_hash = P_reserve/P_hash
A05,A,CONFIRMATORY,A03,IP-H1;IP-H2;IP-H4;IP-H6,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,True,0.2,DISABLED,DISABLED,DISABLED,DISABLED,NONE,total_energy_kwh,relative_energy_reduction_percent;accepted_blocks;median_round_duration,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,mechanistic idle-policy energy; the ONLY factor is the idle-power ratio rho = P_listen/P_hash = P_reserve/P_hash
A06,A,CONFIRMATORY,A03,IP-H1;IP-H2;IP-H6,141,10000.0,21.5,0.0,0.0,10.75,0.0,4000,1000,50,100.0,True,0.2,DISABLED,DISABLED,DISABLED,DISABLED,NONE,total_energy_kwh,relative_energy_reduction_percent;accepted_blocks;median_round_duration,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,mechanistic idle-policy energy; the ONLY factor is the idle-power ratio rho = P_listen/P_hash = P_reserve/P_hash
B01,B,CONFIRMATORY,SELF,IP-H1;IP-H2;IP-H7;IP-H8,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,True,0.2,DISABLED,DISABLED,DISABLED,DISABLED,NONE,total_duration_below_floor;accepted_blocks_per_horizon,breach_count;maximum_hash_rate_deficit;reserve_activations_completed;floor_unattainable_count;median_round_duration,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,matched control for the security-floor contrasts; floor disabled
B02,B,CONFIRMATORY,B01,IP-H1;IP-H2;IP-H7;IP-H8,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,True,0.2,ENABLED_MIN_HASH_RATE,DISABLED,DISABLED,DISABLED,NONE,total_duration_below_floor;accepted_blocks_per_horizon,breach_count;maximum_hash_rate_deficit;reserve_activations_completed;floor_unattainable_count;median_round_duration,maximum_q_adv;time_weighted_q_adv,"operational floor at 0.80 x initial active-primary ACTUAL hash rate, MINIMUM_CARDINALITY reserve activation"
B03,B,CONFIRMATORY,B01,IP-H1;IP-H2;IP-H7;IP-H8,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,True,0.2,ENABLED_MIN_HASH_RATE_AND_MIN_COUNT,DISABLED,DISABLED,DISABLED,NONE,total_duration_below_floor;accepted_blocks_per_horizon,breach_count;maximum_hash_rate_deficit;reserve_activations_completed;floor_unattainable_count;median_round_duration,maximum_q_adv;time_weighted_q_adv,"floor additionally constrained by a minimum ACTIVE-MINER COUNT equal to the full initial primary count, so the count constraint genuinely binds; at ceil(0.80 x primary count) the Tier-1 pilot measured B03 identical to B02 in every field, which would have made the row evidentially empty"
B04,B,CONFIRMATORY,B01,IP-H1;IP-H2;IP-H7;IP-H8,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,True,0.2,ENABLED_UNATTAINABLE,DISABLED,DISABLED,DISABLED,NONE,total_duration_below_floor;accepted_blocks_per_horizon,breach_count;maximum_hash_rate_deficit;reserve_activations_completed;floor_unattainable_count;median_round_duration,maximum_q_adv;time_weighted_q_adv,DIAGNOSTIC ONLY: floor deliberately unattainable (1.50 x total population capacity) to exercise CONTINUE_DEGRADED; MUST NOT be merged into the primary energy claim
C01,C,CONFIRMATORY,SELF,IP-H1;IP-H2;IP-H9,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,True,0.2,DISABLED,ENABLED,DISABLED,ENABLED,NONE,duplicate_nonce_count;work_reward_union_residual,leases_reassigned;reassignment_requests_completed;wake_handles_created;coverage_gap_nonce_count,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,"matched control: leases enabled, no injected failure"
C02,C,CONFIRMATORY,C01,IP-H1;IP-H2;IP-H9,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,True,0.2,DISABLED,DISABLED,DISABLED,ENABLED,FAULT_SET_DENSE,duplicate_nonce_count;work_reward_union_residual,leases_reassigned;reassignment_requests_completed;wake_handles_created;coverage_gap_nonce_count,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,injected failure with leases and reassignment DISABLED
C03,C,CONFIRMATORY,C01,IP-H1;IP-H2;IP-H9,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,True,0.0,DISABLED,ENABLED,DISABLED,ENABLED,FAULT_SET_DENSE,duplicate_nonce_count;work_reward_union_residual,leases_reassigned;reassignment_requests_completed;wake_handles_created;coverage_gap_nonce_count,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,"Path A: no reserve pool, so the reassignee is an already-live primary and no Stage-3 wake is required"
C04,C,CONFIRMATORY,C01,IP-H1;IP-H2;IP-H9,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,True,0.2,DISABLED,ENABLED,DISABLED,ENABLED,FAULT_SET_DENSE,duplicate_nonce_count;work_reward_union_residual,leases_reassigned;reassignment_requests_completed;wake_handles_created;coverage_gap_nonce_count,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,"Path B: identical to C03 except that a reserve pool exists, so the reassignment comes from a GENUINE Stage-3 reserve wake through a non-domain ReassignmentWakeHandle rather than from a live primary"
C05,C,CONFIRMATORY,C01,IP-H1;IP-H2;IP-H9,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,1000,50,100.0,True,0.0,DISABLED,ENABLED_NO_REASSIGN,DISABLED,ENABLED,FAULT_SET_DENSE,duplicate_nonce_count;work_reward_union_residual,leases_reassigned;reassignment_requests_completed;wake_handles_created;coverage_gap_nonce_count,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled,"no eligible miner: CONTINUE_WITH_UNASSIGNED_RANGE leaves the range unassigned and the coverage gap must be reported, not hidden"
C06,C,CONFIRMATORY,NONE,IP-H1;IP-H2;IP-H9,141,10000.0,21.5,2.15,2.15,10.75,0.0,4000,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,50,100.0,True,0.2,DISABLED,ENABLED,DISABLED,ENABLED,NONE,duplicate_nonce_count;work_reward_union_residual,leases_reassigned;reassignment_requests_completed;wake_handles_created;coverage_gap_nonce_count,maximum_q_adv;time_weighted_q_adv;maximum_hash_rate_deficit_when_floor_disabled;relative_energy_reduction_percent,"non-inferential deterministic integrity condition; unreachable fixed target so the full nonce domain is exhausted in every round; excluded from all paired contrasts, all multiplicity families and all energy/service/incentive claims"
