seed_class,source_label,seed_index,master_seed_decimal,master_seed_hex,digest_sha256,template_child_seed_decimal,adversarial_child_seed_decimal
PILOT,PoCol-v45-stage6-pilot-,0,17024034099160922174,ec4184d0e49fb83e,ec4184d0e49fb83eefecc174bd3f5d8141cd03e0fe99f5889d90756e46cfcc4a,9589022380471286865,686895598418916217
PILOT,PoCol-v45-stage6-pilot-,1,11768030410170855390,a350714ef03a6fde,a350714ef03a6fde2c606edf0e2ab077a4948aeb1757cf98108859620be1e7c2,14757864967227720172,8693921003859382305
PILOT,PoCol-v45-stage6-pilot-,2,15937574252844005470,dd2da357922db85e,dd2da357922db85e28164aeca4d069212a8b45b2ff0ce1c170855095ec351da8,6985283663123254812,1673324878156418246
PILOT,PoCol-v45-stage6-pilot-,3,193675606317841507,02b012f0143bbc63,02b012f0143bbc63e12b86598cc66e1f5ac8fdbf857b7c68a20a218b0cd60adc,1005095751096243107,17355546252086832117
PILOT,PoCol-v45-stage6-pilot-,4,7592847024147398299,695f3623cc2ffe9b,695f3623cc2ffe9b0fcaaee2a69d527a4a6a3ccf5b036f1da4aba17f04e1991d,5185184924101114121,5640527344743420343
PILOT,PoCol-v45-stage6-pilot-,5,1103766790086696942,0f515e0c2dfd9fee,0f515e0c2dfd9feea471ae857c4af946d1d3a598bbd255a4c83868fb1f01e3b9,3638406293716227229,9844885182248830826
PILOT,PoCol-v45-stage6-pilot-,6,13251983728229268948,b7e880fd225cbdd4,b7e880fd225cbdd4304cbf568b1f161c24a056dc20e8fff7050af55ed7776c5c,12259949017963876981,14185856699989659692
PILOT,PoCol-v45-stage6-pilot-,7,16366577634683644678,e321c3a5182beb06,e321c3a5182beb06a80264d9bdfcc109e3b8cf9e816aa307f4a780ad34d6949e,15145108177333482615,12539273069239923934
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,0,7266343386191483739,64d73ccf9df3d35b,64d73ccf9df3d35b1683521117b2269ae9f85c70c4326e7d3c2278b8cae4bef5,12089769011917694374,1988348648956568175
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,1,7327669731288643706,65b11ccc04d7787a,65b11ccc04d7787a7f6892892b4e1ca048882e9f753f99df91049b20da66308d,12962257606173152482,5324873478951682309
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,2,14021529625252821637,c2967ae7a8cf7a85,c2967ae7a8cf7a8573747a4a8f66dfd107e8b4a44a7e5d26459e5ceb98e78533,10111987247277390914,7444505376397852194
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,3,13015257401067502099,b49f7ba602e6fa13,b49f7ba602e6fa1347a0f26d0cc76b348528c5ed2a10004684931e9ccdfabb3b,17270178139864731407,8641882922361671506
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,4,4888788266148067928,43d87706b1da7a58,43d87706b1da7a580f2fd325c2cf5967592a8416fb7c4de1c0883519c77190e8,2317428014290689691,5004527360990479258
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,5,372686234733934361,052c0c27e9fe7719,052c0c27e9fe7719dc7fc9115c437d3d15838328b47edc1a8ea6e06f52d9679d,4112462094266218956,12493455952218554452
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,6,8946841158517248766,7c2990a19b43d2fe,7c2990a19b43d2fedc5c1aa08c6e5f31c603df07bb3206bbfbf9361f0feda890,18344430265889267866,3607112505366798910
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,7,9009703059525875822,7d08e5327aca386e,7d08e5327aca386ecd9d3d80c76ce2029a38df99161c6d9c007198e3c7c2ed5c,17090463357186446524,16318870803467828902
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,8,13763262471769672163,bf00ee4c144bc9e3,bf00ee4c144bc9e35cd96f4cc62973f225bb2251239e23097c42aa321612f030,16125149457169702369,9691583463255889012
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,9,11943450448932995834,a5bfa8e7792182fa,a5bfa8e7792182fa29bbbaeb0129fe5d40a487b5101794e58b0aebdc3f5c15fe,17149423523499720600,14346439664770562953
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,10,383364110206706523,0551fba08881235b,0551fba08881235bda1bdce48f91409170d35d2c1b3f38f5cc11d2372abad3a9,523302846518345112,15696728803483267094
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,11,7597450664324651830,696f91204da05b36,696f91204da05b3664e902c7e88fc35e83f77f71df67d12295b8d6799092497b,7369064661370065246,5366810094079678820
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,12,7113020691504941419,62b686a1ed27c96b,62b686a1ed27c96b5e44d09e182550968ebc41d16f484936da1d318412f1a958,8186838090085453911,15680718854683426966
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,13,17589586195462360652,f41ac3737ea60e4c,f41ac3737ea60e4c58966f57d71b4072313fb9bcfc3607f73ef6702070766c02,5829204117060041738,4804898231906745974
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,14,9841280377429304429,8893405ca7b2246d,8893405ca7b2246d673efefffa5d006722790a16f24573ef36f7a1f6deeee661,3426743007640780525,8112466945008198149
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,15,15378190346746817772,d56a4ea4aa2f6cec,d56a4ea4aa2f6cec895965d0aefc81a7735b186ba8af83b6df07963030a27b91,5663219481463969684,7358855150582438391
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,16,17392834523920745446,f15fc2d92b7243e6,f15fc2d92b7243e6ce6dc5e7b637c724728ef4e1f950503cd8e1085c5571039a,6824537507448365744,18349887623301676399
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,17,6004902773991946938,5355b341f28c3aba,5355b341f28c3aba1bcadf655aa2616c61240baefcd9aaa44b26dfb6c474b701,4715227865861581916,2262219189337088363
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,18,1276185860986598701,11b5ec476f7b752d,11b5ec476f7b752d131be8f0726125e2c27c4fbec3524da58bdbdc3974f69c9f,9511655153168452277,10436580739198981035
