run_id,scenario_id,role,seed_class,seed_index,master_seed,hypotheses,run_status,all_integrity_gates_pass,E_idle_kwh,E_power_null_kwh,absolute_reduction_kwh,relative_reduction,rounds_accepted,median_round_duration,rounds_executed,zero_block_indicator,total_duration_below_floor,floor_unattainable_count,security_floor_observation_count,reserve_activations_seated,reserve_activations_completed,nonterminal_activation_request_count,maximum_energy_identity_residual_j,maximum_residency_partition_residual_s,duplicate_nonce_count,post_round_evaluation_record_count,post_round_evaluation_nonce_count,evaluation_missing_terminal_time_count,physical_frontier_rewind_count,work_reward_union_residual,nonterminal_lease_count,nonterminal_reassignment_request_count,adversarial_action_total,offline_residency_s,power_null_equals_A1_residual_kwh,a1_continuous_control_kwh,evaluation_ledger_entries,wall_clock_seconds,peak_rss_mb,config_sha256,engine_sha256,record_sha256
7m-M01_HET_IDLE-s00,M01_HET_IDLE,CONFIRMATORY,CONFIRMATORY,0,7266343386191483739,H-M1;H-M3(control),COMPLETED,True,0.01655206962962944,0.035833333333333335,0.019281263703703894,0.5380817777777831,162,1.201250000000016,216,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,6693,1.4996447563171387,63.40625,ffe5d54d38bdcc14b945001864660f05cba0c118d55e1c15a7d05549fbd8113f,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,189476b015fb8261f092eb7682bb74e146a6b2538a10f74fc462a7af04bed215
7m-M01_HET_IDLE-s01,M01_HET_IDLE,CONFIRMATORY,CONFIRMATORY,1,7327669731288643706,H-M1;H-M3(control),COMPLETED,True,0.016509260740740522,0.03583333333333332,0.0193240725925928,0.5392764444444503,170,1.167500000000011,220,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,1.3877787807814457e-17,0.035833333333333335,6383,1.6561501026153564,55.3203125,139fc7f748a730b653233969fea2c879e74545ec66066c23d71de34ac88cbb05,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,2c67ff2407668502f7a1a6db5e96b7f33550fed585273868f1b1825ee382ef9a
7m-M01_HET_IDLE-s02,M01_HET_IDLE,CONFIRMATORY,CONFIRMATORY,2,14021529625252821637,H-M1;H-M3(control),COMPLETED,True,0.01653241305555544,0.035833333333333335,0.019300920277777894,0.5386303333333365,169,1.18250000000004,220,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,6382,1.9822537899017334,63.48046875,c086d2c547f79faf4ba07900cdc57910f9dad0f581403f28668c3253f4fb96f8,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,615c9fa315059ee3a2a878f26cd0b33407a54af78d09549360e047806b043e43
7m-M01_HET_IDLE-s03,M01_HET_IDLE,CONFIRMATORY,CONFIRMATORY,3,13015257401067502099,H-M1;H-M3(control),COMPLETED,True,0.01650278287037017,0.03583333333333334,0.019330550462963173,0.5394572222222279,167,1.1825000000000614,221,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,6.938893903907228e-18,0.035833333333333335,6223,1.7929151058197021,54.859375,397250fa6f98ac45c48f0db8782d100a8971e6c6cee77c6e58bf6e15fb960868,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,07fd337e7bb209665cad97f61dd4ae68da65ecf61506c72c866a6258a1f15f7d
7m-M01_HET_IDLE-s04,M01_HET_IDLE,CONFIRMATORY,CONFIRMATORY,4,4888788266148067928,H-M1;H-M3(control),COMPLETED,True,0.01647608305555532,0.03583333333333333,0.01935725027777801,0.5402023333333399,175,1.142500000000041,223,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,6.938893903907228e-18,0.035833333333333335,6041,1.205688714981079,54.296875,8ab2485d9a75dc6213f910058aa14a6dc5a75c8baabbddee0b754cfaef7db11a,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,1279fdf7304287b6373d6f96f646dd4ad42de951c6894bdc493b997f12f38eb0
7m-M01_HET_IDLE-s05,M01_HET_IDLE,CONFIRMATORY,CONFIRMATORY,5,372686234733934361,H-M1;H-M3(control),COMPLETED,True,0.01667667407407386,0.035833333333333335,0.019156659259259474,0.5346044444444504,180,1.192500000000031,224,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,6386,1.1803107261657715,63.69140625,1c8298722d75fc0599160fe51ae55d8946590a4812bcf0d582f2a91fc285c3af,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,3a4a1b06f9dde5ca5300b839acf2add71b69d8240dab3ac3ad79897b6fc4093c
7m-M01_HET_IDLE-s06,M01_HET_IDLE,CONFIRMATORY,CONFIRMATORY,6,8946841158517248766,H-M1;H-M3(control),COMPLETED,True,0.016611067222222102,0.035833333333333335,0.019222266111111233,0.5364353333333367,176,1.1866666666666958,223,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,6302,1.2086071968078613,55.16015625,3e057590ff8b0d7d462c1ab071e46360a7f80e07e5ea2e51ce6d1e36b47377cd,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,794166acd76cd2a9011cfcb79100182b937c810da54f551145b5663feb1f316f
7m-M01_HET_IDLE-s07,M01_HET_IDLE,CONFIRMATORY,CONFIRMATORY,7,9009703059525875822,H-M1;H-M3(control),COMPLETED,True,0.01653956777777756,0.035833333333333335,0.019293765555555776,0.5384306666666728,178,1.170000000000016,224,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,6098,1.1399686336517334,54.5859375,c57709bf8b9a69889916644e0b05898359da0c741b2c8e065f91e7a90e3eb684,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,1989ae3d84edcbc0362183794084713546153a5e2bdab631bae04d3fac0337ea
7m-M01_HET_IDLE-s08,M01_HET_IDLE,CONFIRMATORY,CONFIRMATORY,8,13763262471769672163,H-M1;H-M3(control),COMPLETED,True,0.01647583222222174,0.035833333333333335,0.019357501111111595,0.5402093333333468,188,1.1333333333333542,229,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,5677,1.1654746532440186,53.23046875,e1ed985675a42f11317372b07331c51c31cb0395e888eca8ce4f2d4671eaecbc,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,acc7836ee5b7165b1b68afda4418796476f964a675c62bd52c803b3154dbd79b
7m-M01_HET_IDLE-s09,M01_HET_IDLE,CONFIRMATORY,CONFIRMATORY,9,11943450448932995834,H-M1;H-M3(control),COMPLETED,True,0.016429551481481282,0.03583333333333333,0.019403781851852046,0.5415008888888944,174,1.1600000000000108,223,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,6.938893903907228e-18,0.035833333333333335,5945,1.1480963230133057,53.95703125,92dca65dd228fa2ecd24a682ef270615275a3705fe8c3f8066c870b1d287031b,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,28664f850b0df00711cc6cff87c57a1f520caf3b29890733a962f0750807ff5a
