run_id,scenario_id,seed_index,run_status,all_integrity_gates_pass,maximum_energy_identity_residual_j,maximum_residency_partition_residual_s,duplicate_nonce_count,post_round_evaluation_record_count,post_round_evaluation_nonce_count,evaluation_missing_terminal_time_count,physical_frontier_rewind_count,work_reward_union_residual,nonterminal_lease_count,nonterminal_reassignment_request_count,adversarial_action_total,nonterminal_activation_request_count,power_null_equals_A1_residual_kwh,offline_residency_s
7m-M01_HET_IDLE-s00,M01_HET_IDLE,0,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M01_HET_IDLE-s01,M01_HET_IDLE,1,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,1.3877787807814457e-17,0.0
7m-M01_HET_IDLE-s02,M01_HET_IDLE,2,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M01_HET_IDLE-s03,M01_HET_IDLE,3,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,6.938893903907228e-18,0.0
7m-M01_HET_IDLE-s04,M01_HET_IDLE,4,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,6.938893903907228e-18,0.0
7m-M01_HET_IDLE-s05,M01_HET_IDLE,5,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M01_HET_IDLE-s06,M01_HET_IDLE,6,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M01_HET_IDLE-s07,M01_HET_IDLE,7,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M01_HET_IDLE-s08,M01_HET_IDLE,8,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M01_HET_IDLE-s09,M01_HET_IDLE,9,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,6.938893903907228e-18,0.0
7m-M02_HOM_IDLE-s00,M02_HOM_IDLE,0,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M02_HOM_IDLE-s01,M02_HOM_IDLE,1,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M02_HOM_IDLE-s02,M02_HOM_IDLE,2,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M02_HOM_IDLE-s03,M02_HOM_IDLE,3,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M02_HOM_IDLE-s04,M02_HOM_IDLE,4,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M02_HOM_IDLE-s05,M02_HOM_IDLE,5,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M02_HOM_IDLE-s06,M02_HOM_IDLE,6,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M02_HOM_IDLE-s07,M02_HOM_IDLE,7,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M02_HOM_IDLE-s08,M02_HOM_IDLE,8,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,2.0816681711721685e-17,0.0
7m-M02_HOM_IDLE-s09,M02_HOM_IDLE,9,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M03_HET_IDLE_FLOOR-s00,M03_HET_IDLE_FLOOR,0,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M03_HET_IDLE_FLOOR-s01,M03_HET_IDLE_FLOOR,1,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,6.938893903907228e-18,0.0
7m-M03_HET_IDLE_FLOOR-s02,M03_HET_IDLE_FLOOR,2,COMPLETED,True,0.0,5.684341886080802e-14,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M03_HET_IDLE_FLOOR-s03,M03_HET_IDLE_FLOOR,3,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
7m-M03_HET_IDLE_FLOOR-s04,M03_HET_IDLE_FLOOR,4,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,6.938893903907228e-18,0.0
7m-M03_HET_IDLE_FLOOR-s05,M03_HET_IDLE_FLOOR,5,COMPLETED,True,0.0,5.684341886080802e-14,0,0,0,0,0,0.0,0,0,0,0,6.938893903907228e-18,0.0
7m-M03_HET_IDLE_FLOOR-s06,M03_HET_IDLE_FLOOR,6,COMPLETED,True,0.0,5.684341886080802e-14,0,0,0,0,0,0.0,0,0,0,0,6.938893903907228e-18,0.0
7m-M03_HET_IDLE_FLOOR-s07,M03_HET_IDLE_FLOOR,7,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,2.0816681711721685e-17,0.0
7m-M03_HET_IDLE_FLOOR-s08,M03_HET_IDLE_FLOOR,8,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,6.938893903907228e-18,0.0
7m-M03_HET_IDLE_FLOOR-s09,M03_HET_IDLE_FLOOR,9,COMPLETED,True,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,2.0816681711721685e-17,0.0
