time_s,H_effective,H_pipeline,floor_threshold,live_activation_requests,waking_miners,active_hashing_miners,accepted_block_event,round_boundary
0.840000,100.0,100.0,3200.0,0,0,1,0,0
1.000000,1700.0,1700.0,3200.0,0,0,5,0,0
1.000000,2900.0,2900.0,3200.0,0,0,9,0,0
1.062500,1300.0,1300.0,3200.0,0,0,5,0,0
1.083333,100.0,100.0,3200.0,0,0,1,0,0
1.090000,0.0,0.0,3200.0,0,0,0,1,1
2.090000,2800.0,2800.0,3200.0,0,0,12,0,0
2.090000,4000.0,4000.0,3200.0,0,0,16,0,0
2.290000,2400.0,3200.0,3200.0,3,3,12,0,0
2.356667,1200.0,2200.0,3200.0,4,4,8,0,0
2.490000,400.0,1400.0,3200.0,4,4,4,0,0
2.890000,0.0,1000.0,3200.0,4,4,0,0,0
3.290000,800.0,1000.0,3200.0,1,1,3,0,0
3.356667,1000.0,1000.0,3200.0,0,0,4,0,0
3.490000,600.0,600.0,3200.0,0,0,3,0,0
3.556667,300.0,300.0,3200.0,0,0,2,0,0
3.756667,100.0,100.0,3200.0,0,0,1,0,0
4.090000,0.0,0.0,3200.0,0,0,0,0,1
5.047500,400.0,400.0,3200.0,0,0,1,0,0
5.110000,0.0,0.0,3200.0,0,0,0,1,1
6.065000,400.0,400.0,3200.0,0,0,1,0,0
6.127500,0.0,0.0,3200.0,0,0,0,1,1
7.127500,2400.0,2400.0,3200.0,0,0,8,0,0
7.127500,3600.0,3600.0,3200.0,0,0,12,0,0
7.252500,1600.0,1600.0,3200.0,0,0,5,0,0
7.294167,400.0,400.0,3200.0,0,0,1,0,0
7.305000,0.0,0.0,3200.0,0,0,0,1,1
8.305000,2400.0,2400.0,3200.0,0,0,8,0,0
8.305000,3600.0,3600.0,3200.0,0,0,12,0,0
8.388333,2700.0,2700.0,3200.0,0,0,9,0,0
8.430000,300.0,300.0,3200.0,0,0,1,0,0
8.435000,0.0,0.0,3200.0,0,0,0,1,1
9.435000,2800.0,2800.0,3200.0,0,0,12,0,0
9.435000,4000.0,4000.0,3200.0,0,0,16,0,0
9.635000,2400.0,3200.0,3200.0,3,3,12,0,0
9.685000,2100.0,2900.0,3200.0,3,3,9,0,0
9.701667,900.0,1900.0,3200.0,4,4,5,0,0
9.835000,100.0,1100.0,3200.0,4,4,1,0,0
9.925000,0.0,0.0,3200.0,0,0,0,1,1
10.925000,2400.0,2400.0,3200.0,0,0,8,0,0
10.925000,3600.0,3600.0,3200.0,0,0,12,0,0
11.050000,2800.0,2800.0,3200.0,0,0,8,0,0
11.091667,1600.0,1600.0,3200.0,0,0,4,0,0
11.112500,400.0,400.0,3200.0,0,0,1,0,0
11.115000,0.0,0.0,3200.0,0,0,0,1,1
12.115000,1600.0,1600.0,3200.0,0,0,4,0,0
12.115000,2800.0,2800.0,3200.0,0,0,8,0,0
12.177500,1600.0,1600.0,3200.0,0,0,5,0,0
12.198333,400.0,400.0,3200.0,0,0,1,0,0
12.217500,0.0,0.0,3200.0,0,0,0,1,1
13.217500,2800.0,2800.0,3200.0,0,0,12,0,0
13.217500,4000.0,4000.0,3200.0,0,0,16,0,0
13.417500,2400.0,3200.0,3200.0,3,3,12,0,0
13.484167,1200.0,2200.0,3200.0,4,4,8,0,0
13.617500,400.0,1400.0,3200.0,4,4,4,0,0
14.017500,0.0,1000.0,3200.0,4,4,0,0,0
14.417500,800.0,1000.0,3200.0,1,1,3,0,0
14.484167,1000.0,1000.0,3200.0,0,0,4,0,0
14.617500,600.0,600.0,3200.0,0,0,3,0,0
14.684167,300.0,300.0,3200.0,0,0,2,0,0
14.884167,100.0,100.0,3200.0,0,0,1,0,0
15.217500,0.0,0.0,3200.0,0,0,0,0,1
16.217500,3600.0,3600.0,3200.0,0,0,12,0,0
16.342500,3000.0,3000.0,3200.0,0,0,9,0,0
16.384167,1800.0,1800.0,3200.0,0,0,5,0,0
16.417500,200.0,1000.0,3200.0,3,3,1,0,0
16.422500,0.0,0.0,3200.0,0,0,0,1,1
17.395000,400.0,400.0,3200.0,0,0,1,0,0
17.457500,0.0,0.0,3200.0,0,0,0,1,1
18.457500,4000.0,4000.0,3200.0,0,0,16,0,0
18.657500,2400.0,3200.0,3200.0,3,3,12,0,0
18.724167,1200.0,2200.0,3200.0,4,4,8,0,0
18.857500,400.0,1400.0,3200.0,4,4,4,0,0
19.257500,0.0,1000.0,3200.0,4,4,0,0,0
19.657500,800.0,1000.0,3200.0,1,1,3,0,0
19.724167,1000.0,1000.0,3200.0,0,0,4,0,0
19.857500,600.0,600.0,3200.0,0,0,3,0,0
19.924167,300.0,300.0,3200.0,0,0,2,0,0
20.124167,100.0,100.0,3200.0,0,0,1,0,0
20.457500,0.0,0.0,3200.0,0,0,0,0,1
21.450833,300.0,300.0,3200.0,0,0,1,0,0
21.457500,1900.0,1900.0,3200.0,0,0,5,0,0
21.520000,300.0,300.0,3200.0,0,0,1,0,0
21.534167,0.0,0.0,3200.0,0,0,0,1,1
22.534167,4000.0,4000.0,3200.0,0,0,16,0,0
22.734167,2400.0,3200.0,3200.0,3,3,12,0,0
22.800833,1200.0,2200.0,3200.0,4,4,8,0,0
22.934167,400.0,1400.0,3200.0,4,4,4,0,0
23.334167,0.0,1000.0,3200.0,4,4,0,0,0
23.734167,700.0,900.0,3200.0,1,1,2,0,0
23.796667,300.0,500.0,3200.0,1,1,1,0,0
