seed_class,seed_index,master_seed_decimal,derivation,used_by
PILOT_8R,0,4160419082533475799,"SHA256(""PoCol-v45-stage8r-pilot-0"") first u64 BE",structural pilot only (all four scenarios)
PILOT_8R,1,8305394825610260630,"SHA256(""PoCol-v45-stage8r-pilot-1"") first u64 BE",structural pilot only (all four scenarios)
CONFIRMATORY_8R,0,13924826592069036996,"SHA256(""PoCol-v45-stage8r-confirmatory-0"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,1,17681907209526999834,"SHA256(""PoCol-v45-stage8r-confirmatory-1"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,2,8412112409846639680,"SHA256(""PoCol-v45-stage8r-confirmatory-2"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,3,15613344438755044190,"SHA256(""PoCol-v45-stage8r-confirmatory-3"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,4,5340676209599987018,"SHA256(""PoCol-v45-stage8r-confirmatory-4"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,5,17745484942575847023,"SHA256(""PoCol-v45-stage8r-confirmatory-5"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,6,15880714972592362664,"SHA256(""PoCol-v45-stage8r-confirmatory-6"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,7,4147199012417366876,"SHA256(""PoCol-v45-stage8r-confirmatory-7"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,8,228495903928811743,"SHA256(""PoCol-v45-stage8r-confirmatory-8"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,9,7498525808431263349,"SHA256(""PoCol-v45-stage8r-confirmatory-9"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,10,10976349321056788105,"SHA256(""PoCol-v45-stage8r-confirmatory-10"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
CONFIRMATORY_8R,11,5449705730174009532,"SHA256(""PoCol-v45-stage8r-confirmatory-11"") first u64 BE",R00;R01;R02;R03 (same 12 seeds in every scenario)
ANALYSIS_8R,0,5792508466225871155,"SHA256(""PoCol-v45-stage8r-analysis-0"") first u64 BE",bootstrap RNG root (analysis only; never a simulation seed)
