run_id,scenario_id,role,seed_class,seed_index,master_seed,controller_mode_configured,run_status,all_integrity_gates_pass,E_idle_kwh,E_power_null_kwh,absolute_reduction_kwh,relative_reduction,offline_residency_s,a1_continuous_control_kwh,rounds_executed,rounds_accepted,accepted_blocks_per_closed_round,zero_block_indicator,median_round_duration,mean_round_duration,p95_round_duration,unclosed_final_tail_s,static_floor_deficit_area_hash_s,activation_requests_seated,activation_requests_completed,activation_requests_cancelled,incomplete_activation_request_count,activations_per_closed_round,reassignments_per_closed_round,nonterminal_activation_request_count,duration_below_static_floor,static_floor_unattainable_count,duration_below_useful_floor,useful_floor_deficit_area,useful_floor_unattainable_count,H_useful_available_time_weighted,H_useful_target_time_weighted,coarse_repartition_count,coarse_reassignment_count,mean_coarse_chunk_size,minimum_coarse_chunk_size,maximum_coarse_chunk_size,donor_lineage_repartition_replay_count,duplicate_reassignment_prevented_count,nonterminal_coarse_request_count,coarse_requests_completed,reserve_wakes_rejected_no_useful_work,reserve_wakes_with_bound_work,reserve_wakes_completed_with_useful_work,reserve_wake_useful_completion_ratio,controller_mode,breach_episode_count,breach_episode_recovered_count,episode_unattainable_count,activation_batches_seated,predictive_batches_seated,reactive_batches_seated,duplicate_activation_batch_prevented_count,prediction_decision_count,false_positive_wake_count,late_wake_count,maximum_H_pipeline,time_weighted_H_pipeline,maximum_energy_identity_residual_j,maximum_residency_partition_residual_s,duplicate_nonce_count,post_round_evaluation_record_count,post_round_evaluation_nonce_count,evaluation_missing_terminal_time_count,physical_frontier_rewind_count,work_reward_union_residual,nonterminal_lease_count,nonterminal_reassignment_request_count,adversarial_action_total,nonterminal_episode_count,live_batch_after_close_count,evaluation_ledger_entries,coarse_chunks_pairwise_disjoint,coarse_chunks_contiguous,coarse_donor_never_in_ceded_chunk,coarse_lineage_count,residency_PRIMARY_ACTIVE_HASHING_s,energy_PRIMARY_ACTIVE_HASHING_kwh,power_null_difference_PRIMARY_ACTIVE_HASHING_kwh,residency_PRIMARY_LOW_POWER_LISTEN_s,energy_PRIMARY_LOW_POWER_LISTEN_kwh,power_null_difference_PRIMARY_LOW_POWER_LISTEN_kwh,residency_RESERVE_STANDBY_s,energy_RESERVE_STANDBY_kwh,power_null_difference_RESERVE_STANDBY_kwh,residency_RESERVE_WAKING_s,energy_RESERVE_WAKING_kwh,power_null_difference_RESERVE_WAKING_kwh,residency_ACTIVATED_RESERVE_HASHING_s,energy_ACTIVATED_RESERVE_HASHING_kwh,power_null_difference_ACTIVATED_RESERVE_HASHING_kwh,residency_OFFLINE_s,energy_OFFLINE_kwh,power_null_difference_OFFLINE_kwh,residency_COORDINATION_AND_VERIFICATION_s,energy_COORDINATION_AND_VERIFICATION_kwh,power_null_difference_COORDINATION_AND_VERIFICATION_kwh,range_idle_energy_difference_kwh,reserve_standby_energy_difference_kwh,wake_energy_difference_kwh,activated_reserve_energy_kwh,total_low_power_state_difference_kwh,wall_clock_seconds,peak_rss_mb,config_sha256,engine_sha256,record_sha256
8s-S00_NO_FLOOR-s00,S00_NO_FLOOR,CONFIRMATORY_CONTROL,CONFIRMATORY_8S,0,16589040752212978661,LEGACY_REACTIVE,COMPLETED,True,0.016541570462962753,0.03583333333333334,0.01929176287037059,0.5383747777777838,0.0,0.035833333333333335,230,192,0.8347826086956521,0,1.1575000000000202,1.3043478260869565,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,5748,True,True,True,0,781.7800000000015,0.004668963888888897,0.0,352.84666666675867,0.0002107278703704253,0.0018965508333338278,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3665.3733333332407,0.010945212037036758,0.010945212037036758,0.0018965508333338278,0.00645,0.0,0.0,0.019291762870370585,1.1703729629516602,52.96875,87dcd913b2955278b50ec070892dc5a977d8c76ece276be00dc33599ece9fc66,3116582ebea8ffd8ed4a0bb69d1e5132683f8bb96a88f955d3d5511b4dc0d158,d0bf6400c8380d06f2fc8267dfe53ee5ff8b9a53604eba322b14aeb18cb6e904
8s-S00_NO_FLOOR-s01,S00_NO_FLOOR,CONFIRMATORY_CONTROL,CONFIRMATORY_8S,1,5165989057726133609,LEGACY_REACTIVE,COMPLETED,True,0.016548987962962752,0.035833333333333335,0.019284345370370583,0.5381677777777837,0.0,0.035833333333333335,225,180,0.8,0,1.1800000000000352,1.3333333333333333,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6190,True,True,True,0,818.3600000000015,0.004887427777777787,0.0,395.46666666675344,0.00023618148148153327,0.0021256333333338,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3586.173333333245,0.010708712037036768,0.010708712037036768,0.0021256333333338,0.00645,0.0,0.0,0.019284345370370565,1.171743392944336,54.53125,baa61c79511ce9446044454aeba0b5dbbea09dfe5036aa0b522e46db10df66cf,3116582ebea8ffd8ed4a0bb69d1e5132683f8bb96a88f955d3d5511b4dc0d158,f5c150c5d2c4f54a5d9c66f9a3ecb01fb8973204ea18c6056e6bf2b4d8bcdc84
8s-S00_NO_FLOOR-s02,S00_NO_FLOOR,CONFIRMATORY_CONTROL,CONFIRMATORY_8S,2,16947568176394249616,LEGACY_REACTIVE,COMPLETED,True,0.016625428425925726,0.035833333333333335,0.01920790490740761,0.5360345555555611,0.0,0.035833333333333335,221,173,0.7828054298642534,0,1.2033333333333474,1.3574660633484164,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6502,True,True,True,0,861.5000000000001,0.005145069444444444,0.0,417.3933333334189,0.0002492765740741251,0.0022434891666671267,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3521.1066666665797,0.010514415740740485,0.010514415740740485,0.0022434891666671267,0.00645,0.0,0.0,0.019207904907407616,1.252497911453247,63.42578125,9210f6c917a8a0099e7b86dc98fc1def3a49235723ef802918bcbcd2cde19158,3116582ebea8ffd8ed4a0bb69d1e5132683f8bb96a88f955d3d5511b4dc0d158,445ecd5093ef5de416ec07f0f0ea31e75991b0466cbd47275c6387f072442899
8s-S00_NO_FLOOR-s03,S00_NO_FLOOR,CONFIRMATORY_CONTROL,CONFIRMATORY_8S,3,18075326756669610819,LEGACY_REACTIVE,COMPLETED,True,0.016592664814814605,0.03583333333333333,0.019240668518518723,0.5369488888888947,0.0,0.035833333333333335,223,178,0.7982062780269058,0,1.1933333333333351,1.345291479820628,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6333,True,True,True,0,838.4266666666656,0.005007270370370364,0.0,402.2666666667545,0.0002402425925926451,0.002162183333333806,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3559.306666666581,0.010628485185184926,0.010628485185184926,0.002162183333333806,0.00645,0.0,0.0,0.01924066851851873,1.2480933666229248,55.14453125,ae1b570d916a77ed7a40d2963d03bbe667b76b6e95e52def8e578706f62c186a,3116582ebea8ffd8ed4a0bb69d1e5132683f8bb96a88f955d3d5511b4dc0d158,e8f9fe180b47310dced5e2d5779f05c03d541b4d58b02505bbe587002c3cb722
8s-S00_NO_FLOOR-s04,S00_NO_FLOOR,CONFIRMATORY_CONTROL,CONFIRMATORY_8S,4,4114217942748140496,LEGACY_REACTIVE,COMPLETED,True,0.016490878240740525,0.03583333333333335,0.019342455092592824,0.5397894444444507,0.0,0.035833333333333335,228,186,0.8157894736842105,0,1.1470833333333417,1.3157894736842106,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,5845,True,True,True,0,782.2333333333315,0.004671671296296284,0.0,374.6333333334227,0.00022373935185190526,0.0020136541666671472,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3643.1333333332445,0.010878800925925667,0.010878800925925667,0.0020136541666671472,0.00645,0.0,0.0,0.019342455092592813,1.194643259048462,53.73046875,b489dd3be70a05b7b0fcd8cc8393375a8227b96b864cc3820f6f8e10def2fd91,3116582ebea8ffd8ed4a0bb69d1e5132683f8bb96a88f955d3d5511b4dc0d158,d491002d83f15cd66422369e3f603d4966f04e155c4c98a43de73ed82643400a
8s-S00_NO_FLOOR-s05,S00_NO_FLOOR,CONFIRMATORY_CONTROL,CONFIRMATORY_8S,5,1762912106260157046,LEGACY_REACTIVE,COMPLETED,True,0.016510793611110908,0.035833333333333335,0.019322539722222427,0.5392336666666724,0.0,0.035833333333333335,225,177,0.7866666666666666,0,1.170000000000016,1.3333333333333333,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6029,True,True,True,0,805.926666666669,0.004813173148148163,0.0,395.9133333334218,0.00023644824074079353,0.002128034166667142,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3598.1599999999094,0.010744505555555287,0.010744505555555287,0.002128034166667142,0.00645,0.0,0.0,0.019322539722222427,1.3160393238067627,54.17578125,1c08cc555a5400d33afdf8194c54bbc9c1caf41462b8accf89d3687171c3b740,3116582ebea8ffd8ed4a0bb69d1e5132683f8bb96a88f955d3d5511b4dc0d158,5b7e6038e797daa994258af55a9237ea56ba91974d14b01ae10ee004c4fea1ff
8s-S00_NO_FLOOR-s06,S00_NO_FLOOR,CONFIRMATORY_CONTROL,CONFIRMATORY_8S,6,4670163991797319312,LEGACY_REACTIVE,COMPLETED,True,0.0166109637037035,0.03583333333333334,0.01922236962962984,0.536438222222228,0.0,0.035833333333333335,220,172,0.7818181818181819,0,1.2045833333333418,1.3636363636363635,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6626,True,True,True,0,864.1066666666663,0.005160637037037033,0.0,426.7066666667507,0.0002548387037037539,0.0022935483333337858,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3509.1866666665815,0.010478821296296048,0.010478821296296048,0.0022935483333337858,0.00645,0.0,0.0,0.019222369629629834,1.2887637615203857,63.37890625,2de142ba08816e541aa983d1118847637645ab2263abb9b07bfba5869fa99056,3116582ebea8ffd8ed4a0bb69d1e5132683f8bb96a88f955d3d5511b4dc0d158,a01d02aedb8b4bd5f54d61222c3747874abc64704a8ab383c4cc8ed98953d21a
8s-S00_NO_FLOOR-s07,S00_NO_FLOOR,CONFIRMATORY_CONTROL,CONFIRMATORY_8S,7,17386869905707270377,LEGACY_REACTIVE,COMPLETED,True,0.01652880981481459,0.035833333333333335,0.019304523518518746,0.5387308888888952,0.0,0.035833333333333335,222,176,0.7927927927927928,0,1.1975000000000193,1.3513513513513513,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6296,True,True,True,0,833.5866666666648,0.004978364814814804,0.0,422.9466666667554,0.00025259314814820113,0.0022733383333338104,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3543.46666666658,0.010581185185184925,0.010581185185184925,0.0022733383333338104,0.00645,0.0,0.0,0.019304523518518735,1.256577968597412,54.87109375,2fa34b737bb9ecda021650cd17c94d5e257c0b33a90f382c4fa8b2f71f05804f,3116582ebea8ffd8ed4a0bb69d1e5132683f8bb96a88f955d3d5511b4dc0d158,49af8691e5c81241370b437ac50e496617d4476ae4fc445977638ce9911791b1
8s-S00_NO_FLOOR-s08,S00_NO_FLOOR,CONFIRMATORY_CONTROL,CONFIRMATORY_8S,8,2990465172206113483,LEGACY_REACTIVE,COMPLETED,True,0.01656979916666643,0.035833333333333335,0.019263534166666905,0.5375870000000066,0.0,0.035833333333333335,225,181,0.8044444444444444,0,1.1750000000000043,1.3333333333333333,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6069,True,True,True,0,816.0866666666226,0.004873850925925663,0.0,383.91333333337735,0.00022928157407410042,0.0020635341666669035,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.01075,0.01075,0.0020635341666669035,0.00645,0.0,0.0,0.019263534166666905,1.2443430423736572,54.2578125,dbd298b21d7d4525e8d75a31905d4862245ea822f2dc818da3385d46b453bd9b,3116582ebea8ffd8ed4a0bb69d1e5132683f8bb96a88f955d3d5511b4dc0d158,b18e9089e586e83f358a9c84287faf36f20ca828fde07414281b634fd4678359
8s-S00_NO_FLOOR-s09,S00_NO_FLOOR,CONFIRMATORY_CONTROL,CONFIRMATORY_8S,9,13617931550189158389,LEGACY_REACTIVE,COMPLETED,True,0.016518605277777557,0.03583333333333333,0.01931472805555577,0.5390156666666728,0.0,0.035833333333333335,223,174,0.7802690582959642,0,1.1600000000000037,1.345291479820628,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6202,True,True,True,0,827.5399999999977,0.004942252777777765,0.0,419.6600000000878,0.00025063027777783015,0.0022556725000004714,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3552.799999999915,0.0106090555555553,0.0106090555555553,0.0022556725000004714,0.00645,0.0,0.0,0.01931472805555577,1.2870304584503174,54.58984375,41d9f4f904242e2d224fe7a1f2eb2daf371527a0ef6f34666ccd5e1dd12ca47d,3116582ebea8ffd8ed4a0bb69d1e5132683f8bb96a88f955d3d5511b4dc0d158,b6554d0b25d42f62c9625fe7da297ed6ecd3ccd13888b1814fcf0c120a9d1c49
