seed_class,seed_index,master_seed_decimal,derivation,used_by
PILOT_8S,0,16175287802620808866,"SHA256(""PoCol-v45-stage8s-pilot-0"") first u64 BE",structural pilot only (all four scenarios)
PILOT_8S,1,11114301647077784550,"SHA256(""PoCol-v45-stage8s-pilot-1"") first u64 BE",structural pilot only (all four scenarios)
CONFIRMATORY_8S,0,16589040752212978661,"SHA256(""PoCol-v45-stage8s-confirmatory-0"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,1,5165989057726133609,"SHA256(""PoCol-v45-stage8s-confirmatory-1"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,2,16947568176394249616,"SHA256(""PoCol-v45-stage8s-confirmatory-2"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,3,18075326756669610819,"SHA256(""PoCol-v45-stage8s-confirmatory-3"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,4,4114217942748140496,"SHA256(""PoCol-v45-stage8s-confirmatory-4"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,5,1762912106260157046,"SHA256(""PoCol-v45-stage8s-confirmatory-5"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,6,4670163991797319312,"SHA256(""PoCol-v45-stage8s-confirmatory-6"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,7,17386869905707270377,"SHA256(""PoCol-v45-stage8s-confirmatory-7"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,8,2990465172206113483,"SHA256(""PoCol-v45-stage8s-confirmatory-8"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,9,13617931550189158389,"SHA256(""PoCol-v45-stage8s-confirmatory-9"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,10,13715678045320114932,"SHA256(""PoCol-v45-stage8s-confirmatory-10"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
CONFIRMATORY_8S,11,16935060739719325789,"SHA256(""PoCol-v45-stage8s-confirmatory-11"") first u64 BE",S00;S01;S02;S03 (same 12 seeds in every scenario)
ANALYSIS_8S,0,16767666002914861861,"SHA256(""PoCol-v45-stage8s-analysis-0"") first u64 BE",bootstrap RNG root (analysis only; never a simulation seed)
