run_id,scenario_id,role,engine,seed_class,seed_index,master_seed
8u-W00_POW_POPULATION_MATCHED-s00,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,0,7109416645113272217
8u-W00_POW_POPULATION_MATCHED-s01,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,1,4722781561396008364
8u-W00_POW_POPULATION_MATCHED-s02,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,2,11057767727017621422
8u-W00_POW_POPULATION_MATCHED-s03,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,3,178241383409361824
8u-W00_POW_POPULATION_MATCHED-s04,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,4,187227905406350399
8u-W00_POW_POPULATION_MATCHED-s05,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,5,2837434832014830297
8u-W00_POW_POPULATION_MATCHED-s06,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,6,11348986123437513146
8u-W00_POW_POPULATION_MATCHED-s07,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,7,8891096340742217912
8u-W00_POW_POPULATION_MATCHED-s08,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,8,11679691160171143853
8u-W00_POW_POPULATION_MATCHED-s09,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,9,14213658195682683475
8u-W00_POW_POPULATION_MATCHED-s10,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,10,14846254136064279593
8u-W00_POW_POPULATION_MATCHED-s11,W00_POW_POPULATION_MATCHED,CONFIRMATORY_POW_CONTROL,MATCHED_POW,CONFIRMATORY_8U,11,13947008554506819547
