run_id,scenario_id,role,engine,seed_class,seed_index,master_seed,controller_mode_configured,difficulty_configured,run_status,all_integrity_gates_pass,E_idle_kwh,E_power_null_kwh,absolute_reduction_kwh,relative_reduction,offline_residency_s,a1_continuous_control_kwh,rounds_executed,rounds_accepted,accepted_blocks_per_closed_round,zero_block_indicator,median_round_duration,mean_round_duration,p95_round_duration,unclosed_final_tail_s,static_floor_deficit_area_hash_s,activation_requests_seated,activation_requests_completed,activation_requests_cancelled,incomplete_activation_request_count,activations_per_closed_round,reassignments_per_closed_round,handoffs_per_closed_round,nonterminal_activation_request_count,first_valid_solution_count,rounds_exhausted,rounds_horizon_truncated,mining_node_count,standby_node_count,energy_kwh_active_hashing,energy_kwh_reserve_standby,total_physical_evaluations,unique_physical_evaluations,duplicate_physical_evaluations,post_round_evaluation_count,blocks_per_million_physical_evaluations,energy_per_accepted_block_kwh,duration_below_static_floor,static_floor_unattainable_count,duration_below_useful_floor,useful_floor_deficit_area,useful_floor_unattainable_count,H_useful_available_time_weighted,H_useful_target_time_weighted,coarse_repartition_count,coarse_reassignment_count,mean_coarse_chunk_size,minimum_coarse_chunk_size,maximum_coarse_chunk_size,donor_lineage_repartition_replay_count,duplicate_reassignment_prevented_count,nonterminal_coarse_request_count,coarse_requests_completed,reserve_wakes_rejected_no_useful_work,reserve_wakes_with_bound_work,reserve_wakes_completed_with_useful_work,reserve_wake_useful_completion_ratio,handoff_epoch_count,handoff_committed_count,handoff_completed_count,handoff_failed_count,handoff_cancelled_count,duplicate_handoff_prevented_count,nonterminal_handoff_epoch_count,single_reserve_requests_seated,single_reserve_requests_completed,single_reserve_requests_incomplete,reserve_wake_rejected_short_useful_window,reserve_wake_rejected_awake_receiver_available,reserve_wake_rejected_no_bound_work,controller_mode,breach_episode_count,breach_episode_recovered_count,episode_unattainable_count,activation_batches_seated,predictive_batches_seated,reactive_batches_seated,duplicate_activation_batch_prevented_count,prediction_decision_count,false_positive_wake_count,late_wake_count,maximum_H_pipeline,time_weighted_H_pipeline,maximum_energy_identity_residual_j,maximum_residency_partition_residual_s,duplicate_nonce_count,post_round_evaluation_record_count,post_round_evaluation_nonce_count,evaluation_missing_terminal_time_count,physical_frontier_rewind_count,work_reward_union_residual,nonterminal_lease_count,nonterminal_reassignment_request_count,adversarial_action_total,nonterminal_episode_count,live_batch_after_close_count,evaluation_ledger_entries,handoff_one_epoch_per_round,handoff_chunks_contiguous,handoff_union_equals_original_suffix,handoff_benefit_gate_strict,handoff_epochs_all_terminal,handoff_donor_never_in_ceded_chunk,one_reserve_wake_per_round,residency_PRIMARY_ACTIVE_HASHING_s,energy_PRIMARY_ACTIVE_HASHING_kwh,power_null_difference_PRIMARY_ACTIVE_HASHING_kwh,residency_PRIMARY_LOW_POWER_LISTEN_s,energy_PRIMARY_LOW_POWER_LISTEN_kwh,power_null_difference_PRIMARY_LOW_POWER_LISTEN_kwh,residency_RESERVE_STANDBY_s,energy_RESERVE_STANDBY_kwh,power_null_difference_RESERVE_STANDBY_kwh,residency_RESERVE_WAKING_s,energy_RESERVE_WAKING_kwh,power_null_difference_RESERVE_WAKING_kwh,residency_ACTIVATED_RESERVE_HASHING_s,energy_ACTIVATED_RESERVE_HASHING_kwh,power_null_difference_ACTIVATED_RESERVE_HASHING_kwh,residency_OFFLINE_s,energy_OFFLINE_kwh,power_null_difference_OFFLINE_kwh,residency_COORDINATION_AND_VERIFICATION_s,energy_COORDINATION_AND_VERIFICATION_kwh,power_null_difference_COORDINATION_AND_VERIFICATION_kwh,range_idle_energy_difference_kwh,reserve_standby_energy_difference_kwh,wake_energy_difference_kwh,activated_reserve_energy_kwh,total_low_power_state_difference_kwh,wall_clock_seconds,peak_rss_mb,config_sha256,engine_sha256,record_sha256
8u-P00_POCOL_NO_FLOOR-s00,P00_POCOL_NO_FLOOR,CONFIRMATORY_CONTROL,POCOL,CONFIRMATORY_8U,0,7109416645113272217,LEGACY_REACTIVE,1000,COMPLETED,True,0.016486283611110895,0.03583333333333333,0.019347049722222433,0.5399176666666726,0.0,0.035833333333333335,227,183,0.8061674008810573,0,1.150000000000034,1.3215859030837005,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,183,,,,,,,147769,147769,0,0,1238.419424913209,9.00889814814803e-05,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6015,True,True,True,True,True,True,True,792.6733333333324,0.00473402129629629,0.0,389.6066666667534,0.00023268175925931107,0.0020941358333337995,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617.7199999999143,0.010802913888888632,0.010802913888888632,0.0020941358333337995,0.00645,0.0,0.0,0.019347049722222433,2.3755407333374023,63.21875,cbd0fa7507e7ea2a8ec78c4c3b25928e7c6e3f5b2f321a046455f4336edc084e,66cda7be55442ca38119abe893fb23c8ef9f8ff0e2db3dd21e83513d6d7988e1,001141ec89a588d1a66b692b135351249b570d103f7ebbeb3895b1c5ccda70b5
8u-P00_POCOL_NO_FLOOR-s01,P00_POCOL_NO_FLOOR,CONFIRMATORY_CONTROL,POCOL,CONFIRMATORY_8U,1,4722781561396008364,LEGACY_REACTIVE,1000,COMPLETED,True,0.016460547314814597,0.035833333333333335,0.019372786018518738,0.540635888888895,0.0,0.035833333333333335,223,176,0.7892376681614349,0,1.160000000000025,1.345291479820628,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,176,,,,,,,147961,147961,0,0,1189.5026392089808,9.352583701599202e-05,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6013,True,True,True,True,True,True,True,811.9799999999975,0.0048493249999999825,0.0,424.51333333342194,0.0002535287962963492,0.0022817591666671427,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3563.506666666581,0.010641026851851594,0.010641026851851594,0.0022817591666671427,0.00645,0.0,0.0,0.019372786018518738,2.302565097808838,63.10546875,17114f6ed71e8be63a6feb7aff221ee76b12b2b6adafe95e2bbfb04f69083927,66cda7be55442ca38119abe893fb23c8ef9f8ff0e2db3dd21e83513d6d7988e1,2e16dcf989a60ce0cbd00b71448172562d24bfb21a3f4231c8d8271990d3c883
8u-P00_POCOL_NO_FLOOR-s02,P00_POCOL_NO_FLOOR,CONFIRMATORY_CONTROL,POCOL,CONFIRMATORY_8U,2,11057767727017621422,LEGACY_REACTIVE,1000,COMPLETED,True,0.016583571111110636,0.035833333333333335,0.0192497622222227,0.5372026666666799,0.0,0.035833333333333335,224,182,0.8125,0,1.1975000000000113,1.3392857142857142,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,182,,,,,,,153564,153564,0,0,1185.1736083978014,9.111852258851997e-05,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6242,True,True,True,True,True,True,True,825.7599999999126,0.004931622222221701,0.0,390.2400000000873,0.00023306000000005212,0.0020975400000004694,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.010702222222222222,0.010702222222222222,0.0020975400000004694,0.00645,0.0,0.0,0.019249762222222692,1.5544943809509277,64.02734375,4a0a1dbcd410960449bc473203e1af0b1e178df4f629d4f7118d4661b178625c,66cda7be55442ca38119abe893fb23c8ef9f8ff0e2db3dd21e83513d6d7988e1,d304fff367720526504bc889f883ce7f63aa5da6a79769ec0c20eb32da5fc449
8u-P00_POCOL_NO_FLOOR-s03,P00_POCOL_NO_FLOOR,CONFIRMATORY_CONTROL,POCOL,CONFIRMATORY_8U,3,178241383409361824,LEGACY_REACTIVE,1000,COMPLETED,True,0.016524513796296093,0.035833333333333335,0.019308819537037242,0.5388507777777835,0.0,0.035833333333333335,223,175,0.7847533632286996,0,1.1800000000000068,1.345291479820628,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,175,,,,,,,151565,151565,0,0,1154.6201299772374,9.442579312169196e-05,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6148,True,True,True,True,True,True,True,823.4066666666677,0.004917567592592599,0.0,412.0200000000869,0.0002460675000000519,0.002214607500000467,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3564.573333333246,0.010644212037036775,0.010644212037036775,0.002214607500000467,0.00645,0.0,0.0,0.019308819537037242,1.5600559711456299,63.7265625,349728178b5fe1019b48be8afab2065eba29746bb3876270768a58b9af41fee7,66cda7be55442ca38119abe893fb23c8ef9f8ff0e2db3dd21e83513d6d7988e1,736bd670dd3a855c7d10b1dd88943d5e31bb4b58c7a794973b146fc10c5dcdd6
8u-P00_POCOL_NO_FLOOR-s04,P00_POCOL_NO_FLOOR,CONFIRMATORY_CONTROL,POCOL,CONFIRMATORY_8U,4,187227905406350399,LEGACY_REACTIVE,1000,COMPLETED,True,0.016520166018518315,0.03583333333333333,0.019313167314815013,0.5389721111111168,0.0,0.035833333333333335,218,164,0.7522935779816514,0,1.1987500000000146,1.3761467889908257,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,164,,,,,,,161976,161976,0,0,1012.4956783721044,0.00010073271962511168,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6565,True,True,True,True,True,True,True,862.2600000000001,0.005149608333333334,0.0,462.40666666675395,0.00027615953703708917,0.0024854358333338033,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3475.3333333332466,0.010377731481481219,0.010377731481481219,0.0024854358333338033,0.00645,0.0,0.0,0.019313167314815024,2.0359749794006348,72.4921875,011e3f48b11a549242a11d61f16aa4fa8a74c55493cb379dfd771973c0628f45,66cda7be55442ca38119abe893fb23c8ef9f8ff0e2db3dd21e83513d6d7988e1,31ac6a390ea4c77a43d18dbe6fc8a1307217a69b7bb4cfbf2b77c545171dd19a
8u-P00_POCOL_NO_FLOOR-s05,P00_POCOL_NO_FLOOR,CONFIRMATORY_CONTROL,POCOL,CONFIRMATORY_8U,5,2837434832014830297,LEGACY_REACTIVE,1000,COMPLETED,True,0.01657863009259238,0.035833333333333335,0.019254703240740956,0.5373405555555616,0.0,0.035833333333333335,225,180,0.8,0,1.183333333333394,1.3333333333333333,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,180,,,,,,,152488,152488,0,0,1180.4207544200199,9.210350051440211e-05,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6196,True,True,True,True,True,True,True,819.9933333333319,0.0048971824074073985,0.0,385.10000000008745,0.00022999027777783005,0.0020699125000004704,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3594.9066666665817,0.010734790740740487,0.010734790740740487,0.0020699125000004704,0.00645,0.0,0.0,0.01925470324074096,1.8525264263153076,63.84375,ff6a7efca6d573a53bdfd063a1c6790d110a83e54863e8bcd207ad4a0c87177b,66cda7be55442ca38119abe893fb23c8ef9f8ff0e2db3dd21e83513d6d7988e1,c7d012b116a034c145c0fde3580abe62326e081f4ecf29f5ea3dbddb0b06bc42
8u-P00_POCOL_NO_FLOOR-s06,P00_POCOL_NO_FLOOR,CONFIRMATORY_CONTROL,POCOL,CONFIRMATORY_8U,6,11348986123437513146,LEGACY_REACTIVE,1000,COMPLETED,True,0.016615116388888414,0.03583333333333333,0.019218216944444914,0.5363223333333466,0.0,0.035833333333333335,226,185,0.8185840707964602,0,1.1862500000000153,1.3274336283185841,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,185,,,,,,,150529,150529,0,0,1228.9990633034167,8.981143993993737e-05,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6109,True,True,True,True,True,True,True,817.4066666665781,0.0048817342592587295,0.0,366.59333333342175,0.00021893768518523805,0.001970439166667143,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3616.0,0.010797777777777778,0.010797777777777778,0.001970439166667143,0.00645,0.0,0.0,0.01921821694444492,1.8523077964782715,63.7109375,c4a7a802b0b8a4d4cf24d47952bdbb28234788d461af0d8169df0047b824f0a0,66cda7be55442ca38119abe893fb23c8ef9f8ff0e2db3dd21e83513d6d7988e1,b675140226a6a9b728af38748a3ed14a8eba82bb9168895c28b05f34ff0941e2
8u-P00_POCOL_NO_FLOOR-s07,P00_POCOL_NO_FLOOR,CONFIRMATORY_CONTROL,POCOL,CONFIRMATORY_8U,7,8891096340742217912,LEGACY_REACTIVE,1000,COMPLETED,True,0.01651012472222175,0.035833333333333335,0.019323208611111586,0.5392523333333465,0.0,0.035833333333333335,223,177,0.7937219730941704,0,1.1650000000000205,1.345291479820628,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,177,,,,,,,150865,150865,0,0,1173.2343485897989,9.32775408035127e-05,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6127,True,True,True,True,True,True,True,819.2066666665786,0.004892484259258733,0.0,412.7933333334212,0.0002465293518519043,0.002218764166667139,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3568.0,0.010654444444444444,0.010654444444444444,0.002218764166667139,0.00645,0.0,0.0,0.019323208611111583,1.5397121906280518,63.69921875,349c4982efb9155ebabffa60583c4042cea21444470bfe8fccf59cb9b3ed37a7,66cda7be55442ca38119abe893fb23c8ef9f8ff0e2db3dd21e83513d6d7988e1,7a5afb9a928f8839da7c4a5ab7fbaa32a54653f5a17f363c59c3c761ee0aa59e
8u-P00_POCOL_NO_FLOOR-s08,P00_POCOL_NO_FLOOR,CONFIRMATORY_CONTROL,POCOL,CONFIRMATORY_8U,8,11679691160171143853,LEGACY_REACTIVE,1000,COMPLETED,True,0.016638503611110873,0.035833333333333335,0.019194829722222462,0.5356696666666734,0.0,0.035833333333333335,221,177,0.8009049773755657,0,1.200000000000017,1.3574660633484164,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,177,,,,,,,160161,160161,0,0,1105.1379549328487,9.400284526051341e-05,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6488,True,True,True,True,True,True,True,857.3133333332897,0.00512006574074048,0.0,406.6866666667103,0.00024288231481484087,0.0021859408333335683,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3536.0,0.010558888888888888,0.010558888888888888,0.0021859408333335683,0.00645,0.0,0.0,0.01919482972222246,1.4734234809875488,72.4140625,ebe42a10dff9b4b373715a2d50bf639ce3258be07ed4d73af0b7ab96f3a23569,66cda7be55442ca38119abe893fb23c8ef9f8ff0e2db3dd21e83513d6d7988e1,df47fe7a332537b66449d76a644006717091293d1098cc9292ac4c01a4ba1f36
8u-P00_POCOL_NO_FLOOR-s09,P00_POCOL_NO_FLOOR,CONFIRMATORY_CONTROL,POCOL,CONFIRMATORY_8U,9,14213658195682683475,LEGACY_REACTIVE,1000,COMPLETED,True,0.016600675555555316,0.035833333333333335,0.01923265777777802,0.53672533333334,0.0,0.035833333333333335,226,190,0.8407079646017699,0,1.170000000000016,1.3274336283185841,2.0000000000000284,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,190,,,,,,,149857,149857,0,0,1267.8753745237127,8.737197660818587e-05,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGACY_REACTIVE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6080,True,True,True,True,True,True,True,814.7199999999558,0.004865688888888625,0.0,369.28000000004374,0.0002205422222222483,0.001984880000000235,1200.0,0.0007166666666666667,0.00645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3616.0000000000005,0.01079777777777778,0.01079777777777778,0.001984880000000235,0.00645,0.0,0.0,0.019232657777778016,1.492720365524292,63.49609375,6802c69aa90189eff70a65a29eb696baf2f37ae5f531c6f24fa32656c9029a0c,66cda7be55442ca38119abe893fb23c8ef9f8ff0e2db3dd21e83513d6d7988e1,2c510d0a95bf0b939365284211b4d6f167f47ead0ca68418dd350dcdf0882ab8
