seed_class,seed_index,derivation_tag,master_seed_decimal,disjoint_from_all_previous_registries
PILOT_8U,0,PoCol-v45-stage8u-pilot-0,801072209236353412,TRUE
PILOT_8U,1,PoCol-v45-stage8u-pilot-1,2069121140149646086,TRUE
CONFIRMATORY_8U,0,PoCol-v45-stage8u-confirmatory-0,7109416645113272217,TRUE
CONFIRMATORY_8U,1,PoCol-v45-stage8u-confirmatory-1,4722781561396008364,TRUE
CONFIRMATORY_8U,2,PoCol-v45-stage8u-confirmatory-2,11057767727017621422,TRUE
CONFIRMATORY_8U,3,PoCol-v45-stage8u-confirmatory-3,178241383409361824,TRUE
CONFIRMATORY_8U,4,PoCol-v45-stage8u-confirmatory-4,187227905406350399,TRUE
CONFIRMATORY_8U,5,PoCol-v45-stage8u-confirmatory-5,2837434832014830297,TRUE
CONFIRMATORY_8U,6,PoCol-v45-stage8u-confirmatory-6,11348986123437513146,TRUE
CONFIRMATORY_8U,7,PoCol-v45-stage8u-confirmatory-7,8891096340742217912,TRUE
CONFIRMATORY_8U,8,PoCol-v45-stage8u-confirmatory-8,11679691160171143853,TRUE
CONFIRMATORY_8U,9,PoCol-v45-stage8u-confirmatory-9,14213658195682683475,TRUE
CONFIRMATORY_8U,10,PoCol-v45-stage8u-confirmatory-10,14846254136064279593,TRUE
CONFIRMATORY_8U,11,PoCol-v45-stage8u-confirmatory-11,13947008554506819547,TRUE
ANALYSIS_8U,0,PoCol-v45-stage8u-analysis-0,17618529829928476883,TRUE
