control,pocol_scenario,seed_index,relative_reduction
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,0,0.5399176666666727
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,1,0.540635888888895
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,2,0.5372026666666799
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,3,0.5388507777777835
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,4,0.5389721111111169
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,5,0.5373405555555616
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,6,0.5363223333333467
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,7,0.5392523333333465
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,8,0.5356696666666734
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,9,0.53672533333334
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,10,0.5390751111111172
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,11,0.5382277777777836
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,MEAN,0.5381826851851931
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,CI95_LOW,0.5373393333333419
W00_POW_POPULATION_MATCHED,P00_POCOL_NO_FLOOR,CI95_HIGH,0.5390001481481578
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,0,0.5471583333333389
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,1,0.5517485277777836
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,2,0.5489334583333392
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,3,0.5503355416666721
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,4,0.5519967638888945
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,5,0.5486798194444568
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,6,0.5516018194444502
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,7,0.5499727916666789
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,8,0.5515236944444499
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,9,0.5452609861111171
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,10,0.5492964444444502
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,11,0.5522484583333387
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,MEAN,0.5498963865740808
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,CI95_LOW,0.5486534652777846
W00_POW_POPULATION_MATCHED,P01_POCOL_STAGE8S_COARSE,CI95_HIGH,0.5509855092592655
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,0,0.5465758611111173
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,1,0.5494768611111177
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,2,0.5486424166666808
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,3,0.5490751250000062
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,4,0.5499128888888953
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,5,0.5472812500000063
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,6,0.5498168194444514
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,7,0.5487388194444507
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,8,0.5490269166666728
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,9,0.5466268055555622
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,10,0.5490287500000065
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,11,0.5490237500000028
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,MEAN,0.5486021886574142
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,CI95_LOW,0.547948280092599
W00_POW_POPULATION_MATCHED,P02_POCOL_SINGLE_HANDOFF,CI95_HIGH,0.5491757094907472
W01_POW_ACTIVE_CAPACITY_MATCHED,P00_POCOL_NO_FLOOR,0,0.43892398373984476
W01_POW_ACTIVE_CAPACITY_MATCHED,P00_POCOL_NO_FLOOR,1,0.43979986449865244
W01_POW_ACTIVE_CAPACITY_MATCHED,P00_POCOL_NO_FLOOR,2,0.43561300813009746
W01_POW_ACTIVE_CAPACITY_MATCHED,P00_POCOL_NO_FLOOR,3,0.43762289972900426
