scenario_id,seed_index,value
W00_POW_POPULATION_MATCHED,0,269.0
W00_POW_POPULATION_MATCHED,1,233.0
W00_POW_POPULATION_MATCHED,2,244.0
W00_POW_POPULATION_MATCHED,3,238.0
W00_POW_POPULATION_MATCHED,4,226.0
W00_POW_POPULATION_MATCHED,5,257.0
W00_POW_POPULATION_MATCHED,6,253.0
W00_POW_POPULATION_MATCHED,7,243.0
W00_POW_POPULATION_MATCHED,8,268.0
W00_POW_POPULATION_MATCHED,9,300.0
W00_POW_POPULATION_MATCHED,10,250.0
W00_POW_POPULATION_MATCHED,11,212.0
W00_POW_POPULATION_MATCHED,MEAN,249.41666666666666
W00_POW_POPULATION_MATCHED,CI95_LOW,237.33333333333334
W00_POW_POPULATION_MATCHED,CI95_HIGH,262.5
W01_POW_ACTIVE_CAPACITY_MATCHED,0,263.0
W01_POW_ACTIVE_CAPACITY_MATCHED,1,226.0
W01_POW_ACTIVE_CAPACITY_MATCHED,2,238.0
W01_POW_ACTIVE_CAPACITY_MATCHED,3,225.0
W01_POW_ACTIVE_CAPACITY_MATCHED,4,207.0
W01_POW_ACTIVE_CAPACITY_MATCHED,5,250.0
W01_POW_ACTIVE_CAPACITY_MATCHED,6,250.0
W01_POW_ACTIVE_CAPACITY_MATCHED,7,241.0
W01_POW_ACTIVE_CAPACITY_MATCHED,8,259.0
W01_POW_ACTIVE_CAPACITY_MATCHED,9,294.0
W01_POW_ACTIVE_CAPACITY_MATCHED,10,244.0
W01_POW_ACTIVE_CAPACITY_MATCHED,11,204.0
W01_POW_ACTIVE_CAPACITY_MATCHED,MEAN,241.75
W01_POW_ACTIVE_CAPACITY_MATCHED,CI95_LOW,228.66666666666666
W01_POW_ACTIVE_CAPACITY_MATCHED,CI95_HIGH,255.41666666666666
P00_POCOL_NO_FLOOR,0,183.0
P00_POCOL_NO_FLOOR,1,176.0
P00_POCOL_NO_FLOOR,2,182.0
P00_POCOL_NO_FLOOR,3,175.0
P00_POCOL_NO_FLOOR,4,164.0
P00_POCOL_NO_FLOOR,5,180.0
P00_POCOL_NO_FLOOR,6,185.0
P00_POCOL_NO_FLOOR,7,177.0
P00_POCOL_NO_FLOOR,8,177.0
P00_POCOL_NO_FLOOR,9,190.0
P00_POCOL_NO_FLOOR,10,182.0
P00_POCOL_NO_FLOOR,11,165.0
P00_POCOL_NO_FLOOR,MEAN,178.0
P00_POCOL_NO_FLOOR,CI95_LOW,173.75
P00_POCOL_NO_FLOOR,CI95_HIGH,181.83333333333334
P01_POCOL_STAGE8S_COARSE,0,166.0
P01_POCOL_STAGE8S_COARSE,1,162.0
P01_POCOL_STAGE8S_COARSE,2,172.0
P01_POCOL_STAGE8S_COARSE,3,164.0
P01_POCOL_STAGE8S_COARSE,4,151.0
P01_POCOL_STAGE8S_COARSE,5,164.0
P01_POCOL_STAGE8S_COARSE,6,168.0
P01_POCOL_STAGE8S_COARSE,7,164.0
P01_POCOL_STAGE8S_COARSE,8,165.0
P01_POCOL_STAGE8S_COARSE,9,181.0
P01_POCOL_STAGE8S_COARSE,10,171.0
P01_POCOL_STAGE8S_COARSE,11,146.0
P01_POCOL_STAGE8S_COARSE,MEAN,164.5
P01_POCOL_STAGE8S_COARSE,CI95_LOW,159.33333333333334
P01_POCOL_STAGE8S_COARSE,CI95_HIGH,169.33333333333334
P02_POCOL_SINGLE_HANDOFF,0,167.0
P02_POCOL_SINGLE_HANDOFF,1,166.0
P02_POCOL_SINGLE_HANDOFF,2,165.0
P02_POCOL_SINGLE_HANDOFF,3,157.0
P02_POCOL_SINGLE_HANDOFF,4,154.0
P02_POCOL_SINGLE_HANDOFF,5,164.0
P02_POCOL_SINGLE_HANDOFF,6,166.0
P02_POCOL_SINGLE_HANDOFF,7,165.0
P02_POCOL_SINGLE_HANDOFF,8,165.0
P02_POCOL_SINGLE_HANDOFF,9,178.0
P02_POCOL_SINGLE_HANDOFF,10,165.0
P02_POCOL_SINGLE_HANDOFF,11,152.0
P02_POCOL_SINGLE_HANDOFF,MEAN,163.66666666666666
P02_POCOL_SINGLE_HANDOFF,CI95_LOW,160.0
P02_POCOL_SINGLE_HANDOFF,CI95_HIGH,167.41666666666666
