scenario_id,metric,seed_index,value_s
W00_POW_POPULATION_MATCHED,median,0,0.1787500000000044
W00_POW_POPULATION_MATCHED,median,1,0.19333333333332803
W00_POW_POPULATION_MATCHED,median,2,0.17000000000001592
W00_POW_POPULATION_MATCHED,median,3,0.19249999999999545
W00_POW_POPULATION_MATCHED,median,4,0.19499999999999318
W00_POW_POPULATION_MATCHED,median,5,0.1870833333333337
W00_POW_POPULATION_MATCHED,median,6,0.19500000000000028
W00_POW_POPULATION_MATCHED,median,7,0.173333333333332
W00_POW_POPULATION_MATCHED,median,8,0.17000000000001592
W00_POW_POPULATION_MATCHED,median,9,0.16666666666668561
W00_POW_POPULATION_MATCHED,median,10,0.18500000000000227
W00_POW_POPULATION_MATCHED,median,11,0.20999999999997954
W00_POW_POPULATION_MATCHED,median,MEAN,0.18472222222222387
W00_POW_POPULATION_MATCHED,median,CI95_LOW,0.17760416666667508
W00_POW_POPULATION_MATCHED,median,CI95_HIGH,0.19211805555555284
W01_POW_ACTIVE_CAPACITY_MATCHED,median,0,0.20999999999999375
W01_POW_ACTIVE_CAPACITY_MATCHED,median,1,0.22333333333333627
W01_POW_ACTIVE_CAPACITY_MATCHED,median,2,0.21250000000000568
W01_POW_ACTIVE_CAPACITY_MATCHED,median,3,0.23749999999999716
W01_POW_ACTIVE_CAPACITY_MATCHED,median,4,0.27000000000001023
W01_POW_ACTIVE_CAPACITY_MATCHED,median,5,0.2224999999999966
W01_POW_ACTIVE_CAPACITY_MATCHED,median,6,0.2400000000000091
W01_POW_ACTIVE_CAPACITY_MATCHED,median,7,0.22999999999999865
W01_POW_ACTIVE_CAPACITY_MATCHED,median,8,0.21666666666664014
W01_POW_ACTIVE_CAPACITY_MATCHED,median,9,0.18500000000000227
W01_POW_ACTIVE_CAPACITY_MATCHED,median,10,0.20499999999998408
W01_POW_ACTIVE_CAPACITY_MATCHED,median,11,0.24583333333333002
W01_POW_ACTIVE_CAPACITY_MATCHED,median,MEAN,0.22486111111110865
W01_POW_ACTIVE_CAPACITY_MATCHED,median,CI95_LOW,0.21340277777777153
W01_POW_ACTIVE_CAPACITY_MATCHED,median,CI95_HIGH,0.23701388888889138
P00_POCOL_NO_FLOOR,median,0,1.150000000000034
P00_POCOL_NO_FLOOR,median,1,1.160000000000025
P00_POCOL_NO_FLOOR,median,2,1.1975000000000113
P00_POCOL_NO_FLOOR,median,3,1.1800000000000068
P00_POCOL_NO_FLOOR,median,4,1.1987500000000146
P00_POCOL_NO_FLOOR,median,5,1.183333333333394
P00_POCOL_NO_FLOOR,median,6,1.1862500000000153
P00_POCOL_NO_FLOOR,median,7,1.1650000000000205
P00_POCOL_NO_FLOOR,median,8,1.200000000000017
P00_POCOL_NO_FLOOR,median,9,1.170000000000016
P00_POCOL_NO_FLOOR,median,10,1.1650000000000063
P00_POCOL_NO_FLOOR,median,11,1.2087500000000206
P00_POCOL_NO_FLOOR,median,MEAN,1.1803819444444652
P00_POCOL_NO_FLOOR,median,CI95_LOW,1.1705208333333534
P00_POCOL_NO_FLOOR,median,CI95_HIGH,1.1901736111111283
P01_POCOL_STAGE8S_COARSE,median,0,1.2100000000000009
P01_POCOL_STAGE8S_COARSE,median,1,1.1600000000000108
P01_POCOL_STAGE8S_COARSE,median,2,1.1650000000000205
P01_POCOL_STAGE8S_COARSE,median,3,1.1650000000000063
P01_POCOL_STAGE8S_COARSE,median,4,1.1975000000000051
P01_POCOL_STAGE8S_COARSE,median,5,1.170000000000016
P01_POCOL_STAGE8S_COARSE,median,6,1.1600000000000108
P01_POCOL_STAGE8S_COARSE,median,7,1.1600000000000144
