scenario_id,seed_index,value
W00_POW_POPULATION_MATCHED,0,0.0001332094175960347
W00_POW_POPULATION_MATCHED,1,0.00015379113018598
W00_POW_POPULATION_MATCHED,2,0.00014685792349726777
W00_POW_POPULATION_MATCHED,3,0.00015056022408963587
W00_POW_POPULATION_MATCHED,4,0.00015855457227138643
W00_POW_POPULATION_MATCHED,5,0.00013942931258106357
W00_POW_POPULATION_MATCHED,6,0.00014163372859025034
W00_POW_POPULATION_MATCHED,7,0.00014746227709190672
W00_POW_POPULATION_MATCHED,8,0.00013370646766169155
W00_POW_POPULATION_MATCHED,9,0.00011944444444444445
W00_POW_POPULATION_MATCHED,10,0.00014333333333333334
W00_POW_POPULATION_MATCHED,11,0.0001690251572327044
W00_POW_POPULATION_MATCHED,MEAN,0.0001447506657146416
W00_POW_POPULATION_MATCHED,CI95_LOW,0.00013789324596757586
W00_POW_POPULATION_MATCHED,CI95_HIGH,0.00015171397293552337
W01_POW_ACTIVE_CAPACITY_MATCHED,0,0.00011172370088719899
W01_POW_ACTIVE_CAPACITY_MATCHED,1,0.00013001474926253688
W01_POW_ACTIVE_CAPACITY_MATCHED,2,0.00012345938375350141
W01_POW_ACTIVE_CAPACITY_MATCHED,3,0.0001305925925925926
W01_POW_ACTIVE_CAPACITY_MATCHED,4,0.00014194847020933978
W01_POW_ACTIVE_CAPACITY_MATCHED,5,0.00011753333333333334
W01_POW_ACTIVE_CAPACITY_MATCHED,6,0.00011753333333333334
W01_POW_ACTIVE_CAPACITY_MATCHED,7,0.0001219225449515906
W01_POW_ACTIVE_CAPACITY_MATCHED,8,0.00011344916344916346
W01_POW_ACTIVE_CAPACITY_MATCHED,9,9.994331065759637e-05
W01_POW_ACTIVE_CAPACITY_MATCHED,10,0.00012042349726775957
W01_POW_ACTIVE_CAPACITY_MATCHED,11,0.0001440359477124183
W01_POW_ACTIVE_CAPACITY_MATCHED,MEAN,0.00012271500228419705
W01_POW_ACTIVE_CAPACITY_MATCHED,CI95_LOW,0.00011590910279501136
W01_POW_ACTIVE_CAPACITY_MATCHED,CI95_HIGH,0.00012939448364801526
P00_POCOL_NO_FLOOR,0,9.00889814814803e-05
P00_POCOL_NO_FLOOR,1,9.352583701599202e-05
P00_POCOL_NO_FLOOR,2,9.111852258851997e-05
P00_POCOL_NO_FLOOR,3,9.442579312169196e-05
P00_POCOL_NO_FLOOR,4,0.00010073271962511168
P00_POCOL_NO_FLOOR,5,9.210350051440211e-05
P00_POCOL_NO_FLOOR,6,8.981143993993737e-05
P00_POCOL_NO_FLOOR,7,9.32775408035127e-05
P00_POCOL_NO_FLOOR,8,9.400284526051341e-05
P00_POCOL_NO_FLOOR,9,8.737197660818587e-05
P00_POCOL_NO_FLOOR,10,9.074986365486248e-05
P00_POCOL_NO_FLOOR,11,0.00010028386644219851
P00_POCOL_NO_FLOOR,MEAN,9.31244072547007e-05
P00_POCOL_NO_FLOOR,CI95_LOW,9.110836993399415e-05
P00_POCOL_NO_FLOOR,CI95_HIGH,9.540777307832465e-05
P01_POCOL_STAGE8S_COARSE,0,9.775196619812465e-05
P01_POCOL_STAGE8S_COARSE,1,9.915027420553141e-05
P01_POCOL_STAGE8S_COARSE,2,9.397219618055435e-05
P01_POCOL_STAGE8S_COARSE,3,9.824985624152999e-05
P01_POCOL_STAGE8S_COARSE,4,0.00010631423373497537
P01_POCOL_STAGE8S_COARSE,5,9.861162481650589e-05
P01_POCOL_STAGE8S_COARSE,6,9.564048493992381e-05
P01_POCOL_STAGE8S_COARSE,7,9.832911564193499e-05
P01_POCOL_STAGE8S_COARSE,8,9.739636938832653e-05
P01_POCOL_STAGE8S_COARSE,9,9.00266003555339e-05
P01_POCOL_STAGE8S_COARSE,10,9.444567684643587e-05
P01_POCOL_STAGE8S_COARSE,11,0.00010989335782914635
P01_POCOL_STAGE8S_COARSE,MEAN,9.831514636487693e-05
P01_POCOL_STAGE8S_COARSE,CI95_LOW,9.565653168041834e-05
P01_POCOL_STAGE8S_COARSE,CI95_HIGH,0.00010132809610545345
P02_POCOL_SINGLE_HANDOFF,0,9.729160664781415e-05
P02_POCOL_SINGLE_HANDOFF,1,9.725148078424668e-05
P02_POCOL_SINGLE_HANDOFF,2,9.802210143097337e-05
P02_POCOL_SINGLE_HANDOFF,3,0.0001029180977972385
P02_POCOL_SINGLE_HANDOFF,4,0.00010472806156806009
P02_POCOL_SINGLE_HANDOFF,5,9.891720655487668e-05
P02_POCOL_SINGLE_HANDOFF,6,9.717809620426e-05
P02_POCOL_SINGLE_HANDOFF,7,9.800116547418497e-05
P02_POCOL_SINGLE_HANDOFF,8,9.793859890572258e-05
P02_POCOL_SINGLE_HANDOFF,9,9.126894831980724e-05
P02_POCOL_SINGLE_HANDOFF,10,9.793820075757435e-05
P02_POCOL_SINGLE_HANDOFF,11,0.00010631567297149056
P02_POCOL_SINGLE_HANDOFF,MEAN,9.898076978468743e-05
P02_POCOL_SINGLE_HANDOFF,CI95_LOW,9.683289937715646e-05
P02_POCOL_SINGLE_HANDOFF,CI95_HIGH,0.00010119986087636309
