scenario_id,metric,seed_index,value
W00_POW_POPULATION_MATCHED,total,0,1443165.0
W00_POW_POPULATION_MATCHED,total,1,1449495.0
W00_POW_POPULATION_MATCHED,total,2,1447668.0
W00_POW_POPULATION_MATCHED,total,3,1450447.0
W00_POW_POPULATION_MATCHED,total,4,1453595.0
W00_POW_POPULATION_MATCHED,total,5,1446321.0
W00_POW_POPULATION_MATCHED,total,6,1444626.0
W00_POW_POPULATION_MATCHED,total,7,1450835.0
W00_POW_POPULATION_MATCHED,total,8,1444499.0
W00_POW_POPULATION_MATCHED,total,9,1438130.0
W00_POW_POPULATION_MATCHED,total,10,1446290.0
W00_POW_POPULATION_MATCHED,total,11,1454792.0
W00_POW_POPULATION_MATCHED,total,MEAN,1447488.5833333333
W01_POW_ACTIVE_CAPACITY_MATCHED,total,0,1155037.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,1,1159822.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,2,1158278.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,3,1161951.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,4,1164183.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,5,1157745.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,6,1156072.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,7,1161564.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,8,1155611.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,9,1150737.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,10,1157383.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,11,1164356.0
W01_POW_ACTIVE_CAPACITY_MATCHED,total,MEAN,1158561.5833333333
P00_POCOL_NO_FLOOR,total,0,147769.0
P00_POCOL_NO_FLOOR,total,1,147961.0
P00_POCOL_NO_FLOOR,total,2,153564.0
P00_POCOL_NO_FLOOR,total,3,151565.0
P00_POCOL_NO_FLOOR,total,4,161976.0
P00_POCOL_NO_FLOOR,total,5,152488.0
P00_POCOL_NO_FLOOR,total,6,150529.0
P00_POCOL_NO_FLOOR,total,7,150865.0
P00_POCOL_NO_FLOOR,total,8,160161.0
P00_POCOL_NO_FLOOR,total,9,149857.0
P00_POCOL_NO_FLOOR,total,10,146400.0
P00_POCOL_NO_FLOOR,total,11,162630.0
P00_POCOL_NO_FLOOR,total,MEAN,152980.41666666666
P01_POCOL_STAGE8S_COARSE,total,0,146899.0
P01_POCOL_STAGE8S_COARSE,total,1,136266.0
P01_POCOL_STAGE8S_COARSE,total,2,137158.0
P01_POCOL_STAGE8S_COARSE,total,3,139774.0
P01_POCOL_STAGE8S_COARSE,total,4,146306.0
P01_POCOL_STAGE8S_COARSE,total,5,142617.0
P01_POCOL_STAGE8S_COARSE,total,6,136816.0
P01_POCOL_STAGE8S_COARSE,total,7,139371.0
P01_POCOL_STAGE8S_COARSE,total,8,136462.0
P01_POCOL_STAGE8S_COARSE,total,9,138248.0
P01_POCOL_STAGE8S_COARSE,total,10,137214.0
P01_POCOL_STAGE8S_COARSE,total,11,150608.0
P01_POCOL_STAGE8S_COARSE,total,MEAN,140644.91666666666
P02_POCOL_SINGLE_HANDOFF,total,0,144998.0
P02_POCOL_SINGLE_HANDOFF,total,1,133619.0
P02_POCOL_SINGLE_HANDOFF,total,2,136865.0
P02_POCOL_SINGLE_HANDOFF,total,3,142308.0
P02_POCOL_SINGLE_HANDOFF,total,4,145489.0
P02_POCOL_SINGLE_HANDOFF,total,5,141032.0
P02_POCOL_SINGLE_HANDOFF,total,6,135178.0
P02_POCOL_SINGLE_HANDOFF,total,7,137292.0
P02_POCOL_SINGLE_HANDOFF,total,8,137037.0
P02_POCOL_SINGLE_HANDOFF,total,9,138555.0
P02_POCOL_SINGLE_HANDOFF,total,10,137986.0
P02_POCOL_SINGLE_HANDOFF,total,11,146190.0
P02_POCOL_SINGLE_HANDOFF,total,MEAN,139712.41666666666
W00_POW_POPULATION_MATCHED,unique,0,224746.0
W00_POW_POPULATION_MATCHED,unique,1,212948.0
W00_POW_POPULATION_MATCHED,unique,2,216092.0
W00_POW_POPULATION_MATCHED,unique,3,216199.0
W00_POW_POPULATION_MATCHED,unique,4,214315.0
W00_POW_POPULATION_MATCHED,unique,5,219763.0
W00_POW_POPULATION_MATCHED,unique,6,232031.0
W00_POW_POPULATION_MATCHED,unique,7,215084.0
W00_POW_POPULATION_MATCHED,unique,8,221439.0
W00_POW_POPULATION_MATCHED,unique,9,237784.0
W00_POW_POPULATION_MATCHED,unique,10,216319.0
W00_POW_POPULATION_MATCHED,unique,11,205765.0
W00_POW_POPULATION_MATCHED,unique,MEAN,219373.75
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,0,222534.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,1,207101.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,2,216836.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,3,208291.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,4,209372.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,5,214623.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,6,230940.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,7,215651.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,8,221051.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,9,232219.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,10,213737.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,11,201930.0
W01_POW_ACTIVE_CAPACITY_MATCHED,unique,MEAN,216190.41666666666
P00_POCOL_NO_FLOOR,unique,0,147769.0
P00_POCOL_NO_FLOOR,unique,1,147961.0
P00_POCOL_NO_FLOOR,unique,2,153564.0
P00_POCOL_NO_FLOOR,unique,3,151565.0
P00_POCOL_NO_FLOOR,unique,4,161976.0
P00_POCOL_NO_FLOOR,unique,5,152488.0
P00_POCOL_NO_FLOOR,unique,6,150529.0
P00_POCOL_NO_FLOOR,unique,7,150865.0
P00_POCOL_NO_FLOOR,unique,8,160161.0
P00_POCOL_NO_FLOOR,unique,9,149857.0
P00_POCOL_NO_FLOOR,unique,10,146400.0
P00_POCOL_NO_FLOOR,unique,11,162630.0
P00_POCOL_NO_FLOOR,unique,MEAN,152980.41666666666
P01_POCOL_STAGE8S_COARSE,unique,0,146899.0
P01_POCOL_STAGE8S_COARSE,unique,1,136266.0
P01_POCOL_STAGE8S_COARSE,unique,2,137158.0
P01_POCOL_STAGE8S_COARSE,unique,3,139774.0
P01_POCOL_STAGE8S_COARSE,unique,4,146306.0
P01_POCOL_STAGE8S_COARSE,unique,5,142617.0
P01_POCOL_STAGE8S_COARSE,unique,6,136816.0
P01_POCOL_STAGE8S_COARSE,unique,7,139371.0
P01_POCOL_STAGE8S_COARSE,unique,8,136462.0
P01_POCOL_STAGE8S_COARSE,unique,9,138248.0
P01_POCOL_STAGE8S_COARSE,unique,10,137214.0
P01_POCOL_STAGE8S_COARSE,unique,11,150608.0
P01_POCOL_STAGE8S_COARSE,unique,MEAN,140644.91666666666
P02_POCOL_SINGLE_HANDOFF,unique,0,144998.0
P02_POCOL_SINGLE_HANDOFF,unique,1,133619.0
P02_POCOL_SINGLE_HANDOFF,unique,2,136865.0
P02_POCOL_SINGLE_HANDOFF,unique,3,142308.0
P02_POCOL_SINGLE_HANDOFF,unique,4,145489.0
P02_POCOL_SINGLE_HANDOFF,unique,5,141032.0
P02_POCOL_SINGLE_HANDOFF,unique,6,135178.0
P02_POCOL_SINGLE_HANDOFF,unique,7,137292.0
P02_POCOL_SINGLE_HANDOFF,unique,8,137037.0
P02_POCOL_SINGLE_HANDOFF,unique,9,138555.0
P02_POCOL_SINGLE_HANDOFF,unique,10,137986.0
P02_POCOL_SINGLE_HANDOFF,unique,11,146190.0
P02_POCOL_SINGLE_HANDOFF,unique,MEAN,139712.41666666666
W00_POW_POPULATION_MATCHED,duplicate,0,1218419.0
W00_POW_POPULATION_MATCHED,duplicate,1,1236547.0
W00_POW_POPULATION_MATCHED,duplicate,2,1231576.0
W00_POW_POPULATION_MATCHED,duplicate,3,1234248.0
W00_POW_POPULATION_MATCHED,duplicate,4,1239280.0
W00_POW_POPULATION_MATCHED,duplicate,5,1226558.0
W00_POW_POPULATION_MATCHED,duplicate,6,1212595.0
W00_POW_POPULATION_MATCHED,duplicate,7,1235751.0
W00_POW_POPULATION_MATCHED,duplicate,8,1223060.0
W00_POW_POPULATION_MATCHED,duplicate,9,1200346.0
W00_POW_POPULATION_MATCHED,duplicate,10,1229971.0
W00_POW_POPULATION_MATCHED,duplicate,11,1249027.0
W00_POW_POPULATION_MATCHED,duplicate,MEAN,1228114.8333333333
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,0,932503.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,1,952721.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,2,941442.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,3,953660.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,4,954811.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,5,943122.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,6,925132.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,7,945913.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,8,934560.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,9,918518.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,10,943646.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,11,962426.0
W01_POW_ACTIVE_CAPACITY_MATCHED,duplicate,MEAN,942371.1666666666
P00_POCOL_NO_FLOOR,duplicate,0,0.0
P00_POCOL_NO_FLOOR,duplicate,1,0.0
P00_POCOL_NO_FLOOR,duplicate,2,0.0
P00_POCOL_NO_FLOOR,duplicate,3,0.0
P00_POCOL_NO_FLOOR,duplicate,4,0.0
P00_POCOL_NO_FLOOR,duplicate,5,0.0
P00_POCOL_NO_FLOOR,duplicate,6,0.0
P00_POCOL_NO_FLOOR,duplicate,7,0.0
P00_POCOL_NO_FLOOR,duplicate,8,0.0
P00_POCOL_NO_FLOOR,duplicate,9,0.0
P00_POCOL_NO_FLOOR,duplicate,10,0.0
P00_POCOL_NO_FLOOR,duplicate,11,0.0
P00_POCOL_NO_FLOOR,duplicate,MEAN,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,0,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,1,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,2,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,3,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,4,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,5,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,6,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,7,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,8,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,9,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,10,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,11,0.0
P01_POCOL_STAGE8S_COARSE,duplicate,MEAN,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,0,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,1,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,2,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,3,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,4,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,5,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,6,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,7,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,8,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,9,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,10,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,11,0.0
P02_POCOL_SINGLE_HANDOFF,duplicate,MEAN,0.0
