scenario_id,seed_index,value
W00_POW_POPULATION_MATCHED,0,186.39587295977938
W00_POW_POPULATION_MATCHED,1,160.7456389984098
W00_POW_POPULATION_MATCHED,2,168.54693203137737
W00_POW_POPULATION_MATCHED,3,164.08734686617296
W00_POW_POPULATION_MATCHED,4,155.47659423704678
W00_POW_POPULATION_MATCHED,5,177.6922273824414
W00_POW_POPULATION_MATCHED,6,175.13183342955202
W00_POW_POPULATION_MATCHED,7,167.48975589918908
W00_POW_POPULATION_MATCHED,8,185.5314541581545
W00_POW_POPULATION_MATCHED,9,208.60422910307136
W00_POW_POPULATION_MATCHED,10,172.8560662107876
W00_POW_POPULATION_MATCHED,11,145.72529956172428
W00_POW_POPULATION_MATCHED,MEAN,172.35693756980888
W00_POW_POPULATION_MATCHED,CI95_LOW,163.60253731567528
W00_POW_POPULATION_MATCHED,CI95_HIGH,181.5532379916408
W01_POW_ACTIVE_CAPACITY_MATCHED,0,227.69833347329998
W01_POW_ACTIVE_CAPACITY_MATCHED,1,194.8574867522775
W01_POW_ACTIVE_CAPACITY_MATCHED,2,205.477441512314
W01_POW_ACTIVE_CAPACITY_MATCHED,3,193.6398350704978
W01_POW_ACTIVE_CAPACITY_MATCHED,4,177.80709733778968
W01_POW_ACTIVE_CAPACITY_MATCHED,5,215.9370154913215
W01_POW_ACTIVE_CAPACITY_MATCHED,6,216.24950695112415
W01_POW_ACTIVE_CAPACITY_MATCHED,7,207.47888192127166
W01_POW_ACTIVE_CAPACITY_MATCHED,8,224.1238617493257
W01_POW_ACTIVE_CAPACITY_MATCHED,9,255.48843914812858
W01_POW_ACTIVE_CAPACITY_MATCHED,10,210.82044578156064
W01_POW_ACTIVE_CAPACITY_MATCHED,11,175.20414718522514
W01_POW_ACTIVE_CAPACITY_MATCHED,MEAN,208.73187436451136
W01_POW_ACTIVE_CAPACITY_MATCHED,CI95_LOW,196.96215671275903
W01_POW_ACTIVE_CAPACITY_MATCHED,CI95_HIGH,220.67766574904303
P00_POCOL_NO_FLOOR,0,1238.419424913209
P00_POCOL_NO_FLOOR,1,1189.5026392089808
P00_POCOL_NO_FLOOR,2,1185.1736083978014
P00_POCOL_NO_FLOOR,3,1154.6201299772374
P00_POCOL_NO_FLOOR,4,1012.4956783721044
P00_POCOL_NO_FLOOR,5,1180.4207544200199
P00_POCOL_NO_FLOOR,6,1228.9990633034167
P00_POCOL_NO_FLOOR,7,1173.2343485897989
P00_POCOL_NO_FLOOR,8,1105.1379549328487
P00_POCOL_NO_FLOOR,9,1267.8753745237127
P00_POCOL_NO_FLOOR,10,1243.1693989071039
P00_POCOL_NO_FLOOR,11,1014.5729570190002
P00_POCOL_NO_FLOOR,MEAN,1166.1351110471028
P00_POCOL_NO_FLOOR,CI95_LOW,1117.6985550622014
P00_POCOL_NO_FLOOR,CI95_HIGH,1208.48378339239
P01_POCOL_STAGE8S_COARSE,0,1130.0281145548981
P01_POCOL_STAGE8S_COARSE,1,1188.8512174717098
P01_POCOL_STAGE8S_COARSE,2,1254.0282010528003
P01_POCOL_STAGE8S_COARSE,3,1173.3226494197775
P01_POCOL_STAGE8S_COARSE,4,1032.0834415540032
P01_POCOL_STAGE8S_COARSE,5,1149.93303743593
P01_POCOL_STAGE8S_COARSE,6,1227.9265582972753
P01_POCOL_STAGE8S_COARSE,7,1176.7153855536662
P01_POCOL_STAGE8S_COARSE,8,1209.1278158022014
P01_POCOL_STAGE8S_COARSE,9,1309.2413633470285
P01_POCOL_STAGE8S_COARSE,10,1246.2285189557917
P01_POCOL_STAGE8S_COARSE,11,969.4040157229364
P01_POCOL_STAGE8S_COARSE,MEAN,1172.2408599306682
P01_POCOL_STAGE8S_COARSE,CI95_LOW,1118.5296314943228
P01_POCOL_STAGE8S_COARSE,CI95_HIGH,1219.9366602501896
P02_POCOL_SINGLE_HANDOFF,0,1151.7400240003312
P02_POCOL_SINGLE_HANDOFF,1,1242.3382902132182
P02_POCOL_SINGLE_HANDOFF,2,1205.5675300478574
P02_POCOL_SINGLE_HANDOFF,3,1103.2408578576046
P02_POCOL_SINGLE_HANDOFF,4,1058.4992679858958
P02_POCOL_SINGLE_HANDOFF,5,1162.8566566453005
P02_POCOL_SINGLE_HANDOFF,6,1228.0104750773055
P02_POCOL_SINGLE_HANDOFF,7,1201.8180229000961
P02_POCOL_SINGLE_HANDOFF,8,1204.0543794741566
P02_POCOL_SINGLE_HANDOFF,9,1284.6883908917036
P02_POCOL_SINGLE_HANDOFF,10,1195.7734842665197
P02_POCOL_SINGLE_HANDOFF,11,1039.742800465148
P02_POCOL_SINGLE_HANDOFF,MEAN,1173.1941816520948
P02_POCOL_SINGLE_HANDOFF,CI95_LOW,1132.93904655886
P02_POCOL_SINGLE_HANDOFF,CI95_HIGH,1211.995575553849
