scenario_id,component,mean_residency_s
W00_POW_POPULATION_MATCHED,PRIMARY_ACTIVE_HASHING,6000.0
W01_POW_ACTIVE_CAPACITY_MATCHED,PRIMARY_ACTIVE_HASHING,4800.0
P00_POCOL_NO_FLOOR,PRIMARY_ACTIVE_HASHING,825.5988888888588
P01_POCOL_STAGE8S_COARSE,PRIMARY_ACTIVE_HASHING,715.8559722222082
P02_POCOL_SINGLE_HANDOFF,PRIMARY_ACTIVE_HASHING,734.8125694444344
W00_POW_POPULATION_MATCHED,PRIMARY_LOW_POWER_LISTEN,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,PRIMARY_LOW_POWER_LISTEN,0.0
P00_POCOL_NO_FLOOR,PRIMARY_LOW_POWER_LISTEN,404.73888888896914
P01_POCOL_STAGE8S_COARSE,PRIMARY_LOW_POWER_LISTEN,793.9606944445263
P02_POCOL_SINGLE_HANDOFF,PRIMARY_LOW_POWER_LISTEN,447.548541666755
W00_POW_POPULATION_MATCHED,RESERVE_STANDBY,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,RESERVE_STANDBY,1200.0
P00_POCOL_NO_FLOOR,RESERVE_STANDBY,1200.0
P01_POCOL_STAGE8S_COARSE,RESERVE_STANDBY,887.9894444444449
P02_POCOL_SINGLE_HANDOFF,RESERVE_STANDBY,1200.0
W00_POW_POPULATION_MATCHED,RESERVE_WAKING,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,RESERVE_WAKING,0.0
P00_POCOL_NO_FLOOR,RESERVE_WAKING,0.0
P01_POCOL_STAGE8S_COARSE,RESERVE_WAKING,281.0630555555556
P02_POCOL_SINGLE_HANDOFF,RESERVE_WAKING,0.0
W00_POW_POPULATION_MATCHED,ACTIVATED_RESERVE_HASHING,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,ACTIVATED_RESERVE_HASHING,0.0
P00_POCOL_NO_FLOOR,ACTIVATED_RESERVE_HASHING,0.0
P01_POCOL_STAGE8S_COARSE,ACTIVATED_RESERVE_HASHING,30.94749999999954
P02_POCOL_SINGLE_HANDOFF,ACTIVATED_RESERVE_HASHING,0.0
W00_POW_POPULATION_MATCHED,OFFLINE,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,OFFLINE,0.0
P00_POCOL_NO_FLOOR,OFFLINE,0.0
P01_POCOL_STAGE8S_COARSE,OFFLINE,0.0
P02_POCOL_SINGLE_HANDOFF,OFFLINE,0.0
W00_POW_POPULATION_MATCHED,COORDINATION_AND_VERIFICATION,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,COORDINATION_AND_VERIFICATION,0.0
P00_POCOL_NO_FLOOR,COORDINATION_AND_VERIFICATION,3569.662222222172
P01_POCOL_STAGE8S_COARSE,COORDINATION_AND_VERIFICATION,3290.1833333332656
P02_POCOL_SINGLE_HANDOFF,COORDINATION_AND_VERIFICATION,3617.638888888811
