scenario_id,component,mean_energy_kwh
W00_POW_POPULATION_MATCHED,primary_hashing,0.03583333333333333
W01_POW_ACTIVE_CAPACITY_MATCHED,primary_hashing,0.02866666666666667
P00_POCOL_NO_FLOOR,primary_hashing,0.004930660030864019
P01_POCOL_STAGE8S_COARSE,primary_hashing,0.004275250945215965
P02_POCOL_SINGLE_HANDOFF,primary_hashing,0.004388463956404261
W00_POW_POPULATION_MATCHED,range_idle,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,range_idle,0.0
P00_POCOL_NO_FLOOR,range_idle,0.00024171905864202322
P01_POCOL_STAGE8S_COARSE,range_idle,0.0004741709702932588
P02_POCOL_SINGLE_HANDOFF,range_idle,0.0002672859346065342
W00_POW_POPULATION_MATCHED,reserve_standby,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,reserve_standby,0.0007166666666666667
P00_POCOL_NO_FLOOR,reserve_standby,0.0007166666666666667
P01_POCOL_STAGE8S_COARSE,reserve_standby,0.0005303270293209879
P02_POCOL_SINGLE_HANDOFF,reserve_standby,0.0007166666666666667
W00_POW_POPULATION_MATCHED,wake_transient,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,wake_transient,0.0
P00_POCOL_NO_FLOOR,wake_transient,0.0
P01_POCOL_STAGE8S_COARSE,wake_transient,0.000839285513117284
P02_POCOL_SINGLE_HANDOFF,wake_transient,0.0
W00_POW_POPULATION_MATCHED,activated_reserve_hashing,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,activated_reserve_hashing,0.0
P00_POCOL_NO_FLOOR,activated_reserve_hashing,0.0
P01_POCOL_STAGE8S_COARSE,activated_reserve_hashing,0.0001848253472222195
P02_POCOL_SINGLE_HANDOFF,activated_reserve_hashing,0.0
W00_POW_POPULATION_MATCHED,offline_other,0.0
W01_POW_ACTIVE_CAPACITY_MATCHED,offline_other,0.0
P00_POCOL_NO_FLOOR,offline_other,0.010659408024691208
P01_POCOL_STAGE8S_COARSE,offline_other,0.009824853009259055
P02_POCOL_SINGLE_HANDOFF,offline_other,0.01080267168209853
