scenario_id,metric,seed_index,value
P00_POCOL_NO_FLOOR,below static floor,0,0.0
P00_POCOL_NO_FLOOR,below static floor,1,0.0
P00_POCOL_NO_FLOOR,below static floor,2,0.0
P00_POCOL_NO_FLOOR,below static floor,3,0.0
P00_POCOL_NO_FLOOR,below static floor,4,0.0
P00_POCOL_NO_FLOOR,below static floor,5,0.0
P00_POCOL_NO_FLOOR,below static floor,6,0.0
P00_POCOL_NO_FLOOR,below static floor,7,0.0
P00_POCOL_NO_FLOOR,below static floor,8,0.0
P00_POCOL_NO_FLOOR,below static floor,9,0.0
P00_POCOL_NO_FLOOR,below static floor,10,0.0
P00_POCOL_NO_FLOOR,below static floor,11,0.0
P00_POCOL_NO_FLOOR,below static floor,MEAN,0.0
P01_POCOL_STAGE8S_COARSE,below static floor,0,270.9716666666623
P01_POCOL_STAGE8S_COARSE,below static floor,1,272.2033333333288
P01_POCOL_STAGE8S_COARSE,below static floor,2,271.4308333333287
P01_POCOL_STAGE8S_COARSE,below static floor,3,271.53416666666175
P01_POCOL_STAGE8S_COARSE,below static floor,4,272.0574999999956
P01_POCOL_STAGE8S_COARSE,below static floor,5,271.0450000000006
P01_POCOL_STAGE8S_COARSE,below static floor,6,272.2999999999956
P01_POCOL_STAGE8S_COARSE,below static floor,7,271.53583333333376
P01_POCOL_STAGE8S_COARSE,below static floor,8,272.41166666666186
P01_POCOL_STAGE8S_COARSE,below static floor,9,270.74999999999545
P01_POCOL_STAGE8S_COARSE,below static floor,10,271.67166666666196
P01_POCOL_STAGE8S_COARSE,below static floor,11,271.3683333333292
P01_POCOL_STAGE8S_COARSE,below static floor,MEAN,271.606666666663
P02_POCOL_SINGLE_HANDOFF,below static floor,0,268.0641666666618
P02_POCOL_SINGLE_HANDOFF,below static floor,1,269.1866666666618
P02_POCOL_SINGLE_HANDOFF,below static floor,2,268.6683333333342
P02_POCOL_SINGLE_HANDOFF,below static floor,3,268.2141666666616
P02_POCOL_SINGLE_HANDOFF,below static floor,4,268.61583333332857
P02_POCOL_SINGLE_HANDOFF,below static floor,5,268.08583333332825
P02_POCOL_SINGLE_HANDOFF,below static floor,6,269.5241666666618
P02_POCOL_SINGLE_HANDOFF,below static floor,7,268.80916666666155
P02_POCOL_SINGLE_HANDOFF,below static floor,8,269.2749999999947
P02_POCOL_SINGLE_HANDOFF,below static floor,9,268.3458333333285
P02_POCOL_SINGLE_HANDOFF,below static floor,10,268.9216666666616
P02_POCOL_SINGLE_HANDOFF,below static floor,11,268.1941666666619
P02_POCOL_SINGLE_HANDOFF,below static floor,MEAN,268.6587499999955
P00_POCOL_NO_FLOOR,below useful floor,0,0.0
P00_POCOL_NO_FLOOR,below useful floor,1,0.0
P00_POCOL_NO_FLOOR,below useful floor,2,0.0
P00_POCOL_NO_FLOOR,below useful floor,3,0.0
P00_POCOL_NO_FLOOR,below useful floor,4,0.0
P00_POCOL_NO_FLOOR,below useful floor,5,0.0
P00_POCOL_NO_FLOOR,below useful floor,6,0.0
P00_POCOL_NO_FLOOR,below useful floor,7,0.0
P00_POCOL_NO_FLOOR,below useful floor,8,0.0
P00_POCOL_NO_FLOOR,below useful floor,9,0.0
P00_POCOL_NO_FLOOR,below useful floor,10,0.0
P00_POCOL_NO_FLOOR,below useful floor,11,0.0
P00_POCOL_NO_FLOOR,below useful floor,MEAN,0.0
P01_POCOL_STAGE8S_COARSE,below useful floor,0,29.022500000000548
P01_POCOL_STAGE8S_COARSE,below useful floor,1,26.772500000000612
P01_POCOL_STAGE8S_COARSE,below useful floor,2,26.565000000000552
P01_POCOL_STAGE8S_COARSE,below useful floor,3,27.685000000000453
P01_POCOL_STAGE8S_COARSE,below useful floor,4,29.73750000000063
P01_POCOL_STAGE8S_COARSE,below useful floor,5,27.90416666666717
P01_POCOL_STAGE8S_COARSE,below useful floor,6,27.512500000000493
P01_POCOL_STAGE8S_COARSE,below useful floor,7,27.42333333333386
P01_POCOL_STAGE8S_COARSE,below useful floor,8,27.08750000000039
P01_POCOL_STAGE8S_COARSE,below useful floor,9,24.756666666667133
P01_POCOL_STAGE8S_COARSE,below useful floor,10,26.764166666667087
P01_POCOL_STAGE8S_COARSE,below useful floor,11,31.194166666667293
P01_POCOL_STAGE8S_COARSE,below useful floor,MEAN,27.70208333333385
P02_POCOL_SINGLE_HANDOFF,below useful floor,0,23.938333333333972
P02_POCOL_SINGLE_HANDOFF,below useful floor,1,21.833333333333982
P02_POCOL_SINGLE_HANDOFF,below useful floor,2,22.518333333333853
P02_POCOL_SINGLE_HANDOFF,below useful floor,3,23.89916666666721
P02_POCOL_SINGLE_HANDOFF,below useful floor,4,25.32916666666729
P02_POCOL_SINGLE_HANDOFF,below useful floor,5,22.685833333333836
P02_POCOL_SINGLE_HANDOFF,below useful floor,6,22.493333333333844
