scenario_id,metric,seed_index,value_per_closed_round
P00_POCOL_NO_FLOOR,activation requests,0,0.0
P00_POCOL_NO_FLOOR,activation requests,1,0.0
P00_POCOL_NO_FLOOR,activation requests,2,0.0
P00_POCOL_NO_FLOOR,activation requests,3,0.0
P00_POCOL_NO_FLOOR,activation requests,4,0.0
P00_POCOL_NO_FLOOR,activation requests,5,0.0
P00_POCOL_NO_FLOOR,activation requests,6,0.0
P00_POCOL_NO_FLOOR,activation requests,7,0.0
P00_POCOL_NO_FLOOR,activation requests,8,0.0
P00_POCOL_NO_FLOOR,activation requests,9,0.0
P00_POCOL_NO_FLOOR,activation requests,10,0.0
P00_POCOL_NO_FLOOR,activation requests,11,0.0
P00_POCOL_NO_FLOOR,activation requests,MEAN,0.0
P01_POCOL_STAGE8S_COARSE,activation requests,0,3.1414634146341465
P01_POCOL_STAGE8S_COARSE,activation requests,1,3.0917874396135265
P01_POCOL_STAGE8S_COARSE,activation requests,2,3.1004784688995217
P01_POCOL_STAGE8S_COARSE,activation requests,3,3.2
P01_POCOL_STAGE8S_COARSE,activation requests,4,3.044776119402985
P01_POCOL_STAGE8S_COARSE,activation requests,5,3.2585365853658534
P01_POCOL_STAGE8S_COARSE,activation requests,6,3.111111111111111
P01_POCOL_STAGE8S_COARSE,activation requests,7,3.2233009708737863
P01_POCOL_STAGE8S_COARSE,activation requests,8,3.076923076923077
P01_POCOL_STAGE8S_COARSE,activation requests,9,3.0841121495327104
P01_POCOL_STAGE8S_COARSE,activation requests,10,3.138755980861244
P01_POCOL_STAGE8S_COARSE,activation requests,11,3.204081632653061
P01_POCOL_STAGE8S_COARSE,activation requests,MEAN,3.1396105791559186
P02_POCOL_SINGLE_HANDOFF,activation requests,0,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,1,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,2,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,3,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,4,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,5,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,6,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,7,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,8,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,9,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,10,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,11,0.0
P02_POCOL_SINGLE_HANDOFF,activation requests,MEAN,0.0
P00_POCOL_NO_FLOOR,incomplete activations,0,0.0
P00_POCOL_NO_FLOOR,incomplete activations,1,0.0
P00_POCOL_NO_FLOOR,incomplete activations,2,0.0
P00_POCOL_NO_FLOOR,incomplete activations,3,0.0
P00_POCOL_NO_FLOOR,incomplete activations,4,0.0
P00_POCOL_NO_FLOOR,incomplete activations,5,0.0
P00_POCOL_NO_FLOOR,incomplete activations,6,0.0
P00_POCOL_NO_FLOOR,incomplete activations,7,0.0
P00_POCOL_NO_FLOOR,incomplete activations,8,0.0
P00_POCOL_NO_FLOOR,incomplete activations,9,0.0
P00_POCOL_NO_FLOOR,incomplete activations,10,0.0
P00_POCOL_NO_FLOOR,incomplete activations,11,0.0
P00_POCOL_NO_FLOOR,incomplete activations,MEAN,0.0
P01_POCOL_STAGE8S_COARSE,incomplete activations,0,2.107317073170732
P01_POCOL_STAGE8S_COARSE,incomplete activations,1,2.0096618357487923
P01_POCOL_STAGE8S_COARSE,incomplete activations,2,2.0861244019138754
P01_POCOL_STAGE8S_COARSE,incomplete activations,3,2.0878048780487806
P01_POCOL_STAGE8S_COARSE,incomplete activations,4,1.8706467661691542
