scenario_id,seed_index,energy_kwh,accepted_blocks
W00_POW_POPULATION_MATCHED,0,0.035833333333333335,269.0
W00_POW_POPULATION_MATCHED,1,0.035833333333333335,233.0
W00_POW_POPULATION_MATCHED,2,0.035833333333333335,244.0
W00_POW_POPULATION_MATCHED,3,0.035833333333333335,238.0
W00_POW_POPULATION_MATCHED,4,0.035833333333333335,226.0
W00_POW_POPULATION_MATCHED,5,0.035833333333333335,257.0
W00_POW_POPULATION_MATCHED,6,0.035833333333333335,253.0
W00_POW_POPULATION_MATCHED,7,0.035833333333333335,243.0
W00_POW_POPULATION_MATCHED,8,0.035833333333333335,268.0
W00_POW_POPULATION_MATCHED,9,0.035833333333333335,300.0
W00_POW_POPULATION_MATCHED,10,0.035833333333333335,250.0
W00_POW_POPULATION_MATCHED,11,0.035833333333333335,212.0
W00_POW_POPULATION_MATCHED,CENTROID,0.035833333333333335,249.41666666666666
W01_POW_ACTIVE_CAPACITY_MATCHED,0,0.029383333333333334,263.0
W01_POW_ACTIVE_CAPACITY_MATCHED,1,0.029383333333333334,226.0
W01_POW_ACTIVE_CAPACITY_MATCHED,2,0.029383333333333334,238.0
W01_POW_ACTIVE_CAPACITY_MATCHED,3,0.029383333333333334,225.0
W01_POW_ACTIVE_CAPACITY_MATCHED,4,0.029383333333333334,207.0
W01_POW_ACTIVE_CAPACITY_MATCHED,5,0.029383333333333334,250.0
W01_POW_ACTIVE_CAPACITY_MATCHED,6,0.029383333333333334,250.0
W01_POW_ACTIVE_CAPACITY_MATCHED,7,0.029383333333333334,241.0
W01_POW_ACTIVE_CAPACITY_MATCHED,8,0.029383333333333334,259.0
W01_POW_ACTIVE_CAPACITY_MATCHED,9,0.029383333333333334,294.0
W01_POW_ACTIVE_CAPACITY_MATCHED,10,0.029383333333333334,244.0
W01_POW_ACTIVE_CAPACITY_MATCHED,11,0.029383333333333334,204.0
W01_POW_ACTIVE_CAPACITY_MATCHED,CENTROID,0.029383333333333334,241.75
P00_POCOL_NO_FLOOR,0,0.016486283611110895,183.0
P00_POCOL_NO_FLOOR,1,0.016460547314814597,176.0
P00_POCOL_NO_FLOOR,2,0.016583571111110636,182.0
P00_POCOL_NO_FLOOR,3,0.016524513796296093,175.0
P00_POCOL_NO_FLOOR,4,0.016520166018518315,164.0
P00_POCOL_NO_FLOOR,5,0.01657863009259238,180.0
P00_POCOL_NO_FLOOR,6,0.016615116388888414,185.0
P00_POCOL_NO_FLOOR,7,0.01651012472222175,177.0
P00_POCOL_NO_FLOOR,8,0.016638503611110873,177.0
P00_POCOL_NO_FLOOR,9,0.016600675555555316,190.0
P00_POCOL_NO_FLOOR,10,0.01651647518518497,182.0
P00_POCOL_NO_FLOOR,11,0.016546837962962753,165.0
P00_POCOL_NO_FLOOR,CENTROID,0.016548453780863916,178.0
P01_POCOL_STAGE8S_COARSE,0,0.016226826388888692,166.0
P01_POCOL_STAGE8S_COARSE,1,0.016062344421296088,162.0
P01_POCOL_STAGE8S_COARSE,2,0.016163217743055347,172.0
P01_POCOL_STAGE8S_COARSE,3,0.016112976423610918,164.0
P01_POCOL_STAGE8S_COARSE,4,0.01605344929398128,151.0
P01_POCOL_STAGE8S_COARSE,5,0.016172306469906965,164.0
P01_POCOL_STAGE8S_COARSE,6,0.0160676014699072,168.0
P01_POCOL_STAGE8S_COARSE,7,0.01612597496527734,164.0
P01_POCOL_STAGE8S_COARSE,8,0.016070400949073877,165.0
P01_POCOL_STAGE8S_COARSE,9,0.016294814664351637,181.0
P01_POCOL_STAGE8S_COARSE,10,0.016150210740740533,171.0
P01_POCOL_STAGE8S_COARSE,11,0.016044430243055366,146.0
P01_POCOL_STAGE8S_COARSE,CENTROID,0.01612871281442877,164.5
P02_POCOL_SINGLE_HANDOFF,0,0.016247698310184962,167.0
P02_POCOL_SINGLE_HANDOFF,1,0.016143745810184948,166.0
P02_POCOL_SINGLE_HANDOFF,2,0.016173646736110606,165.0
P02_POCOL_SINGLE_HANDOFF,3,0.016158141354166444,157.0
P02_POCOL_SINGLE_HANDOFF,4,0.016128121481481253,154.0
P02_POCOL_SINGLE_HANDOFF,5,0.016222421874999775,164.0
P02_POCOL_SINGLE_HANDOFF,6,0.01613156396990716,166.0
P02_POCOL_SINGLE_HANDOFF,7,0.01617019230324052,165.0
P02_POCOL_SINGLE_HANDOFF,8,0.016159868819444225,165.0
P02_POCOL_SINGLE_HANDOFF,9,0.01624587280092569,178.0
P02_POCOL_SINGLE_HANDOFF,10,0.016159803124999768,165.0
P02_POCOL_SINGLE_HANDOFF,11,0.016159982291666566,152.0
P02_POCOL_SINGLE_HANDOFF,CENTROID,0.01617508823977599,163.66666666666666
