control,seed_index,control_value,p02_value
W01_POW_ACTIVE_CAPACITY_MATCHED,0,263.0,167.0
W01_POW_ACTIVE_CAPACITY_MATCHED,1,226.0,166.0
W01_POW_ACTIVE_CAPACITY_MATCHED,2,238.0,165.0
W01_POW_ACTIVE_CAPACITY_MATCHED,3,225.0,157.0
W01_POW_ACTIVE_CAPACITY_MATCHED,4,207.0,154.0
W01_POW_ACTIVE_CAPACITY_MATCHED,5,250.0,164.0
W01_POW_ACTIVE_CAPACITY_MATCHED,6,250.0,166.0
W01_POW_ACTIVE_CAPACITY_MATCHED,7,241.0,165.0
W01_POW_ACTIVE_CAPACITY_MATCHED,8,259.0,165.0
W01_POW_ACTIVE_CAPACITY_MATCHED,9,294.0,178.0
W01_POW_ACTIVE_CAPACITY_MATCHED,10,244.0,165.0
W01_POW_ACTIVE_CAPACITY_MATCHED,11,204.0,152.0
W00_POW_POPULATION_MATCHED,0,269.0,167.0
W00_POW_POPULATION_MATCHED,1,233.0,166.0
W00_POW_POPULATION_MATCHED,2,244.0,165.0
W00_POW_POPULATION_MATCHED,3,238.0,157.0
W00_POW_POPULATION_MATCHED,4,226.0,154.0
W00_POW_POPULATION_MATCHED,5,257.0,164.0
W00_POW_POPULATION_MATCHED,6,253.0,166.0
W00_POW_POPULATION_MATCHED,7,243.0,165.0
W00_POW_POPULATION_MATCHED,8,268.0,165.0
W00_POW_POPULATION_MATCHED,9,300.0,178.0
W00_POW_POPULATION_MATCHED,10,250.0,165.0
W00_POW_POPULATION_MATCHED,11,212.0,152.0
