metric,scenario_id,mean_value,normalised
energy,W00_POW_POPULATION_MATCHED,0.035833333333333335,1.0
energy,W01_POW_ACTIVE_CAPACITY_MATCHED,0.029383333333333334,0.6726656068401883
energy,P00_POCOL_NO_FLOOR,0.016548453780863916,0.021301651865482364
energy,P01_POCOL_STAGE8S_COARSE,0.01612871281442877,0.0
energy,P02_POCOL_SINGLE_HANDOFF,0.01617508823977599,0.002353530498226447
blocks,W00_POW_POPULATION_MATCHED,249.41666666666666,1.0
blocks,W01_POW_ACTIVE_CAPACITY_MATCHED,241.75,0.9105928085519923
blocks,P00_POCOL_NO_FLOOR,178.0,0.16715257531584074
blocks,P01_POCOL_STAGE8S_COARSE,164.5,0.009718172983479217
blocks,P02_POCOL_SINGLE_HANDOFF,163.66666666666666,0.0
median duration,W00_POW_POPULATION_MATCHED,0.18472222222222387,0.0
median duration,W01_POW_ACTIVE_CAPACITY_MATCHED,0.22486111111110865,0.04031386224934122
median duration,P00_POCOL_NO_FLOOR,1.1803819444444652,1.0
median duration,P01_POCOL_STAGE8S_COARSE,1.1726388888889039,0.9922231909328627
median duration,P02_POCOL_SINGLE_HANDOFF,1.1735416666666831,0.9931299040976419
p95 duration,W00_POW_POPULATION_MATCHED,4.0,1.0
p95 duration,W01_POW_ACTIVE_CAPACITY_MATCHED,4.0,1.0
p95 duration,P00_POCOL_NO_FLOOR,2.0000000000000284,0.09090909090908739
p95 duration,P01_POCOL_STAGE8S_COARSE,2.3325000000000387,0.2420454545454584
p95 duration,P02_POCOL_SINGLE_HANDOFF,1.8000000000000398,0.0
total evaluations,W00_POW_POPULATION_MATCHED,1447488.5833333333,1.0
total evaluations,W01_POW_ACTIVE_CAPACITY_MATCHED,1158561.5833333333,0.7790699912077208
total evaluations,P00_POCOL_NO_FLOOR,152980.41666666666,0.01014546704411828
total evaluations,P01_POCOL_STAGE8S_COARSE,140644.91666666666,0.0007130425096955302
total evaluations,P02_POCOL_SINGLE_HANDOFF,139712.41666666666,0.0
duplicate evaluations,W00_POW_POPULATION_MATCHED,1228114.8333333333,1.0
duplicate evaluations,W01_POW_ACTIVE_CAPACITY_MATCHED,942371.1666666666,0.7673314751104301
duplicate evaluations,P00_POCOL_NO_FLOOR,0.0,0.0
duplicate evaluations,P01_POCOL_STAGE8S_COARSE,0.0,0.0
duplicate evaluations,P02_POCOL_SINGLE_HANDOFF,0.0,0.0
blocks per M evals,W00_POW_POPULATION_MATCHED,172.35693756980888,0.0
blocks per M evals,W01_POW_ACTIVE_CAPACITY_MATCHED,208.73187436451136,0.03634450757081522
blocks per M evals,P00_POCOL_NO_FLOOR,1166.1351110471028,0.9929468346159871
blocks per M evals,P01_POCOL_STAGE8S_COARSE,1172.2408599306682,0.999047475773845
blocks per M evals,P02_POCOL_SINGLE_HANDOFF,1173.1941816520948,1.0
energy per block,W00_POW_POPULATION_MATCHED,0.0001447506657146416,1.0
energy per block,W01_POW_ACTIVE_CAPACITY_MATCHED,0.00012271500228419705,0.5731694667057268
energy per block,P00_POCOL_NO_FLOOR,9.31244072547007e-05,0.0
energy per block,P01_POCOL_STAGE8S_COARSE,9.831514636487693e-05,0.10054455358611651
energy per block,P02_POCOL_SINGLE_HANDOFF,9.898076978468743e-05,0.11343767115199589
activations per round,W00_POW_POPULATION_MATCHED,0.0,0.0
activations per round,W01_POW_ACTIVE_CAPACITY_MATCHED,0.0,0.0
activations per round,P00_POCOL_NO_FLOOR,0.0,0.0
activations per round,P01_POCOL_STAGE8S_COARSE,3.1396105791559186,1.0
activations per round,P02_POCOL_SINGLE_HANDOFF,0.0,0.0
