run_id,phase,protocol,protocol_label,N,seed,seed_index,tag,miner_hashrate_THs,aggregate_hashrate_THs,active_power_W_per_miner,aggregate_full_power_W,difficulty,target,q_per_candidate,simulation_seconds,epoch_sweep_s,nonce_domain,range_per_miner,accepted_blocks,closed_rounds,blocks_created,blocks_per_hour,total_evaluations,unique_evaluations,duplicate_evaluations,duplicate_ratio,distinct_nonce_values,nonce_value_reuse_ratio,n_templates,active_miner_seconds,low_power_miner_seconds,low_power_fraction,mean_block_interval,median_block_interval,sd_block_interval,p95_block_interval,stale_blocks,stale_rate,range_completions,epoch_exhaustions,exhaustion_count,domain_artifact_exhaustions,active_to_low_transitions,low_to_active_transitions,low_episodes,mean_low_duration_s,median_low_duration_s,max_low_duration_s,miners_entering_low,fraction_miners_entering_low,mean_simultaneous_low_miners,max_simultaneous_low_miners,state_time_conservation_error_s,work_accounting_error,energy_active_J,energy_total_J_LP0,energy_total_kWh_LP0,execution_time_seconds,commit_hash,config_hash
8X_N100_POW_seed001,primary,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",100,5276648305985929199,1,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,19,19,19,6.84,234000000000000000325,234000000000000000325,0,0.0,4294967296,0.9999999999816455,2900,1000000.0,0.0,0.0,459.84254119184993,283.32760239709523,406.57271232666227,1279.5928527980382,0,0.0,900,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.014827671000148257,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POCOL_seed001,primary,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),100,5276648305985929199,1,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,19,19,19,6.84,233523025324384346700,233523025324384346700,0,0.0,4294967296,0.9999999999816079,29,997961.646685403,2038.353314596813,0.002038353314596813,460.88953206376686,283.32760239709523,408.2279101902772,1284.2602237117148,0,0.0,900,9,9,0,900,900,900,2.264837016218681,2.1385312920817796,5.748374838053678,100,1.0,0.2038353314596813,100,1.8189894035458565e-12,2.806404203995073e-16,3502845379.865764,3502845379.865764,973.0126055182678,0.02316521599959742,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POW_seed002,primary,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",100,628757264142989241,2,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,20,20,20,7.2,234000000000000000012,234000000000000000012,0,0.0,4294967296,0.9999999999816455,2800,1000000.0,0.0,0.0,493.61063468266894,406.70414851180294,396.7687120745315,1182.4848484538486,0,0.0,700,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.018141298000045936,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POCOL_seed002,primary,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),100,628757264142989241,2,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,20,20,20,7.2,233661988569291182024,233661988569291182024,0,0.0,4294967296,0.9999999999816189,28,998555.5067063723,1444.493293627427,0.0014444932936274269,494.43346119532407,406.7041485118025,398.0435385685835,1184.2447291914104,0,0.0,700,7,7,0,700,700,700,2.063561848039182,2.17533050393331,5.61035275985023,100,1.0,0.14444932936274274,100,1.8189894035458565e-12,4.2071027727665054e-16,3504929828.5393667,3504929828.5393667,973.591619038713,0.01827628299997741,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POW_seed003,primary,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",100,5212820311653467928,3,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,8,8,8,2.88,234000000000000000697,234000000000000000697,0,0.0,4294967296,0.9999999999816455,2100,1000000.0,0.0,0.0,1242.0415924382041,1034.500121080045,1114.732415605355,2980.388713555801,0,0.0,1200,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.009349019000183034,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POCOL_seed003,primary,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),100,5212820311653467928,3,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,8,8,8,2.88,233436928113092976715,233436928113092976715,0,0.0,4294967296,0.9999999999816012,21,997593.7098850128,2406.290114987274,0.002406290114987274,1245.2213591666396,1036.8503176201493,1118.701036121499,2990.152689750884,0,0.0,1200,12,12,0,1200,1200,1200,2.005241762489395,2.0243432589845725,5.040161302447814,100,1.0,0.24062901149872742,100,1.8189894035458565e-12,0.0,3501553921.696395,3501553921.696395,972.6538671378875,0.013659461999850464,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POW_seed004,primary,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",100,1493634387465783589,4,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,18,18,18,6.48,234000000000000000066,234000000000000000066,0,0.0,4294967296,0.9999999999816455,2796,1000000.0,0.0,0.0,548.8570399069146,389.5636559533716,427.74856405540817,1232.5219611313767,0,0.0,896,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.012588082000092982,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POCOL_seed004,primary,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),100,1493634387465783589,4,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,16,16,16,5.76,233425807236176946266,233425807236176946266,0,0.0,4294967296,0.9999999999816003,27,997546.184769987,2453.815230013057,0.002453815230013057,614.8446209932522,546.7214848678,412.4820669557276,1228.3446811420158,0,0.0,1000,10,10,0,1000,1000,1000,2.453815230013057,2.423731165199115,6.320738209320552,100,1.0,0.24538152300130572,100,1.8189894035458565e-12,1.4037865130673317e-16,3501387108.5426545,3501387108.5426545,972.6075301507374,0.015972625999893353,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POW_seed005,primary,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",100,349906842534328690,5,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,12,12,12,4.32,233999999999999998380,233999999999999998380,0,0.0,4294967296,0.9999999999816455,2300,1000000.0,0.0,0.0,786.9627315308098,537.2712275340411,887.748701642923,2338.3144456071454,0,0.0,1000,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.009847772999819426,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8X_N100_POCOL_seed005,primary,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),100,349906842534328690,5,,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,12,12,12,4.32,233584271929412763316,233584271929412763316,0,0.0,4294967296,0.9999999999816128,23,998223.3843137297,1776.6156862702287,0.0017766156862702286,788.185167851277,537.2712275340411,890.0711859388786,2343.553946308544,0,0.0,1000,10,10,0,1000,1000,1000,1.7766156862702291,1.8637497201098085,4.24408069054698,100,1.0,0.17766156862702293,100,1.8189894035458565e-12,0.0,3503764078.941191,3503764078.941191,973.2677997058864,0.01414835299965489,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
