run_id,protocol,N,seed_index,block_index,interval_s
8XP_N100_POW_seed001,POW,100,1,1,44.79752492822292
8XP_N100_POW_seed001,POW,100,1,2,828.7574711284184
8XP_N100_POW_seed001,POW,100,1,3,1283.7367291761484
8XP_N100_POW_seed001,POW,100,1,4,24.72456238198174
8XP_N100_POW_seed001,POW,100,1,5,74.93551446445372
8XP_N100_POW_seed001,POW,100,1,6,621.1705921989201
8XP_N100_POW_seed001,POW,100,1,7,463.6665374133827
8XP_N100_POW_seed001,POW,100,1,8,1547.8896052215532
8XP_N100_POW_seed001,POW,100,1,9,14.935730087073352
8XP_N100_POW_seed001,POW,100,1,10,380.5386361844503
8XP_N100_POW_seed001,POW,100,1,11,79.44722366948827
8XP_N100_POW_seed001,POW,100,1,12,106.38006859959114
8XP_N100_POW_seed001,POW,100,1,13,214.05073979876852
8XP_N100_POW_seed001,POW,100,1,14,544.4376820569632
8XP_N100_POW_seed001,POW,100,1,15,192.87852653911705
8XP_N100_POW_seed001,POW,100,1,16,2338.9728577290743
8XP_N100_POW_seed001,POW,100,1,17,586.4090899776074
8XP_N100_POCOL_seed001,POCOL,100,1,1,44.79752492822292
8XP_N100_POCOL_seed001,POCOL,100,1,2,830.84366291753
8XP_N100_POCOL_seed001,POCOL,100,1,3,1290.855018156827
8XP_N100_POCOL_seed001,POCOL,100,1,4,24.72456238198174
8XP_N100_POCOL_seed001,POCOL,100,1,5,74.93551446445372
8XP_N100_POCOL_seed001,POCOL,100,1,6,624.127139865408
8XP_N100_POCOL_seed001,POCOL,100,1,7,463.66653741338223
8XP_N100_POCOL_seed001,POCOL,100,1,8,1552.911867288698
8XP_N100_POCOL_seed001,POCOL,100,1,9,14.935730087073352
8XP_N100_POCOL_seed001,POCOL,100,1,10,380.5386361844503
8XP_N100_POCOL_seed001,POCOL,100,1,11,79.44722366948827
8XP_N100_POCOL_seed001,POCOL,100,1,12,106.38006859959114
8XP_N100_POCOL_seed001,POCOL,100,1,13,214.05073979876852
8XP_N100_POCOL_seed001,POCOL,100,1,14,544.4376820569632
8XP_N100_POCOL_seed001,POCOL,100,1,15,192.87852653911705
8XP_N100_POCOL_seed001,POCOL,100,1,16,2345.012969309523
8XP_N100_POCOL_seed001,POCOL,100,1,17,586.4090899776074
8XP_N100_POWMT_seed001,POWMT,100,1,1,942.7869104762724
8XP_N100_POWMT_seed001,POWMT,100,1,2,16.348003070075833
8XP_N100_POWMT_seed001,POWMT,100,1,3,2664.786182097205
8XP_N100_POWMT_seed001,POWMT,100,1,4,1279.9351996513583
8XP_N100_POWMT_seed001,POWMT,100,1,5,607.9043156202761
8XP_N100_POWMT_seed001,POWMT,100,1,6,847.9131382318401
8XP_N100_POWMT_seed001,POWMT,100,1,7,82.22451755863767
8XP_N100_POWMT_seed001,POWMT,100,1,8,464.3635961075488
8XP_N100_POWMT_seed001,POWMT,100,1,9,414.9756763631776
8XP_N100_POWMT_seed001,POWMT,100,1,10,1347.2756839752592
8XP_N100_POWMT_seed001,POWMT,100,1,11,59.0736106975437
8XP_N100_POWMT_seed001,POWMT,100,1,12,252.9936183036989
8XP_N100_POWMT_seed001,POWMT,100,1,13,42.12728483026331
8XP_N100_POWMT_seed001,POWMT,100,1,14,773.764389021826
8XP_N100_POW_seed002,POW,100,2,1,131.48219391379047
8XP_N100_POW_seed002,POW,100,2,2,551.8400214817357
8XP_N100_POW_seed002,POW,100,2,3,138.8283056237358
8XP_N100_POW_seed002,POW,100,2,4,75.90756869241181
8XP_N100_POW_seed002,POW,100,2,5,62.08960620780124
8XP_N100_POW_seed002,POW,100,2,6,181.11765081886313
8XP_N100_POW_seed002,POW,100,2,7,820.4627551178846
8XP_N100_POW_seed002,POW,100,2,8,877.3128885971903
8XP_N100_POW_seed002,POW,100,2,9,517.9331101966122
8XP_N100_POW_seed002,POW,100,2,10,306.78635073559553
8XP_N100_POW_seed002,POW,100,2,11,1237.3310381551205
8XP_N100_POW_seed002,POW,100,2,12,1434.9430198251403
8XP_N100_POW_seed002,POW,100,2,13,525.7706830779616
8XP_N100_POW_seed002,POW,100,2,14,542.7503984601153
8XP_N100_POW_seed002,POW,100,2,15,646.7714522301967
8XP_N100_POW_seed002,POW,100,2,16,79.40579723078827
8XP_N100_POW_seed002,POW,100,2,17,574.0876681721793
8XP_N100_POCOL_seed002,POCOL,100,2,1,131.48219391379047
8XP_N100_POCOL_seed002,POCOL,100,2,2,551.8400214817357
8XP_N100_POCOL_seed002,POCOL,100,2,3,138.8283056237358
8XP_N100_POCOL_seed002,POCOL,100,2,4,75.90756869241181
8XP_N100_POCOL_seed002,POCOL,100,2,5,62.08960620780124
8XP_N100_POCOL_seed002,POCOL,100,2,6,181.11765081886313
8XP_N100_POCOL_seed002,POCOL,100,2,7,823.4782100538243
8XP_N100_POCOL_seed002,POCOL,100,2,8,879.1912742622526
8XP_N100_POCOL_seed002,POCOL,100,2,9,517.9331101966122
8XP_N100_POCOL_seed002,POCOL,100,2,10,306.78635073559553
8XP_N100_POCOL_seed002,POCOL,100,2,11,1241.883874352768
8XP_N100_POCOL_seed002,POCOL,100,2,12,1439.2793688318734
8XP_N100_POCOL_seed002,POCOL,100,2,13,525.7706830779616
8XP_N100_POCOL_seed002,POCOL,100,2,14,542.7503984601153
8XP_N100_POCOL_seed002,POCOL,100,2,15,648.7765183890833
8XP_N100_POCOL_seed002,POCOL,100,2,16,79.40579723078827
8XP_N100_POCOL_seed002,POCOL,100,2,17,574.0876681721784
8XP_N100_POWMT_seed002,POWMT,100,2,1,321.86259064056856
8XP_N100_POWMT_seed002,POWMT,100,2,2,871.4209821367868
8XP_N100_POWMT_seed002,POWMT,100,2,3,62.73886715488561
8XP_N100_POWMT_seed002,POWMT,100,2,4,846.3349116416093
8XP_N100_POWMT_seed002,POWMT,100,2,5,1781.2650198570777
8XP_N100_POWMT_seed002,POWMT,100,2,6,109.40762188374538
8XP_N100_POWMT_seed002,POWMT,100,2,7,0.7024828672429067
8XP_N100_POWMT_seed002,POWMT,100,2,8,1446.8204545433646
8XP_N100_POWMT_seed002,POWMT,100,2,9,136.97321866498896
8XP_N100_POWMT_seed002,POWMT,100,2,10,764.6071659812224
8XP_N100_POWMT_seed002,POWMT,100,2,11,2538.1478096992732
8XP_N100_POWMT_seed002,POWMT,100,2,12,326.0089349949794
8XP_N100_POW_seed003,POW,100,3,1,41.00947893431206
8XP_N100_POW_seed003,POW,100,3,2,2069.7514890039565
8XP_N100_POW_seed003,POW,100,3,3,69.87641769382299
8XP_N100_POW_seed003,POW,100,3,4,940.926767813693
8XP_N100_POW_seed003,POW,100,3,5,545.429375052247
8XP_N100_POW_seed003,POW,100,3,6,13.914770964784566
8XP_N100_POW_seed003,POW,100,3,7,669.6087683188298
8XP_N100_POW_seed003,POW,100,3,8,940.3379012890064
8XP_N100_POW_seed003,POW,100,3,9,433.7628149603088
8XP_N100_POW_seed003,POW,100,3,10,877.8381301416175
8XP_N100_POW_seed003,POW,100,3,11,607.5458480309571
8XP_N100_POW_seed003,POW,100,3,12,92.04607061694423
8XP_N100_POW_seed003,POW,100,3,13,84.31657922181421
8XP_N100_POW_seed003,POW,100,3,14,315.19181370684873
8XP_N100_POW_seed003,POW,100,3,15,21.270728270063955
8XP_N100_POW_seed003,POW,100,3,16,84.97497090381239
8XP_N100_POW_seed003,POW,100,3,17,358.8526429607846
8XP_N100_POW_seed003,POW,100,3,18,1016.3231782679186
8XP_N100_POW_seed003,POW,100,3,19,111.1606452301221
8XP_N100_POCOL_seed003,POCOL,100,3,1,41.00947893431206
8XP_N100_POCOL_seed003,POCOL,100,3,2,2075.262029846914
8XP_N100_POCOL_seed003,POCOL,100,3,3,69.87641769382299
8XP_N100_POCOL_seed003,POCOL,100,3,4,944.6361211227522
8XP_N100_POCOL_seed003,POCOL,100,3,5,545.429375052247
8XP_N100_POCOL_seed003,POCOL,100,3,6,13.914770964784566
8XP_N100_POCOL_seed003,POCOL,100,3,7,671.1580970572245
8XP_N100_POCOL_seed003,POCOL,100,3,8,942.0876865572418
8XP_N100_POCOL_seed003,POCOL,100,3,9,433.7628149603088
8XP_N100_POCOL_seed003,POCOL,100,3,10,880.6593323174902
8XP_N100_POCOL_seed003,POCOL,100,3,11,609.9374144820558
8XP_N100_POCOL_seed003,POCOL,100,3,12,92.04607061694423
8XP_N100_POCOL_seed003,POCOL,100,3,13,84.31657922181421
8XP_N100_POCOL_seed003,POCOL,100,3,14,315.19181370684873
8XP_N100_POCOL_seed003,POCOL,100,3,15,21.270728270063955
8XP_N100_POCOL_seed003,POCOL,100,3,16,84.97497090381239
8XP_N100_POCOL_seed003,POCOL,100,3,17,358.8526429607846
8XP_N100_POCOL_seed003,POCOL,100,3,18,1018.4991938159756
8XP_N100_POCOL_seed003,POCOL,100,3,19,111.1606452301221
8XP_N100_POWMT_seed003,POWMT,100,3,1,757.5881772238404
8XP_N100_POWMT_seed003,POWMT,100,3,2,196.2897801433287
8XP_N100_POWMT_seed003,POWMT,100,3,3,752.3204375946441
8XP_N100_POWMT_seed003,POWMT,100,3,4,417.4033498733445
8XP_N100_POWMT_seed003,POWMT,100,3,5,1844.6663458031721
8XP_N100_POWMT_seed003,POWMT,100,3,6,145.99029217285033
8XP_N100_POWMT_seed003,POWMT,100,3,7,984.3346211958842
8XP_N100_POWMT_seed003,POWMT,100,3,8,1315.0964108958979
8XP_N100_POWMT_seed003,POWMT,100,3,9,1013.4992088110403
8XP_N100_POWMT_seed003,POWMT,100,3,10,471.6920041618405
8XP_N100_POWMT_seed003,POWMT,100,3,11,905.7325257716611
8XP_N100_POWMT_seed003,POWMT,100,3,12,83.3512052545193
8XP_N100_POW_seed004,POW,100,4,1,102.91751111644582
8XP_N100_POW_seed004,POW,100,4,2,593.2353889108861
8XP_N100_POW_seed004,POW,100,4,3,1091.5946652479083
8XP_N100_POW_seed004,POW,100,4,4,1875.9395381812699
8XP_N100_POW_seed004,POW,100,4,5,1332.0772130679006
8XP_N100_POW_seed004,POW,100,4,6,269.6018418441563
8XP_N100_POW_seed004,POW,100,4,7,272.8479780161215
8XP_N100_POW_seed004,POW,100,4,8,88.21623935918888
8XP_N100_POW_seed004,POW,100,4,9,210.14388056521238
8XP_N100_POW_seed004,POW,100,4,10,56.56543285198313
8XP_N100_POW_seed004,POW,100,4,11,714.3357732737786
8XP_N100_POW_seed004,POW,100,4,12,393.23357702015255
8XP_N100_POW_seed004,POW,100,4,13,157.92021883515918
8XP_N100_POW_seed004,POW,100,4,14,245.62441591239622
8XP_N100_POW_seed004,POW,100,4,15,206.775055107948
8XP_N100_POW_seed004,POW,100,4,16,885.1916151861124
8XP_N100_POW_seed004,POW,100,4,17,243.58362430857596
8XP_N100_POW_seed004,POW,100,4,18,170.18456052549118
8XP_N100_POW_seed004,POW,100,4,19,712.6468120591271
8XP_N100_POCOL_seed004,POCOL,100,4,1,102.91751111644582
8XP_N100_POCOL_seed004,POCOL,100,4,2,593.2353889108861
8XP_N100_POCOL_seed004,POCOL,100,4,3,1093.1497018474329
8XP_N100_POCOL_seed004,POCOL,100,4,4,1883.1313368562915
8XP_N100_POCOL_seed004,POCOL,100,4,5,1337.1391753923294
8XP_N100_POCOL_seed004,POCOL,100,4,6,269.6018418441563
8XP_N100_POCOL_seed004,POCOL,100,4,7,272.8479780161215
8XP_N100_POCOL_seed004,POCOL,100,4,8,88.21623935918888
8XP_N100_POCOL_seed004,POCOL,100,4,9,210.14388056521238
8XP_N100_POCOL_seed004,POCOL,100,4,10,56.56543285198313
8XP_N100_POCOL_seed004,POCOL,100,4,11,716.6983939276352
8XP_N100_POCOL_seed004,POCOL,100,4,12,393.23357702015255
8XP_N100_POCOL_seed004,POCOL,100,4,13,157.92021883515918
8XP_N100_POCOL_seed004,POCOL,100,4,14,245.62441591239622
8XP_N100_POCOL_seed004,POCOL,100,4,15,206.775055107948
8XP_N100_POCOL_seed004,POCOL,100,4,16,887.6381435828243
8XP_N100_POCOL_seed004,POCOL,100,4,17,243.58362430857596
8XP_N100_POCOL_seed004,POCOL,100,4,18,170.18456052549118
8XP_N100_POCOL_seed004,POCOL,100,4,19,713.9826997468135
8XP_N100_POWMT_seed004,POWMT,100,4,1,703.1918859360525
8XP_N100_POWMT_seed004,POWMT,100,4,2,18.57408748540638
8XP_N100_POWMT_seed004,POWMT,100,4,3,487.7797318390027
8XP_N100_POWMT_seed004,POWMT,100,4,4,4.362030228958702
8XP_N100_POWMT_seed004,POWMT,100,4,5,920.4854839199033
8XP_N100_POWMT_seed004,POWMT,100,4,6,626.14974390407
8XP_N100_POWMT_seed004,POWMT,100,4,7,79.38401491482455
8XP_N100_POWMT_seed004,POWMT,100,4,8,65.83099298859588
8XP_N100_POWMT_seed004,POWMT,100,4,9,1281.7758128510327
8XP_N100_POWMT_seed004,POWMT,100,4,10,622.1958701149078
8XP_N100_POWMT_seed004,POWMT,100,4,11,227.19242292444324
8XP_N100_POWMT_seed004,POWMT,100,4,12,997.8133844632002
8XP_N100_POWMT_seed004,POWMT,100,4,13,639.5328337235214
8XP_N100_POWMT_seed004,POWMT,100,4,14,1247.5496616374394
8XP_N100_POWMT_seed004,POWMT,100,4,15,388.4356888932898
8XP_N100_POWMT_seed004,POWMT,100,4,16,198.39426804818686
8XP_N100_POWMT_seed004,POWMT,100,4,17,74.92140688376276
8XP_N100_POWMT_seed004,POWMT,100,4,18,77.44056753662335
8XP_N100_POWMT_seed004,POWMT,100,4,19,449.63730885191944
8XP_N100_POWMT_seed004,POWMT,100,4,20,605.37953231147
8XP_N100_POW_seed005,POW,100,5,1,387.0061361026799
8XP_N100_POW_seed005,POW,100,5,2,163.21794342799717
8XP_N100_POW_seed005,POW,100,5,3,59.28889084627792
8XP_N100_POW_seed005,POW,100,5,4,7.465528326816752
8XP_N100_POW_seed005,POW,100,5,5,565.5388659272485
8XP_N100_POW_seed005,POW,100,5,6,1557.0052249293924
8XP_N100_POW_seed005,POW,100,5,7,78.66393511542174
8XP_N100_POW_seed005,POW,100,5,8,60.407760129769486
8XP_N100_POW_seed005,POW,100,5,9,23.01429938326828
8XP_N100_POW_seed005,POW,100,5,10,781.0431195927649
8XP_N100_POW_seed005,POW,100,5,11,198.2438007553701
8XP_N100_POW_seed005,POW,100,5,12,588.8272411348994
8XP_N100_POW_seed005,POW,100,5,13,164.02936671792213
8XP_N100_POW_seed005,POW,100,5,14,171.23817978852094
8XP_N100_POW_seed005,POW,100,5,15,1840.9082655259817
8XP_N100_POW_seed005,POW,100,5,16,1473.1674509064387
8XP_N100_POW_seed005,POW,100,5,17,108.78450362732019
8XP_N100_POW_seed005,POW,100,5,18,99.19099282669958
8XP_N100_POW_seed005,POW,100,5,19,203.52434952332078
8XP_N100_POCOL_seed005,POCOL,100,5,1,387.0061361026799
8XP_N100_POCOL_seed005,POCOL,100,5,2,163.21794342799717
8XP_N100_POCOL_seed005,POCOL,100,5,3,59.28889084627792
8XP_N100_POCOL_seed005,POCOL,100,5,4,7.465528326816752
8XP_N100_POCOL_seed005,POCOL,100,5,5,565.5388659272485
8XP_N100_POCOL_seed005,POCOL,100,5,6,1561.087143304427
8XP_N100_POCOL_seed005,POCOL,100,5,7,78.66393511542174
8XP_N100_POCOL_seed005,POCOL,100,5,8,60.407760129769486
8XP_N100_POCOL_seed005,POCOL,100,5,9,23.01429938326828
8XP_N100_POCOL_seed005,POCOL,100,5,10,784.1129036102625
8XP_N100_POCOL_seed005,POCOL,100,5,11,198.2438007553701
8XP_N100_POCOL_seed005,POCOL,100,5,12,588.8272411348989
8XP_N100_POCOL_seed005,POCOL,100,5,13,164.02936671792213
8XP_N100_POCOL_seed005,POCOL,100,5,14,171.23817978852094
8XP_N100_POCOL_seed005,POCOL,100,5,15,1847.367685899857
8XP_N100_POCOL_seed005,POCOL,100,5,16,1478.0011112598177
8XP_N100_POCOL_seed005,POCOL,100,5,17,108.7845036273211
8XP_N100_POCOL_seed005,POCOL,100,5,18,99.19099282669958
8XP_N100_POCOL_seed005,POCOL,100,5,19,203.52434952332078
8XP_N100_POWMT_seed005,POWMT,100,5,1,209.0300146843038
8XP_N100_POWMT_seed005,POWMT,100,5,2,576.8698928263809
8XP_N100_POWMT_seed005,POWMT,100,5,3,173.50470550769023
8XP_N100_POWMT_seed005,POWMT,100,5,4,1033.909191874164
8XP_N100_POWMT_seed005,POWMT,100,5,5,144.30550019777365
8XP_N100_POWMT_seed005,POWMT,100,5,6,2025.182123793425
8XP_N100_POWMT_seed005,POWMT,100,5,7,799.9434387556994
8XP_N100_POWMT_seed005,POWMT,100,5,8,1657.1973971432762
8XP_N100_POWMT_seed005,POWMT,100,5,9,1086.905103025927
8XP_N100_POWMT_seed005,POWMT,100,5,10,364.8147972970846
8XP_N300_POW_seed001,POW,300,1,1,162.22041379570052
8XP_N300_POW_seed001,POW,300,1,2,896.392931912658
8XP_N300_POW_seed001,POW,300,1,3,107.20661116752467
8XP_N300_POW_seed001,POW,300,1,4,654.6551979525491
8XP_N300_POW_seed001,POW,300,1,5,25.038081058543185
8XP_N300_POW_seed001,POW,300,1,6,191.38335846909308
8XP_N300_POW_seed001,POW,300,1,7,133.12494101232573
8XP_N300_POW_seed001,POW,300,1,8,202.31764228038446
8XP_N300_POW_seed001,POW,300,1,9,1677.8154950742482
8XP_N300_POW_seed001,POW,300,1,10,517.5559170453134
8XP_N300_POW_seed001,POW,300,1,11,102.65935877999709
8XP_N300_POW_seed001,POW,300,1,12,380.79481314269833
8XP_N300_POW_seed001,POW,300,1,13,79.8356663539671
8XP_N300_POW_seed001,POW,300,1,14,84.00473264650918
8XP_N300_POW_seed001,POW,300,1,15,1104.1259505664357
8XP_N300_POW_seed001,POW,300,1,16,194.0944578730523
8XP_N300_POW_seed001,POW,300,1,17,713.0553579536945
8XP_N300_POW_seed001,POW,300,1,18,1017.6832285302489
8XP_N300_POW_seed001,POW,300,1,19,49.947765233640894
8XP_N300_POW_seed001,POW,300,1,20,364.3903900433961
8XP_N300_POW_seed001,POW,300,1,21,490.1841623644268
8XP_N300_POCOL_seed001,POCOL,300,1,1,162.22041379570052
8XP_N300_POCOL_seed001,POCOL,300,1,2,898.706583228764
8XP_N300_POCOL_seed001,POCOL,300,1,3,107.20661116752467
8XP_N300_POCOL_seed001,POCOL,300,1,4,657.7646434162289
8XP_N300_POCOL_seed001,POCOL,300,1,5,25.038081058543185
8XP_N300_POCOL_seed001,POCOL,300,1,6,191.38335846909308
8XP_N300_POCOL_seed001,POCOL,300,1,7,133.12494101232573
8XP_N300_POCOL_seed001,POCOL,300,1,8,202.31764228038446
8XP_N300_POCOL_seed001,POCOL,300,1,9,1683.8359103668085
8XP_N300_POCOL_seed001,POCOL,300,1,10,517.5559170453139
8XP_N300_POCOL_seed001,POCOL,300,1,11,102.65935877999709
8XP_N300_POCOL_seed001,POCOL,300,1,12,380.79481314269833
8XP_N300_POCOL_seed001,POCOL,300,1,13,79.8356663539671
8XP_N300_POCOL_seed001,POCOL,300,1,14,84.00473264650918
8XP_N300_POCOL_seed001,POCOL,300,1,15,1107.1583663844158
8XP_N300_POCOL_seed001,POCOL,300,1,16,194.0944578730523
8XP_N300_POCOL_seed001,POCOL,300,1,17,715.2969972163582
8XP_N300_POCOL_seed001,POCOL,300,1,18,1019.6261212155314
8XP_N300_POCOL_seed001,POCOL,300,1,19,49.947765233640894
8XP_N300_POCOL_seed001,POCOL,300,1,20,364.3903900433961
8XP_N300_POCOL_seed001,POCOL,300,1,21,490.1841623644268
8XP_N300_POWMT_seed001,POWMT,300,1,1,1873.8132123175924
8XP_N300_POWMT_seed001,POWMT,300,1,2,160.5343242122733
8XP_N300_POWMT_seed001,POWMT,300,1,3,2159.0057455566775
8XP_N300_POWMT_seed001,POWMT,300,1,4,1785.1949968443023
8XP_N300_POWMT_seed001,POWMT,300,1,5,874.3478870169756
8XP_N300_POWMT_seed001,POWMT,300,1,6,473.7568522827978
8XP_N300_POWMT_seed001,POWMT,300,1,7,323.36207414143155
8XP_N300_POWMT_seed001,POWMT,300,1,8,54.52090121928268
