run_id,protocol,N,seed_index,block_index,interval_s
8XS_N100_POWMT_seed001_MT,POWMT,100,1,1,261.57807921018104
8XS_N100_POWMT_seed001_MT,POWMT,100,1,2,166.37989861223502
8XS_N100_POWMT_seed001_MT,POWMT,100,1,3,167.81924567347892
8XS_N100_POWMT_seed001_MT,POWMT,100,1,4,758.5705317203092
8XS_N100_POWMT_seed001_MT,POWMT,100,1,5,1874.4070953199173
8XS_N100_POWMT_seed001_MT,POWMT,100,1,6,452.74882319266453
8XS_N100_POWMT_seed001_MT,POWMT,100,1,7,2002.901810111683
8XS_N100_POWMT_seed001_MT,POWMT,100,1,8,206.46496131760978
8XS_N100_POWMT_seed001_MT,POWMT,100,1,9,25.14863292098562
8XS_N100_POWMT_seed001_MT,POWMT,100,1,10,1440.7815498026011
8XS_N100_POWMT_seed001_MT,POWMT,100,1,11,728.1984486418633
8XS_N100_POWMT_seed001_MT,POWMT,100,1,12,125.49841106601707
8XS_N100_POWMT_seed001_MT,POWMT,100,1,13,115.66543922703022
8XS_N100_POWMT_seed001_MT,POWMT,100,1,14,1672.7678788501908
8XS_N100_POWMT_seed002_MT,POWMT,100,2,1,1073.797917660363
8XS_N100_POWMT_seed002_MT,POWMT,100,2,2,886.420564456633
8XS_N100_POWMT_seed002_MT,POWMT,100,2,3,1577.2440350544423
8XS_N100_POWMT_seed002_MT,POWMT,100,2,4,326.37023988968895
8XS_N100_POWMT_seed002_MT,POWMT,100,2,5,291.1059383840702
8XS_N100_POWMT_seed002_MT,POWMT,100,2,6,1614.6123561883123
8XS_N100_POWMT_seed002_MT,POWMT,100,2,7,619.8041383572754
8XS_N100_POWMT_seed002_MT,POWMT,100,2,8,101.23468793140273
8XS_N100_POWMT_seed002_MT,POWMT,100,2,9,1907.2232354672415
8XS_N100_POWMT_seed002_MT,POWMT,100,2,10,809.2804467442311
8XS_N100_POWMT_seed003_MT,POWMT,100,3,1,11.807696264448047
8XS_N100_POWMT_seed003_MT,POWMT,100,3,2,3722.2863700547096
8XS_N100_POWMT_seed003_MT,POWMT,100,3,3,1446.3606157022195
8XS_N100_POWMT_seed003_MT,POWMT,100,3,4,1617.5096977026824
8XS_N100_POWMT_seed003_MT,POWMT,100,3,5,135.40708624044964
8XS_N100_POWMT_seed003_MT,POWMT,100,3,6,1966.306707806555
8XS_N100_POWMT_seed003_MT,POWMT,100,3,7,22.326943600779487
8XS_N100_POWMT_seed003_MT,POWMT,100,3,8,33.58568647670836
8XS_N100_POWMT_seed004_MT,POWMT,100,4,1,1256.772035730202
8XS_N100_POWMT_seed004_MT,POWMT,100,4,2,2486.740564853937
8XS_N100_POWMT_seed004_MT,POWMT,100,4,3,2647.5983178692627
8XS_N100_POWMT_seed004_MT,POWMT,100,4,4,204.51068273783767
8XS_N100_POWMT_seed004_MT,POWMT,100,4,5,1543.7328355836316
8XS_N100_POWMT_seed004_MT,POWMT,100,4,6,1564.6877723342786
8XS_N100_POWMT_seed005_MT,POWMT,100,5,1,626.3697174468812
8XS_N100_POWMT_seed005_MT,POWMT,100,5,2,43.99389894086437
8XS_N100_POWMT_seed005_MT,POWMT,100,5,3,283.5498233867057
8XS_N100_POWMT_seed005_MT,POWMT,100,5,4,221.36278146734253
8XS_N100_POWMT_seed005_MT,POWMT,100,5,5,1622.1112203438956
8XS_N100_POWMT_seed005_MT,POWMT,100,5,6,621.5425640415765
8XS_N100_POWMT_seed005_MT,POWMT,100,5,7,2633.7530441305034
8XS_N100_POWMT_seed005_MT,POWMT,100,5,8,300.8970363754115
8XS_N100_POWMT_seed005_MT,POWMT,100,5,9,168.57330220965287
8XS_N100_POWMT_seed005_MT,POWMT,100,5,10,241.89729185232045
8XS_N100_POWMT_seed005_MT,POWMT,100,5,11,220.78868640306428
