run_id,phase,protocol,protocol_label,N,seed,seed_index,tag,miner_hashrate_THs,aggregate_hashrate_THs,active_power_W_per_miner,aggregate_full_power_W,difficulty,target,q_per_candidate,simulation_seconds,epoch_sweep_s,nonce_domain,range_per_miner,accepted_blocks,closed_rounds,blocks_created,blocks_per_hour,total_evaluations,unique_evaluations,duplicate_evaluations,duplicate_ratio,distinct_nonce_values,nonce_value_reuse_ratio,n_templates,active_miner_seconds,low_power_miner_seconds,low_power_fraction,mean_block_interval,median_block_interval,sd_block_interval,p95_block_interval,stale_blocks,stale_rate,range_completions,epoch_exhaustions,exhaustion_count,domain_artifact_exhaustions,active_to_low_transitions,low_to_active_transitions,low_episodes,mean_low_duration_s,median_low_duration_s,max_low_duration_s,miners_entering_low,fraction_miners_entering_low,mean_simultaneous_low_miners,max_simultaneous_low_miners,state_time_conservation_error_s,work_accounting_error,energy_active_J,energy_total_J_LP0,energy_total_kWh_LP0,execution_time_seconds,commit_hash,config_hash
8XS_N100_POWMT_seed001_MT,secondary,POWMT,"X-PW-MATCHED-TEMPLATE (secondary diagnostic, common-template PoW)",100,5276648305985929199,1,MT,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,14,14,14,5.04,234000000000000000786,157157187490195316930,76842812509804683856,0.32838808764873795,4294967296,0.9999999999816455,27,1000000.0,0.0,0.0,714.209343261912,357.1634512014228,721.3786286404219,1919.3802454970353,0,0.0,1200,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.015184079999926325,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8XS_N100_POWMT_seed002_MT,secondary,POWMT,"X-PW-MATCHED-TEMPLATE (secondary diagnostic, common-template PoW)",100,628757264142989241,2,MT,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,10,10,10,3.6,233999999999999999929,156481500326708968396,77518499673291031533,0.33127563962944884,4294967296,0.9999999999816455,23,1000000.0,0.0,0.0,920.709356013366,847.850505600432,617.7467256652141,1775.548339791723,0,0.0,1200,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.012256874000286189,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8XS_N100_POWMT_seed003_MT,secondary,POWMT,"X-PW-MATCHED-TEMPLATE (secondary diagnostic, common-template PoW)",100,5212820311653467928,3,MT,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,8,8,8,2.88,233999999999999999851,153570265141878801964,80429734858121197887,0.34371681563299655,4294967296,0.9999999999816455,23,1000000.0,0.0,0.0,1119.448850481069,790.8838509713346,1332.2832015202655,3107.6934882678543,0,0.0,1400,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.013417640999705327,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8XS_N100_POWMT_seed004_MT,secondary,POWMT,"X-PW-MATCHED-TEMPLATE (secondary diagnostic, common-template PoW)",100,1493634387465783589,4,MT,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,6,6,6,2.16,233999999999999999611,154976157660084765570,79023842339915234041,0.3377087279483557,4294967296,0.9999999999816455,21,1000000.0,0.0,0.0,1617.3403681848583,1554.2103039589551,888.9967100064036,2607.3838796154314,0,0.0,1400,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.011107817999800318,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8XS_N100_POWMT_seed005_MT,secondary,POWMT,"X-PW-MATCHED-TEMPLATE (secondary diagnostic, common-template PoW)",100,349906842534328690,5,MT,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,13,13,13,4.680000000000001,234000000000000001055,160281806703830866166,73718193296169134889,0.3150350140861929,4294967296,0.9999999999816455,25,1000000.0,0.0,0.0,604.9282907776426,300.8970363754115,726.7643426845565,2026.7679498585373,0,0.0,1100,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.013578123000115738,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8XS_N100_POWMT_seed006_MT,secondary,POWMT,"X-PW-MATCHED-TEMPLATE (secondary diagnostic, common-template PoW)",100,2558760955731327512,6,MT,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,8,8,8,2.88,233999999999999998954,155238490196624513874,78761509803375485080,0.33658764873237385,4294967296,0.9999999999816455,22,1000000.0,0.0,0.0,1199.6173230139248,1340.9074246806063,909.2752881275594,2450.1257960314747,0,0.0,1300,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.010815986000125122,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8XS_N100_POWMT_seed007_MT,secondary,POWMT,"X-PW-MATCHED-TEMPLATE (secondary diagnostic, common-template PoW)",100,7890926658382884983,7,MT,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,13,13,13,4.680000000000001,234000000000000001956,157129598314593068433,76870401685406933523,0.3285059901085766,4294967296,0.9999999999816455,27,1000000.0,0.0,0.0,758.7084159562502,410.7735084998076,1144.0105872879453,2477.5221771688293,0,0.0,1300,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.015446357999735483,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8XS_N100_POWMT_seed008_MT,secondary,POWMT,"X-PW-MATCHED-TEMPLATE (secondary diagnostic, common-template PoW)",100,3687042657521687600,8,MT,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,9,9,9,3.24,233999999999999998189,155499774910901400577,78500225089098597612,0.3354710473893103,4294967296,0.9999999999816455,24,1000000.0,0.0,0.0,1106.1668138119323,791.0469353553281,1090.5714430511757,2983.7825878170324,0,0.0,1400,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.012612626000191085,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8XS_N100_POWMT_seed009_MT,secondary,POWMT,"X-PW-MATCHED-TEMPLATE (secondary diagnostic, common-template PoW)",100,5165136745342788261,9,MT,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,9,9,9,3.24,234000000000000002550,155146164647828436974,78853835352171565576,0.33698220235970755,4294967296,0.9999999999816455,23,1000000.0,0.0,0.0,1060.2177485280636,297.25359021976874,1221.2497365235972,3049.8060371080605,0,0.0,1300,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.01186566100022901,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
8XS_N100_POWMT_seed010_MT,secondary,POWMT,"X-PW-MATCHED-TEMPLATE (secondary diagnostic, common-template PoW)",100,3156971904625785319,10,MT,234.0,23400.0,3510.0,351000.0,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,10000.0,600.0,14040000000000000000,140400000000000000,15,15,15,5.4,234000000000000000232,159132144178687894771,74867855821312105461,0.31994810180047906,4294967296,0.9999999999816455,27,1000000.0,0.0,0.0,621.9223110682952,427.3357938234103,537.1689652341804,1457.7370480870864,0,0.0,1100,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3510000000.0,3510000000.0,975.0,0.014773050000258081,2d3c243b36e904ca04bf391b0a4adc73c8cbe273,b871c98ea1c612cdbd5a2223ff017610d908ae78fe08d509113f86983218cebf
