N,protocol,protocol_label,runs,W_total_mean,W_total_sd,W_unique_mean,W_duplicate_mean,duplicate_ratio_mean,duplicate_ratio_max,distinct_nonce_values_mean,nonce_value_reuse_ratio_mean,active_miner_seconds_mean,W_per_active_miner_second
100,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",30,2.34e+20,99984.53198991022,2.34e+20,0.0,0.0,0.0,4294967296.0,0.9999999999816457,1000000.0,234000000000000.0
100,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),30,2.3352034841582325e+20,1.0160580197379978e+17,2.3352034841582325e+20,0.0,0.0,0.0,4294967296.0,0.9999999999816077,997950.2069052274,234000000000000.03
200,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",30,4.68e+20,199969.06397982044,4.68e+20,0.0,0.0,0.0,4294967296.0,0.9999999999908229,2000000.0,234000000000000.0
200,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),30,4.669853366963285e+20,2.0991090575385827e+17,4.669853366963285e+20,0.0,0.0,0.0,4294967296.0,0.9999999999908028,1995663.8320355914,234000000000000.03
300,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",30,7.02e+20,133312.7093198803,7.02e+20,0.0,0.0,0.0,4294967296.0,0.9999999999938819,3000000.0,234000000000000.0
300,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),30,7.002911652886875e+20,3.500837951864863e+17,7.002911652886875e+20,0.0,0.0,0.0,4294967296.0,0.9999999999938668,2992697.287558494,233999999999999.94
400,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",30,9.36e+20,399938.1279596409,9.36e+20,0.0,0.0,0.0,4294967296.0,0.999999999995411,4000000.0,234000000000000.0
400,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),30,9.33827816460971e+20,5.545303599794201e+17,9.33827816460971e+20,0.0,0.0,0.0,4294967296.0,0.9999999999954007,3990717.1643631244,233999999999999.97
500,POW,"X-PW (traditional competitive PoW, per-miner distinct templates)",30,1.17e+21,133312.7093198803,1.17e+21,0.0,0.0,0.0,4294967296.0,0.9999999999963293,5000000.0,234000000000000.0
500,POCOL,X-PC (PoCol static disjoint allocation + post-range low power),30,1.1669948760907341e+21,7.610429982824218e+17,1.1669948760907341e+21,0.0,0.0,0.0,4294967296.0,0.9999999999963197,4987157.590131341,234000000000000.06
