N,alpha_case,alpha,alpha_note,P_low_W_per_miner,pairs,PoW_energy_kWh_mean,PoCol_energy_kWh_mean,PoCol_active_energy_kWh_mean,PoCol_low_power_energy_kWh_mean,paired_energy_difference_kWh_mean,energy_saving_fraction_mean,energy_saving_fraction_median,energy_saving_fraction_sd,energy_saving_ci95_low,energy_saving_ci95_high,energy_saving_pct_mean,PoW_energy_per_block_kWh_mean,PoCol_energy_per_block_kWh_mean,low_power_fraction_mean
100,LP0,0.0,idealized lower bound (0 W); not a vendor-certified mode,0.0,30,975.0,973.0014517325967,973.0014517325967,0.0,-1.9985482674032027,0.002049793094772467,0.0019713894668692998,0.0004342128289479011,0.0018876553597842257,0.0022119308297607085,0.2049793094772467,65.86996178784946,66.19190834217085,0.0020497930947724033
100,LP10,0.1,10% of active power; not a vendor-certified mode,351.0,30,975.0,973.201306559337,973.0014517325967,0.1998548267403136,-1.7986934406628998,0.0018448137852952232,0.0017742505201824499,0.00039079154605311573,0.0016988898238058043,0.001990737746784642,0.18448137852952232,65.86996178784946,66.20594707529904,0.0020497930947724033
100,LP25,0.25,25% of active power; not a vendor-certified mode,877.5,30,975.0,973.5010887994474,973.0014517325967,0.499637066850784,-1.498911200552421,0.0015373448210793533,0.00147854210015205,0.0003256596217109558,0.001415741519838161,0.0016589481223205456,0.15373448210793533,65.86996178784946,66.22700517499132,0.0020497930947724033
100,LP50,0.5,50% of active power; not a vendor-certified mode,1755.0,30,975.0,974.0007258662985,973.0014517325967,0.9992741337015681,-0.9992741337016279,0.0010248965473862366,0.0009856947334348,0.00021710641447398687,0.0009438276798921023,0.001105965414880371,0.10248965473862366,65.86996178784946,66.2621020078118,0.0020497930947724033
200,LP0,0.0,idealized lower bound (0 W); not a vendor-certified mode,0.0,30,1950.0,1945.7722362347017,1945.7722362347017,0.0,-4.227763765298286,0.00216808398220421,0.0021232005999978,0.0004485275763972704,0.0020006010326722315,0.002335566931736188,0.21680839822042097,130.24418507955156,130.08456305061992,0.002168083982204164
200,LP10,0.1,10% of active power; not a vendor-certified mode,351.0,30,1950.0,1946.1950126112313,1945.7722362347017,0.4227763765298229,-3.8049873887684575,0.0019512755839837834,0.001910880539998,0.00040367481875757245,0.001800540929404992,0.0021020102385625747,0.19512755839837834,130.24418507955156,130.1145945175823,0.002168083982204164
200,LP25,0.25,25% of active power; not a vendor-certified mode,877.5,30,1950.0,1946.8291771760264,1945.7722362347017,1.0569409413245576,-3.170822823973731,0.0016260629866531467,0.0015924004499983,0.0003363956822980048,0.0015004507745041435,0.00175167519880215,0.16260629866531467,130.24418507955156,130.15964171802597,0.002168083982204164
200,LP50,0.5,50% of active power; not a vendor-certified mode,1755.0,30,1950.0,1947.8861181173509,1945.7722362347017,2.1138818826491153,-2.113881882649154,0.00108404199110208,0.00106160029999875,0.00022426378819871473,0.0010003005163360611,0.0011677834658680988,0.108404199110208,130.24418507955156,130.23472038543204,0.002168083982204164
300,LP0,0.0,idealized lower bound (0 W); not a vendor-certified mode,0.0,30,2925.0,2917.879855369531,2917.879855369531,0.0,-7.120144630468591,0.0024342374805020337,0.00236974541511695,0.0004986948649379806,0.00224802175756444,0.0026204532034396276,0.24342374805020336,208.86021969376478,209.0498776374451,0.0024342374805022137
300,LP10,0.1,10% of active power; not a vendor-certified mode,351.0,30,2925.0,2918.591869832579,2917.879855369531,0.712014463046914,-6.408130167421602,0.002190813732451753,0.0021327708736052498,0.00044882537844417744,0.0020232195818079206,0.0023584078830955857,0.21908137324517532,208.86021969376478,209.10375204635204,0.0024342374805022137
