tag,arm,N,seed,k_active,epochs_completed,exhaustions,unique_per_epoch,epoch_seconds
primary,E50-CONV100,100,7695027954463196593,100,54482370000,54482370000,4294967344.482261,1.8354561301206243e-07
primary,E50-MT100,100,7695027954463196593,100,544823706,54482370600,4294967306.980093,1.8354561099072293e-05
primary,E50-PC10,100,7695027954463196593,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,7695027954463196593,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
primary,E50-PC30,100,7695027954463196593,30,54482370563,1634471116890,1288490188.829913,1.835456111153722e-07
primary,E50-PC40,100,7695027954463196593,40,54482370562,2179294822480,1717986918.4714167,1.835456111187411e-07
primary,E50-PC50,100,7695027954463196593,50,54482370561,2724118528050,2147483648.128687,1.8354561112211e-07
primary,E50-PC60,100,7695027954463196593,60,54482370560,3268942233600,2576980377.801724,1.835456111254789e-07
primary,E50-PC80,100,7695027954463196593,80,54482370559,4358589644720,3435973837.132031,1.835456111288478e-07
primary,E50-PC100,100,7695027954463196593,100,54482370559,5448237055900,4294967296.415038,1.835456111288478e-07
primary,E50-CONV100,100,8525591707662220640,100,54482369500,54482369500,4294967383.898382,1.8354561469651204e-07
primary,E50-MT100,100,8525591707662220640,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,8525591707662220640,10,54482370563,544823705630,429496729.6099709,1.835456111153722e-07
primary,E50-PC20,100,8525591707662220640,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
primary,E50-PC30,100,8525591707662220640,30,54482370561,1634471116830,1288490188.8772123,1.8354561112211e-07
primary,E50-PC40,100,8525591707662220640,40,54482370560,2179294822400,1717986918.5344825,1.835456111254789e-07
primary,E50-PC50,100,8525591707662220640,50,54482370558,2724118527900,2147483648.2469354,1.835456111322167e-07
primary,E50-PC60,100,8525591707662220640,60,54482370557,3268942233420,2576980377.9436216,1.8354561113558558e-07
primary,E50-PC80,100,8525591707662220640,80,54482370556,4358589644480,3435973837.321228,1.835456111389545e-07
primary,E50-PC100,100,8525591707662220640,100,54482370557,5448237055700,4294967296.572703,1.8354561113558558e-07
primary,E50-CONV100,100,12108552042459345255,100,54482369800,54482369800,4294967360.24871,1.8354561368584228e-07
primary,E50-MT100,100,12108552042459345255,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,12108552042459345255,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,12108552042459345255,20,54482370562,1089647411240,858993459.2357084,1.835456111187411e-07
primary,E50-PC30,100,12108552042459345255,30,54482370563,1634471116890,1288490188.829913,1.835456111153722e-07
primary,E50-PC40,100,12108552042459345255,40,54482370561,2179294822440,1717986918.5029495,1.8354561112211e-07
primary,E50-PC50,100,12108552042459345255,50,54482370560,2724118528000,2147483648.168103,1.835456111254789e-07
primary,E50-PC60,100,12108552042459345255,60,54482370559,3268942233540,2576980377.849023,1.835456111288478e-07
primary,E50-PC80,100,12108552042459345255,80,54482370556,4358589644480,3435973837.321228,1.835456111389545e-07
primary,E50-PC100,100,12108552042459345255,100,54482370556,5448237055600,4294967296.651535,1.835456111389545e-07
primary,E50-CONV100,100,16218162384852915827,100,54482369500,54482369500,4294967383.898382,1.8354561469651204e-07
primary,E50-MT100,100,16218162384852915827,100,544823706,54482370600,4294967305.539445,1.8354561099072293e-05
primary,E50-PC10,100,16218162384852915827,10,54482370562,544823705620,429496729.6178542,1.835456111187411e-07
primary,E50-PC20,100,16218162384852915827,20,54482370560,1089647411200,858993459.2672412,1.835456111254789e-07
primary,E50-PC30,100,16218162384852915827,30,54482370559,1634471116770,1288490188.9245114,1.835456111288478e-07
primary,E50-PC40,100,16218162384852915827,40,54482370558,2179294822320,1717986918.5975482,1.835456111322167e-07
