tag,arm,N,seed,k_active,C_total,U_exact,R_exact,rho_exact
primary,E50-CONV100,100,7695027954463196593,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,7695027954463196593,100,234000000000000000000,2340000005337733807,231659999994662266193,0.9899999999771891
primary,E50-PC10,100,7695027954463196593,10,23399999978207051780,23399999978207051780,0,0.0
primary,E50-PC20,100,7695027954463196593,20,46799999956414103552,46799999956414103552,0,0.0
primary,E50-PC30,100,7695027954463196593,30,70199999934621155327,70199999934621155327,0,0.0
primary,E50-PC40,100,7695027954463196593,40,93599999912828207104,93599999912828207104,0,0.0
primary,E50-PC50,100,7695027954463196593,50,116999999891035258878,116999999891035258878,0,0.0
primary,E50-PC60,100,7695027954463196593,60,140399999869242310662,140399999869242310662,0,0.0
primary,E50-PC80,100,7695027954463196593,80,187199999825656414214,187199999825656414214,0,0.0
primary,E50-PC100,100,7695027954463196593,100,233999999782070517764,233999999782070517764,0,0.0
primary,E50-CONV100,100,8525591707662220640,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,8525591707662220640,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,8525591707662220640,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,8525591707662220640,20,46799999956414103551,46799999956414103551,0,0.0
primary,E50-PC30,100,8525591707662220640,30,70199999934621155328,70199999934621155328,0,0.0
primary,E50-PC40,100,8525591707662220640,40,93599999912828207107,93599999912828207107,0,0.0
primary,E50-PC50,100,8525591707662220640,50,116999999891035258884,116999999891035258884,0,0.0
primary,E50-PC60,100,8525591707662220640,60,140399999869242310666,140399999869242310666,0,0.0
primary,E50-PC80,100,8525591707662220640,80,187199999825656414223,187199999825656414223,0,0.0
primary,E50-PC100,100,8525591707662220640,100,233999999782070517772,233999999782070517772,0,0.0
primary,E50-CONV100,100,12108552042459345255,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,12108552042459345255,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,12108552042459345255,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,12108552042459345255,20,46799999956414103552,46799999956414103552,0,0.0
