tag,arm,N,seed,k_active,duty_min,duty_max,duty_sd,jain_index,duty_max_min_ratio,transitions_total,active_episode_s,low_episode_s
primary,E50-CONV100,100,7695027954463196593,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,100,7695027954463196593,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,100,7695027954463196593,10,0.09999999767169357,0.1,4.5625301874864615e-10,0.9999999999999958,1.0000000232830648,108964741128,1.8354561111111112e-06,1.6519105e-05
primary,E50-PC20,100,7695027954463196593,20,0.19999999534338714,0.2,9.125060374972923e-10,0.9999999999999958,1.0000000232830648,108964741126,3.6709122222222224e-06,1.468364888888889e-05
primary,E50-PC30,100,7695027954463196593,30,0.2999999930150807,0.3,1.3687590562459085e-09,1.0000000000000042,1.0000000232830648,108964741126,5.5063683333333334e-06,1.2848192777777778e-05
primary,E50-PC40,100,7695027954463196593,40,0.3999999906867743,0.4,1.8250120749945846e-09,0.9999999999999958,1.0000000232830648,108964741124,7.341824444444445e-06,1.1012736666666667e-05
primary,E50-PC50,100,7695027954463196593,50,0.4999999883584678,0.5,2.2812650937430355e-09,1.0,1.0000000232830648,108964741122,9.177280555555555e-06,9.177280555555555e-06
primary,E50-PC60,100,7695027954463196593,60,0.5999999860301614,0.6,2.737518112491817e-09,1.0000000000000042,1.0000000232830648,108964741120,1.1012736666666667e-05,7.341824444444445e-06
primary,E50-PC80,100,7695027954463196593,80,0.7999999813735486,0.8,3.650024149989169e-09,0.9999999999999958,1.0000000232830648,108964741118,1.468364888888889e-05,3.6709122222222224e-06
primary,E50-PC100,100,7695027954463196593,100,0.9999999767169356,1.0,4.562530187486071e-09,1.0,1.0000000232830648,108964741118,1.835456111111111e-05,0.0
primary,E50-CONV100,100,8525591707662220640,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,100,8525591707662220640,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,100,8525591707662220640,10,0.09999999767169357,0.1,4.5625301874864615e-10,0.9999999999999958,1.0000000232830648,108964741126,1.8354561111111112e-06,1.6519105e-05
primary,E50-PC20,100,8525591707662220640,20,0.19999999534338714,0.2,9.125060374972923e-10,0.9999999999999958,1.0000000232830648,108964741126,3.6709122222222224e-06,1.468364888888889e-05
primary,E50-PC30,100,8525591707662220640,30,0.2999999930150807,0.3,1.3687590562459085e-09,1.0000000000000042,1.0000000232830648,108964741122,5.5063683333333334e-06,1.2848192777777778e-05
primary,E50-PC40,100,8525591707662220640,40,0.3999999906867743,0.4,1.8250120749945846e-09,0.9999999999999958,1.0000000232830648,108964741120,7.341824444444445e-06,1.1012736666666667e-05
primary,E50-PC50,100,8525591707662220640,50,0.4999999883584678,0.5,2.2812650937430355e-09,1.0,1.0000000232830648,108964741116,9.177280555555555e-06,9.177280555555555e-06
primary,E50-PC60,100,8525591707662220640,60,0.5999999860301614,0.6,2.737518112491817e-09,1.0000000000000042,1.0000000232830648,108964741114,1.1012736666666667e-05,7.341824444444445e-06
primary,E50-PC80,100,8525591707662220640,80,0.7999999813735486,0.8,3.650024149989169e-09,0.9999999999999958,1.0000000232830648,108964741111,1.468364888888889e-05,3.6709122222222224e-06
primary,E50-PC100,100,8525591707662220640,100,0.9999999767169356,1.0,4.562530187486071e-09,1.0,1.0000000232830648,108964741114,1.835456111111111e-05,0.0
primary,E50-CONV100,100,12108552042459345255,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,100,12108552042459345255,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,100,12108552042459345255,10,0.09999999767169357,0.1,4.5625301874864615e-10,0.9999999999999958,1.0000000232830648,108964741128,1.8354561111111112e-06,1.6519105e-05
primary,E50-PC20,100,12108552042459345255,20,0.19999999534338714,0.2,9.125060374972923e-10,0.9999999999999958,1.0000000232830648,108964741124,3.6709122222222224e-06,1.468364888888889e-05
primary,E50-PC30,100,12108552042459345255,30,0.2999999930150807,0.3,1.3687590562459085e-09,1.0000000000000042,1.0000000232830648,108964741126,5.5063683333333334e-06,1.2848192777777778e-05
primary,E50-PC40,100,12108552042459345255,40,0.3999999906867743,0.4,1.8250120749945846e-09,0.9999999999999958,1.0000000232830648,108964741122,7.341824444444445e-06,1.1012736666666667e-05
primary,E50-PC50,100,12108552042459345255,50,0.4999999883584678,0.5,2.2812650937430355e-09,1.0,1.0000000232830648,108964741120,9.177280555555555e-06,9.177280555555555e-06
primary,E50-PC60,100,12108552042459345255,60,0.5999999860301614,0.6,2.737518112491817e-09,1.0000000000000042,1.0000000232830648,108964741118,1.1012736666666667e-05,7.341824444444445e-06
primary,E50-PC80,100,12108552042459345255,80,0.7999999813735486,0.8,3.650024149989169e-09,0.9999999999999958,1.0000000232830648,108964741111,1.468364888888889e-05,3.6709122222222224e-06
primary,E50-PC100,100,12108552042459345255,100,0.9999999767169356,1.0,4.562530187486071e-09,1.0,1.0000000232830648,108964741111,1.835456111111111e-05,0.0
primary,E50-CONV100,100,16218162384852915827,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,100,16218162384852915827,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,100,16218162384852915827,10,0.09999999767169357,0.1,4.5625301874864615e-10,0.9999999999999958,1.0000000232830648,108964741124,1.8354561111111112e-06,1.6519105e-05
primary,E50-PC20,100,16218162384852915827,20,0.19999999534338714,0.2,9.125060374972923e-10,0.9999999999999958,1.0000000232830648,108964741120,3.6709122222222224e-06,1.468364888888889e-05
primary,E50-PC30,100,16218162384852915827,30,0.2999999930150807,0.3,1.3687590562459085e-09,1.0000000000000042,1.0000000232830648,108964741118,5.5063683333333334e-06,1.2848192777777778e-05
primary,E50-PC40,100,16218162384852915827,40,0.3999999906867743,0.4,1.8250120749945846e-09,0.9999999999999958,1.0000000232830648,108964741116,7.341824444444445e-06,1.1012736666666667e-05
primary,E50-PC50,100,16218162384852915827,50,0.4999999883584678,0.5,2.2812650937430355e-09,1.0,1.0000000232830648,108964741114,9.177280555555555e-06,9.177280555555555e-06
primary,E50-PC60,100,16218162384852915827,60,0.5999999860301614,0.6,2.737518112491817e-09,1.0000000000000042,1.0000000232830648,108964741109,1.1012736666666667e-05,7.341824444444445e-06
primary,E50-PC80,100,16218162384852915827,80,0.7999999813735486,0.8,3.650024149989169e-09,0.9999999999999958,1.0000000232830648,108964741106,1.468364888888889e-05,3.6709122222222224e-06
primary,E50-PC100,100,16218162384852915827,100,0.9999999767169356,1.0,4.562530187486071e-09,1.0,1.0000000232830648,108964741096,1.835456111111111e-05,0.0
primary,E50-CONV100,100,3678478102310266571,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,100,3678478102310266571,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,100,3678478102310266571,10,0.09999999767169357,0.1,4.5625301874864615e-10,0.9999999999999958,1.0000000232830648,108964741126,1.8354561111111112e-06,1.6519105e-05
primary,E50-PC20,100,3678478102310266571,20,0.19999999534338714,0.2,9.125060374972923e-10,0.9999999999999958,1.0000000232830648,108964741126,3.6709122222222224e-06,1.468364888888889e-05
primary,E50-PC30,100,3678478102310266571,30,0.2999999930150807,0.3,1.3687590562459085e-09,1.0000000000000042,1.0000000232830648,108964741120,5.5063683333333334e-06,1.2848192777777778e-05
primary,E50-PC40,100,3678478102310266571,40,0.3999999906867743,0.4,1.8250120749945846e-09,0.9999999999999958,1.0000000232830648,108964741118,7.341824444444445e-06,1.1012736666666667e-05
primary,E50-PC50,100,3678478102310266571,50,0.4999999883584678,0.5,2.2812650937430355e-09,1.0,1.0000000232830648,108964741114,9.177280555555555e-06,9.177280555555555e-06
primary,E50-PC60,100,3678478102310266571,60,0.5999999860301614,0.6,2.737518112491817e-09,1.0000000000000042,1.0000000232830648,108964741114,1.1012736666666667e-05,7.341824444444445e-06
primary,E50-PC80,100,3678478102310266571,80,0.7999999813735486,0.8,3.650024149989169e-09,0.9999999999999958,1.0000000232830648,108964741109,1.468364888888889e-05,3.6709122222222224e-06
primary,E50-PC100,100,3678478102310266571,100,0.9999999767169356,1.0,4.562530187486071e-09,1.0,1.0000000232830648,108964741104,1.835456111111111e-05,0.0
primary,E50-CONV100,100,876786005621288851,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,100,876786005621288851,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,100,876786005621288851,10,0.09999999767169357,0.1,4.5625301874864615e-10,0.9999999999999958,1.0000000232830648,108964741126,1.8354561111111112e-06,1.6519105e-05
primary,E50-PC20,100,876786005621288851,20,0.19999999534338714,0.2,9.125060374972923e-10,0.9999999999999958,1.0000000232830648,108964741122,3.6709122222222224e-06,1.468364888888889e-05
primary,E50-PC30,100,876786005621288851,30,0.2999999930150807,0.3,1.3687590562459085e-09,1.0000000000000042,1.0000000232830648,108964741122,5.5063683333333334e-06,1.2848192777777778e-05
primary,E50-PC40,100,876786005621288851,40,0.3999999906867743,0.4,1.8250120749945846e-09,0.9999999999999958,1.0000000232830648,108964741122,7.341824444444445e-06,1.1012736666666667e-05
primary,E50-PC50,100,876786005621288851,50,0.4999999883584678,0.5,2.2812650937430355e-09,1.0,1.0000000232830648,108964741118,9.177280555555555e-06,9.177280555555555e-06
primary,E50-PC60,100,876786005621288851,60,0.5999999860301614,0.6,2.737518112491817e-09,1.0000000000000042,1.0000000232830648,108964741116,1.1012736666666667e-05,7.341824444444445e-06
primary,E50-PC80,100,876786005621288851,80,0.7999999813735486,0.8,3.650024149989169e-09,0.9999999999999958,1.0000000232830648,108964741109,1.468364888888889e-05,3.6709122222222224e-06
primary,E50-PC100,100,876786005621288851,100,0.9999999767169356,1.0,4.562530187486071e-09,1.0,1.0000000232830648,108964741104,1.835456111111111e-05,0.0
primary,E50-CONV100,100,5865549906742908637,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,100,5865549906742908637,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-PC10,100,5865549906742908637,10,0.09999999767169357,0.1,4.5625301874864615e-10,0.9999999999999958,1.0000000232830648,108964741128,1.8354561111111112e-06,1.6519105e-05
primary,E50-PC20,100,5865549906742908637,20,0.19999999534338714,0.2,9.125060374972923e-10,0.9999999999999958,1.0000000232830648,108964741124,3.6709122222222224e-06,1.468364888888889e-05
primary,E50-PC30,100,5865549906742908637,30,0.2999999930150807,0.3,1.3687590562459085e-09,1.0000000000000042,1.0000000232830648,108964741122,5.5063683333333334e-06,1.2848192777777778e-05
primary,E50-PC40,100,5865549906742908637,40,0.3999999906867743,0.4,1.8250120749945846e-09,0.9999999999999958,1.0000000232830648,108964741120,7.341824444444445e-06,1.1012736666666667e-05
primary,E50-PC50,100,5865549906742908637,50,0.4999999883584678,0.5,2.2812650937430355e-09,1.0,1.0000000232830648,108964741120,9.177280555555555e-06,9.177280555555555e-06
primary,E50-PC60,100,5865549906742908637,60,0.5999999860301614,0.6,2.737518112491817e-09,1.0000000000000042,1.0000000232830648,108964741118,1.1012736666666667e-05,7.341824444444445e-06
primary,E50-PC80,100,5865549906742908637,80,0.7999999813735486,0.8,3.650024149989169e-09,0.9999999999999958,1.0000000232830648,108964741118,1.468364888888889e-05,3.6709122222222224e-06
primary,E50-PC100,100,5865549906742908637,100,0.9999999767169356,1.0,4.562530187486071e-09,1.0,1.0000000232830648,108964741106,1.835456111111111e-05,0.0
primary,E50-CONV100,100,15633523601349685045,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
primary,E50-MT100,100,15633523601349685045,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
