tag,arm,N,seed,k_active,coverage_retention,block_ratio,median_latency_ratio,saving_LP0,saving_LP10,saving_LP25,saving_LP50
primary,E50-CONV100,100,7695027954463196593,100,99.99999977189172,11.0,0.06262796805499664,0.0,0.0,0.0,0.0
primary,E50-PC10,100,7695027954463196593,10,9.999999967875945,1.0,0.10000000009667483,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
primary,E50-PC20,100,7695027954463196593,20,19.99999993575189,2.0,0.42600556264423595,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
primary,E50-PC30,100,7695027954463196593,30,29.999999903627838,2.0,0.2840037084298456,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
primary,E50-PC40,100,7695027954463196593,40,39.99999987150378,4.0,0.2629080822643004,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
primary,E50-PC50,100,7695027954463196593,50,49.99999983937973,5.0,0.09984848155049816,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
primary,E50-PC60,100,7695027954463196593,60,59.999999807255676,6.0,0.13777565156739197,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
primary,E50-PC80,100,7695027954463196593,80,79.99999974300756,9.0,0.06240530097661807,0.20000000074505808,0.18000000067055233,0.15000000055879348,0.1000000003725291
primary,E50-PC100,100,7695027954463196593,100,99.99999967875947,11.0,0.06262796811741135,9.313225746154785e-10,8.381902949494702e-10,6.984920419839113e-10,4.656612873077393e-10
primary,E50-CONV100,100,8525591707662220640,100,99.9999998439963,NA,NA,0.0,0.0,0.0,0.0
primary,E50-PC10,100,8525591707662220640,10,9.999999975086405,NA,NA,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
primary,E50-PC20,100,8525591707662220640,20,19.99999995017281,NA,NA,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
primary,E50-PC30,100,8525591707662220640,30,29.999999925259218,NA,NA,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
primary,E50-PC40,100,8525591707662220640,40,39.99999990034562,NA,NA,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
primary,E50-PC50,100,8525591707662220640,50,49.99999987543203,NA,NA,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
primary,E50-PC60,100,8525591707662220640,60,59.999999850518435,NA,NA,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
