tag,arm,N,seed,k_active,epochs_completed,exhaustions,unique_per_epoch,epoch_seconds
pilot,E50-CONV100,100,6918711742289843946,100,54482369800,54482369800,4294967360.24871,1.8354561368584228e-07
pilot,E50-MT100,100,6918711742289843946,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
pilot,E50-PC10,100,6918711742289843946,10,54482370563,544823705630,429496729.6099709,1.835456111153722e-07
pilot,E50-PC20,100,6918711742289843946,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
pilot,E50-PC30,100,6918711742289843946,30,54482370562,1634471116860,1288490188.8535626,1.835456111187411e-07
pilot,E50-PC40,100,6918711742289843946,40,54482370562,2179294822480,1717986918.4714167,1.835456111187411e-07
pilot,E50-PC50,100,6918711742289843946,50,54482370562,2724118528100,2147483648.089271,1.835456111187411e-07
pilot,E50-PC60,100,6918711742289843946,60,54482370561,3268942233660,2576980377.7544246,1.8354561112211e-07
pilot,E50-PC80,100,6918711742289843946,80,54482370559,4358589644720,3435973837.132031,1.835456111288478e-07
pilot,E50-PC100,100,6918711742289843946,100,54482370556,5448237055600,4294967296.651535,1.835456111389545e-07
pilot,E50-CONV100,100,9878713980055163606,100,54482370400,54482370400,4294967312.949365,1.8354561166450276e-07
pilot,E50-MT100,100,9878713980055163606,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
pilot,E50-PC10,100,9878713980055163606,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
pilot,E50-PC20,100,9878713980055163606,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
pilot,E50-PC30,100,9878713980055163606,30,54482370562,1634471116860,1288490188.8535626,1.835456111187411e-07
pilot,E50-PC40,100,9878713980055163606,40,54482370562,2179294822480,1717986918.4714167,1.835456111187411e-07
pilot,E50-PC50,100,9878713980055163606,50,54482370562,2724118528100,2147483648.089271,1.835456111187411e-07
pilot,E50-PC60,100,9878713980055163606,60,54482370561,3268942233660,2576980377.7544246,1.8354561112211e-07
pilot,E50-PC80,100,9878713980055163606,80,54482370561,4358589644880,3435973837.005899,1.8354561112211e-07
pilot,E50-PC100,100,9878713980055163606,100,54482370561,5448237056100,4294967296.257374,1.8354561112211e-07
pilot,E50-CONV100,300,6918711742289843946,300,163447109400,163447109400,4294967360.24871,6.118187122861409e-08
pilot,E50-MT100,300,6918711742289843946,300,544823706,163447111800,4294967303.883224,1.8354561099072293e-05
pilot,E50-PC10,300,6918711742289843946,30,163447107886,4903413236580,429496729.6032714,6.118187179533782e-08
