tag,arm,N,seed,k_active,C_total,U_exact,R_exact,rho_exact
pilot,E50-CONV100,100,6918711742289843946,100,234000000000000000000,234000000000000000000,0,0.0
pilot,E50-MT100,100,6918711742289843946,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
pilot,E50-PC10,100,6918711742289843946,10,23399999978207051779,23399999978207051779,0,0.0
pilot,E50-PC20,100,6918711742289843946,20,46799999956414103552,46799999956414103552,0,0.0
pilot,E50-PC30,100,6918711742289843946,30,70199999934621155327,70199999934621155327,0,0.0
pilot,E50-PC40,100,6918711742289843946,40,93599999912828207104,93599999912828207104,0,0.0
pilot,E50-PC50,100,6918711742289843946,50,116999999891035258876,116999999891035258876,0,0.0
pilot,E50-PC60,100,6918711742289843946,60,140399999869242310659,140399999869242310659,0,0.0
pilot,E50-PC80,100,6918711742289843946,80,187199999825656414214,187199999825656414214,0,0.0
pilot,E50-PC100,100,6918711742289843946,100,233999999782070517776,233999999782070517776,0,0.0
pilot,E50-CONV100,100,9878713980055163606,100,234000000000000000000,234000000000000000000,0,0.0
pilot,E50-MT100,100,9878713980055163606,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
pilot,E50-PC10,100,9878713980055163606,10,23399999978207051779,23399999978207051779,0,0.0
pilot,E50-PC20,100,9878713980055163606,20,46799999956414103552,46799999956414103552,0,0.0
pilot,E50-PC30,100,9878713980055163606,30,70199999934621155327,70199999934621155327,0,0.0
pilot,E50-PC40,100,9878713980055163606,40,93599999912828207104,93599999912828207104,0,0.0
pilot,E50-PC50,100,9878713980055163606,50,116999999891035258876,116999999891035258876,0,0.0
pilot,E50-PC60,100,9878713980055163606,60,140399999869242310660,140399999869242310660,0,0.0
pilot,E50-PC80,100,9878713980055163606,80,187199999825656414207,187199999825656414207,0,0.0
pilot,E50-PC100,100,9878713980055163606,100,233999999782070517756,233999999782070517756,0,0.0
pilot,E50-CONV100,300,6918711742289843946,300,702000000000000000000,702000000000000000000,0,0.0
pilot,E50-MT100,300,6918711742289843946,300,702000000000000000000,2340000003650486272,699659999996349513728,0.9966666666614665
pilot,E50-PC10,300,6918711742289843946,30,70199998300150077986,70199998300150077986,0,0.0
pilot,E50-PC20,300,6918711742289843946,60,140399996600300155972,140399996600300155972,0,0.0
pilot,E50-PC30,300,6918711742289843946,90,210599994900450233991,210599994900450233991,0,0.0
