tag,arm,N,seed,k_active,duty_min,duty_max,duty_sd,jain_index,duty_max_min_ratio,transitions_total,active_episode_s,low_episode_s
pilot,E50-CONV100,100,6918711742289843946,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-MT100,100,6918711742289843946,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-PC10,100,6918711742289843946,10,0.09999999767169357,0.1,4.5625301874864615e-10,0.9999999999999958,1.0000000232830648,108964741126,1.8354561111111112e-06,1.6519105e-05
pilot,E50-PC20,100,6918711742289843946,20,0.19999999534338714,0.2,9.125060374972923e-10,0.9999999999999958,1.0000000232830648,108964741126,3.6709122222222224e-06,1.468364888888889e-05
pilot,E50-PC30,100,6918711742289843946,30,0.2999999930150807,0.3,1.3687590562459085e-09,1.0000000000000042,1.0000000232830648,108964741124,5.5063683333333334e-06,1.2848192777777778e-05
pilot,E50-PC40,100,6918711742289843946,40,0.3999999906867743,0.4,1.8250120749945846e-09,0.9999999999999958,1.0000000232830648,108964741124,7.341824444444445e-06,1.1012736666666667e-05
pilot,E50-PC50,100,6918711742289843946,50,0.4999999883584678,0.5,2.2812650937430355e-09,1.0,1.0000000232830648,108964741124,9.177280555555555e-06,9.177280555555555e-06
pilot,E50-PC60,100,6918711742289843946,60,0.5999999860301614,0.6,2.737518112491817e-09,1.0000000000000042,1.0000000232830648,108964741122,1.1012736666666667e-05,7.341824444444445e-06
pilot,E50-PC80,100,6918711742289843946,80,0.7999999813735486,0.8,3.650024149989169e-09,0.9999999999999958,1.0000000232830648,108964741118,1.468364888888889e-05,3.6709122222222224e-06
pilot,E50-PC100,100,6918711742289843946,100,0.9999999767169356,1.0,4.562530187486071e-09,1.0,1.0000000232830648,108964741111,1.835456111111111e-05,0.0
pilot,E50-CONV100,100,9878713980055163606,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-MT100,100,9878713980055163606,100,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-PC10,100,9878713980055163606,10,0.09999999767169357,0.1,4.5625301874864615e-10,0.9999999999999958,1.0000000232830648,108964741128,1.8354561111111112e-06,1.6519105e-05
pilot,E50-PC20,100,9878713980055163606,20,0.19999999534338714,0.2,9.125060374972923e-10,0.9999999999999958,1.0000000232830648,108964741126,3.6709122222222224e-06,1.468364888888889e-05
pilot,E50-PC30,100,9878713980055163606,30,0.2999999930150807,0.3,1.3687590562459085e-09,1.0000000000000042,1.0000000232830648,108964741124,5.5063683333333334e-06,1.2848192777777778e-05
pilot,E50-PC40,100,9878713980055163606,40,0.3999999906867743,0.4,1.8250120749945846e-09,0.9999999999999958,1.0000000232830648,108964741124,7.341824444444445e-06,1.1012736666666667e-05
pilot,E50-PC50,100,9878713980055163606,50,0.4999999883584678,0.5,2.2812650937430355e-09,1.0,1.0000000232830648,108964741124,9.177280555555555e-06,9.177280555555555e-06
pilot,E50-PC60,100,9878713980055163606,60,0.5999999860301614,0.6,2.737518112491817e-09,1.0000000000000042,1.0000000232830648,108964741122,1.1012736666666667e-05,7.341824444444445e-06
pilot,E50-PC80,100,9878713980055163606,80,0.7999999813735486,0.8,3.650024149989169e-09,0.9999999999999958,1.0000000232830648,108964741122,1.468364888888889e-05,3.6709122222222224e-06
pilot,E50-PC100,100,9878713980055163606,100,0.9999999767169356,1.0,4.562530187486071e-09,1.0,1.0000000232830648,108964741122,1.835456111111111e-05,0.0
pilot,E50-CONV100,300,6918711742289843946,300,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-MT100,300,6918711742289843946,300,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-PC10,300,6918711742289843946,30,0.09999999301508086,0.1,3.3241823077350183e-09,1.0000000000000124,1.0000000698491962,326894215772,1.8354561538461539e-06,1.6519105384615384e-05
pilot,E50-PC20,300,6918711742289843946,60,0.19999998603016172,0.2,6.648364615470037e-09,1.0000000000000124,1.0000000698491962,326894215772,3.6709123076923077e-06,1.468364923076923e-05
pilot,E50-PC30,300,6918711742289843946,90,0.29999997904524256,0.3,9.972546923205072e-09,0.9999999999999903,1.0000000698491962,326894215770,5.5063684615384616e-06,1.2848193076923076e-05
pilot,E50-PC40,300,6918711742289843946,120,0.39999997206032345,0.4,1.3296729230940073e-08,1.0000000000000124,1.0000000698491962,326894215770,7.341824615384615e-06,1.1012736923076923e-05
pilot,E50-PC50,300,6918711742289843946,150,0.4999999650754043,0.5,1.6620911538674866e-08,0.9999999999999989,1.0000000698491962,326894215770,9.177280769230768e-06,9.177280769230768e-06
pilot,E50-PC60,300,6918711742289843946,180,0.5999999580904851,0.6,1.9945093846410144e-08,0.9999999999999903,1.0000000698491962,326894215766,1.1012736923076923e-05,7.341824615384615e-06
