tag,arm,N,seed,k_active,rounds,accepted_blocks,C_total,U_exact,R_exact,rho_exact,t_active_miner_s,t_low_miner_s,F_low,epochs_completed,exhaustions,state_time_conservation_rel,work_identity_rel
pilot,E50-CONV100,100,6918711742289843946,100,15,14,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369800,54482369800,0.0,0.0
pilot,E50-MT100,100,6918711742289843946,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
pilot,E50-PC10,100,6918711742289843946,10,3,2,23399999978207051779,23399999978207051779,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370563,544823705630,0.0,0.0
pilot,E50-PC20,100,6918711742289843946,20,3,2,46799999956414103552,46799999956414103552,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370563,1089647411260,0.0,0.0
pilot,E50-PC30,100,6918711742289843946,30,4,3,70199999934621155327,70199999934621155327,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370562,1634471116860,0.0,0.0
pilot,E50-PC40,100,6918711742289843946,40,5,4,93599999912828207104,93599999912828207104,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370562,2179294822480,0.0,0.0
pilot,E50-PC50,100,6918711742289843946,50,5,4,116999999891035258876,116999999891035258876,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370562,2724118528100,0.0,0.0
pilot,E50-PC60,100,6918711742289843946,60,7,6,140399999869242310659,140399999869242310659,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370561,3268942233660,0.0,0.0
pilot,E50-PC80,100,6918711742289843946,80,11,10,187199999825656414214,187199999825656414214,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370559,4358589644720,0.0,0.0
pilot,E50-PC100,100,6918711742289843946,100,15,14,233999999782070517776,233999999782070517776,0,0.0,999999.9990686774,0.0009313225736068376,9.313225736068376e-10,54482370556,5448237055600,0.0,0.0
pilot,E50-CONV100,100,9878713980055163606,100,8,7,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482370400,54482370400,0.0,0.0
pilot,E50-MT100,100,9878713980055163606,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
pilot,E50-PC10,100,9878713980055163606,10,1,0,23399999978207051779,23399999978207051779,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370564,544823705640,0.0,0.0
pilot,E50-PC20,100,9878713980055163606,20,2,1,46799999956414103552,46799999956414103552,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370563,1089647411260,0.0,0.0
pilot,E50-PC30,100,9878713980055163606,30,3,2,70199999934621155327,70199999934621155327,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370562,1634471116860,0.0,0.0
pilot,E50-PC40,100,9878713980055163606,40,3,2,93599999912828207104,93599999912828207104,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370562,2179294822480,0.0,0.0
