tag,arm,N,seed,k_active,accepted_blocks,mean_interval_s,median_interval_s,p95_interval_s,stale_blocks
pilot,E50-CONV100,100,6918711742289843946,100,14,702.3264438411824,745.4020024680572,1577.8514071840132,0
pilot,E50-MT100,100,6918711742289843946,100,0,,,,0
pilot,E50-PC10,100,6918711742289843946,10,2,4658.391310874836,4658.391310874836,1815.9721001362977,0
pilot,E50-PC20,100,6918711742289843946,20,2,2329.1956554126627,2329.1956554126627,907.9860500862837,0
pilot,E50-PC30,100,6918711742289843946,30,3,2870.912123839898,2500.270173868923,2500.270173868923,0
pilot,E50-PC40,100,6918711742289843946,40,4,2230.4560526278015,2168.737281132085,2462.271931846393,0
pilot,E50-PC50,100,6918711742289843946,50,4,1784.3648420839163,1734.9898249320097,1969.8175455818573,0
pilot,E50-PC60,100,6918711742289843946,60,6,1495.5394734145998,1445.8248541412718,2629.7523477503755,0
pilot,E50-PC80,100,6918711742289843946,80,10,959.582070825968,973.2123812810019,1972.314260731936,0
pilot,E50-PC100,100,6918711742289843946,100,14,702.3264445103113,745.402003150168,1577.8514087386732,0
pilot,E50-CONV100,100,9878713980055163606,100,7,1197.7702693610684,1365.3183014100398,1516.4727462561389,0
pilot,E50-MT100,100,9878713980055163606,100,0,,,,0
pilot,E50-PC10,100,9878713980055163606,10,0,,,,0
pilot,E50-PC20,100,9878713980055163606,20,1,7308.998911573036,7308.998911573036,7308.998911573036,0
pilot,E50-PC30,100,9878713980055163606,30,2,4471.993047846787,4471.993047846787,4071.3201546049822,0
pilot,E50-PC40,100,9878713980055163606,40,2,3353.9947858557452,3353.9947858557452,3053.490115903026,0
pilot,E50-PC50,100,9878713980055163606,50,3,2975.469867281514,2923.599564718594,2923.599564718594,0
pilot,E50-PC60,100,9878713980055163606,60,5,1983.541662393315,2275.5305044350307,2436.332970496416,0
pilot,E50-PC80,100,9878713980055163606,80,6,1430.8164886740012,1616.6964682003954,1827.2497278563515,0
pilot,E50-PC100,100,9878713980055163606,100,7,1197.7702704819692,1365.3183027326388,1516.4727475478555,0
pilot,E50-CONV100,300,6918711742289843946,300,14,702.3264438411824,745.4020024680572,1577.8514071840134,0
pilot,E50-MT100,300,6918711742289843946,300,0,,,,0
pilot,E50-PC10,300,6918711742289843946,30,2,4658.391419367051,4658.391419367051,1815.9721423565113,0
pilot,E50-PC20,300,6918711742289843946,60,2,2329.195709674066,2329.195709674066,907.9860711657996,0
pilot,E50-PC30,300,6918711742289843946,90,3,2870.9121906835294,2500.2702320828744,2500.2702320828744,0
pilot,E50-PC40,300,6918711742289843946,120,4,2230.4561045749488,2168.7373316881167,2462.271989297992,0
