tag,arm,N,seed,k_active,U_exact,unique_coverage_rate_per_s,coverage_retention_vs_MT100
pilot,E50-CONV100,100,6918711742289843946,100,234000000000000000000,2.34e+16,99.9999998439963
pilot,E50-MT100,100,6918711742289843946,100,2340000003650486272,234000000365048.62,1.0
pilot,E50-PC10,100,6918711742289843946,10,23399999978207051779,2339999997820705.0,9.999999975086405
pilot,E50-PC20,100,6918711742289843946,20,46799999956414103552,4679999995641410.0,19.99999995017281
pilot,E50-PC30,100,6918711742289843946,30,70199999934621155327,7019999993462116.0,29.999999925259218
pilot,E50-PC40,100,6918711742289843946,40,93599999912828207104,9359999991282820.0,39.99999990034562
pilot,E50-PC50,100,6918711742289843946,50,116999999891035258876,1.1699999989103526e+16,49.99999987543203
pilot,E50-PC60,100,6918711742289843946,60,140399999869242310659,1.4039999986924232e+16,59.999999850518435
pilot,E50-PC80,100,6918711742289843946,80,187199999825656414214,1.871999998256564e+16,79.99999980069124
pilot,E50-PC100,100,6918711742289843946,100,233999999782070517776,2.3399999978207052e+16,99.99999975086406
pilot,E50-CONV100,100,9878713980055163606,100,234000000000000000000,2.34e+16,99.9999998439963
pilot,E50-MT100,100,9878713980055163606,100,2340000003650486272,234000000365048.62,1.0
pilot,E50-PC10,100,9878713980055163606,10,23399999978207051779,2339999997820705.0,9.999999975086405
pilot,E50-PC20,100,9878713980055163606,20,46799999956414103552,4679999995641410.0,19.99999995017281
pilot,E50-PC30,100,9878713980055163606,30,70199999934621155327,7019999993462116.0,29.999999925259218
pilot,E50-PC40,100,9878713980055163606,40,93599999912828207104,9359999991282820.0,39.99999990034562
pilot,E50-PC50,100,9878713980055163606,50,116999999891035258876,1.1699999989103526e+16,49.99999987543203
pilot,E50-PC60,100,9878713980055163606,60,140399999869242310660,1.4039999986924232e+16,59.999999850518435
pilot,E50-PC80,100,9878713980055163606,80,187199999825656414207,1.871999998256564e+16,79.99999980069124
pilot,E50-PC100,100,9878713980055163606,100,233999999782070517756,2.3399999978207052e+16,99.99999975086406
pilot,E50-CONV100,300,6918711742289843946,300,702000000000000000000,7.02e+16,299.9999995319889
pilot,E50-MT100,300,6918711742289843946,300,2340000003650486272,234000000365048.62,1.0
pilot,E50-PC10,300,6918711742289843946,30,70199998300150077986,7019999830015008.0,29.999999226767304
pilot,E50-PC20,300,6918711742289843946,60,140399996600300155972,1.4039999660030016e+16,59.99999845353461
pilot,E50-PC30,300,6918711742289843946,90,210599994900450233991,2.1059999490045024e+16,89.99999768030192
pilot,E50-PC40,300,6918711742289843946,120,280799993200600311984,2.807999932006003e+16,119.99999690706922
pilot,E50-PC50,300,6918711742289843946,150,350999991500750389980,3.509999915007504e+16,149.99999613383653
pilot,E50-PC60,300,6918711742289843946,180,421199989800900468103,4.211999898009005e+16,179.99999536060383
pilot,E50-PC80,300,6918711742289843946,240,561599986401200624301,5.615999864012006e+16,239.99999381413843
pilot,E50-PC100,300,6918711742289843946,300,701999983001500780584,7.019999830015008e+16,299.99999226767306
pilot,E50-CONV100,300,9878713980055163606,300,702000000000000000000,7.02e+16,299.9999995319889
pilot,E50-MT100,300,9878713980055163606,300,2340000003650486272,234000000365048.62,1.0
pilot,E50-PC10,300,9878713980055163606,30,70199998300150077976,7019999830015008.0,29.999999226767304
pilot,E50-PC20,300,9878713980055163606,60,140399996600300155952,1.4039999660030016e+16,59.99999845353461
pilot,E50-PC30,300,9878713980055163606,90,210599994900450233958,2.1059999490045024e+16,89.99999768030192
pilot,E50-PC40,300,9878713980055163606,120,280799993200600311943,2.807999932006003e+16,119.99999690706922
pilot,E50-PC50,300,9878713980055163606,150,350999991500750390032,3.509999915007504e+16,149.99999613383653
pilot,E50-PC60,300,9878713980055163606,180,421199989800900468101,4.211999898009005e+16,179.99999536060383
pilot,E50-PC80,300,9878713980055163606,240,561599986401200624219,5.615999864012006e+16,239.99999381413843
pilot,E50-PC100,300,9878713980055163606,300,701999983001500780064,7.019999830015008e+16,299.99999226767306
pilot,E50-CONV100,500,6918711742289843946,500,1170000000000000000000,1.17e+17,499.9999992199816
pilot,E50-MT100,500,6918711742289843946,500,2340000003650486272,234000000365048.62,1.0
pilot,E50-PC10,500,6918711742289843946,50,116999994442798461265,1.1699999444279846e+16,49.99999754712571
pilot,E50-PC20,500,6918711742289843946,100,233999988885596922533,2.3399998888559692e+16,99.99999509425142
pilot,E50-PC30,500,6918711742289843946,150,350999983328395383859,3.509999833283954e+16,149.99999264137713
pilot,E50-PC40,500,6918711742289843946,200,467999977771193845147,4.6799997777119384e+16,199.99999018850284
pilot,E50-PC50,500,6918711742289843946,250,584999972213992306434,5.849999722139923e+16,249.99998773562854
pilot,E50-PC60,500,6918711742289843946,300,701999966656790767965,7.019999666567908e+16,299.99998528275427
pilot,E50-PC80,500,6918711742289843946,400,935999955542387690782,9.359999555423877e+16,399.99998037700567
pilot,E50-PC100,500,6918711742289843946,500,1169999944427984614092,1.1699999444279846e+17,499.9999754712571
pilot,E50-CONV100,500,9878713980055163606,500,1170000000000000000000,1.17e+17,499.9999992199816
pilot,E50-MT100,500,9878713980055163606,500,2340000003650486272,234000000365048.62,1.0
pilot,E50-PC10,500,9878713980055163606,50,116999994442798461225,1.1699999444279846e+16,49.99999754712571
pilot,E50-PC20,500,9878713980055163606,100,233999988885596922451,2.3399998888559692e+16,99.99999509425142
pilot,E50-PC30,500,9878713980055163606,150,350999983328395383737,3.509999833283954e+16,149.99999264137713
pilot,E50-PC40,500,9878713980055163606,200,467999977771193844984,4.6799997777119384e+16,199.99999018850284
pilot,E50-PC50,500,9878713980055163606,250,584999972213992306230,5.849999722139923e+16,249.99998773562854
pilot,E50-PC60,500,9878713980055163606,300,701999966656790767719,7.019999666567908e+16,299.99998528275427
pilot,E50-PC80,500,9878713980055163606,400,935999955542387690455,9.359999555423877e+16,399.99998037700567
pilot,E50-PC100,500,9878713980055163606,500,1169999944427984613072,1.1699999444279846e+17,499.9999754712571
