tag,arm,N,seed,k_active,accepted_blocks,mean_interval_s,median_interval_s,p95_interval_s,stale_blocks
primary,E50-CONV100,100,7695027954463196593,100,11,787.9044849551786,582.7696938701106,1595.3872915705135,0
primary,E50-MT100,100,7695027954463196593,100,1,9305.26268005937,9305.26268005937,9305.26268005937,0
primary,E50-PC10,100,7695027954463196593,10,1,930.5262689055216,930.5262689055216,930.5262689055216,0
primary,E50-PC20,100,7695027954463196593,20,2,3964.0936635711028,3964.0936635711028,465.26313451590164,0
primary,E50-PC30,100,7695027954463196593,30,2,2642.729109050705,2642.729109050705,310.17542306166956,0
primary,E50-PC40,100,7695027954463196593,40,4,2401.106368895169,2446.428766179973,3731.4620961943024,0
primary,E50-PC50,100,7695027954463196593,50,5,1676.078062365656,929.1163490324471,2985.169677058956,0
primary,E50-PC60,100,7695027954463196593,60,6,1462.2453710712825,1282.0386287509157,2487.64139755749,0
primary,E50-PC80,100,7695027954463196593,80,9,1025.1411222471106,580.6977182155966,1994.234116286051,0
primary,E50-PC100,100,7695027954463196593,100,11,787.9044857220721,582.7696944508959,1595.3872930204857,0
primary,E50-CONV100,100,8525591707662220640,100,15,612.7777301418282,430.32606196669667,1921.6329909691556,0
primary,E50-MT100,100,8525591707662220640,100,0,,,,0
primary,E50-PC10,100,8525591707662220640,10,2,2702.9237098913454,2702.9237098913454,1558.4788009966658,0
primary,E50-PC20,100,8525591707662220640,20,2,1351.4618549246857,1351.4618549246857,779.2394004740543,0
primary,E50-PC30,100,8525591707662220640,30,5,1802.8115993138276,519.4929337081772,1282.4562063003295,0
primary,E50-PC40,100,8525591707662220640,40,7,1380.658773384062,961.8421546522686,1756.6351487373818,0
primary,E50-PC50,100,8525591707662220640,50,8,1164.645610288443,843.70996882812,1585.475751190389,0
primary,E50-PC60,100,8525591707662220640,60,11,855.6093282343124,717.2101039715137,1321.2297926320164,0
primary,E50-PC80,100,8525591707662220640,80,14,708.8245597874845,509.41432770190966,2402.04124101992,0
primary,E50-PC100,100,8525591707662220640,100,15,612.7777306944745,430.3260623769687,1921.6329928087632,0
primary,E50-CONV100,100,12108552042459345255,100,14,654.2332057835894,429.3032988617445,1641.2039298503728,0
primary,E50-MT100,100,12108552042459345255,100,0,,,,0
primary,E50-PC10,100,12108552042459345255,10,0,,,,0
primary,E50-PC20,100,12108552042459345255,20,2,4582.346910084486,4582.346910084486,958.6741631932467,0
primary,E50-PC30,100,12108552042459345255,30,2,3054.8979399588848,3054.8979399588848,639.1161086252683,0
primary,E50-PC40,100,12108552042459345255,40,4,2329.051389617342,2291.1734551130057,4103.009828551905,0
primary,E50-PC50,100,12108552042459345255,50,6,1411.2972696808074,589.1821236200735,3282.4078628338652,0
primary,E50-PC60,100,12108552042459345255,60,7,1377.2159520794617,662.4121516119285,2735.3398855907903,0
primary,E50-PC80,100,12108552042459345255,80,12,832.4482089658273,511.0864711876555,2051.504914312265,0
primary,E50-PC100,100,12108552042459345255,100,14,654.233206407679,429.3032992599673,1641.203931507572,0
primary,E50-CONV100,100,16218162384852915827,100,25,389.85964612345566,243.51887233431648,966.226949369096,0
primary,E50-MT100,100,16218162384852915827,100,1,3452.4086026218993,3452.4086026218993,3452.4086026218993,0
primary,E50-PC10,100,16218162384852915827,10,3,1456.5534332442187,1704.6884654833,1704.6884654833,0
primary,E50-PC20,100,16218162384852915827,20,5,1508.4162398857388,1159.865485889002,1220.9489230316528,0
primary,E50-PC30,100,16218162384852915827,30,9,1014.8455260985583,773.2436573614242,2151.019186741363,0
primary,E50-PC40,100,16218162384852915827,40,10,753.4010825237092,595.2036022974733,1613.2643900270953,0
primary,E50-PC50,100,16218162384852915827,50,12,742.3601912016193,476.16288173907446,1654.5208505464261,0
primary,E50-PC60,100,16218162384852915827,60,15,648.8570241846619,405.86478764405734,1610.3782504328258,0
primary,E50-PC80,100,16218162384852915827,80,18,546.3789492289973,304.8179107192714,1658.1524808281663,0
primary,E50-PC100,100,16218162384852915827,100,25,389.85964651529565,243.51887257993886,966.2269502165335,0
primary,E50-CONV100,100,3678478102310266571,100,18,488.6080905290503,396.6566547097817,1475.7820827938442,0
primary,E50-MT100,100,3678478102310266571,100,0,,,,0
