N,arm,k,U_exact_mean,U_predicted,rho_exact
100,E50-PC10,10,2.339999997820705e+19,2.34e+19,0.0
100,E50-PC20,20,4.67999999564141e+19,4.68e+19,0.0
100,E50-PC30,30,7.0199999934621155e+19,7.02e+19,0.0
100,E50-PC40,40,9.35999999128282e+19,9.36e+19,0.0
100,E50-PC50,50,1.1699999989103526e+20,1.17e+20,0.0
100,E50-PC60,60,1.4039999986924231e+20,1.404e+20,0.0
100,E50-PC80,80,1.871999998256564e+20,1.872e+20,0.0
100,E50-PC100,100,2.3399999978207052e+20,2.34e+20,0.0
200,E50-PC10,20,4.679999886676672e+19,4.68e+19,0.0
200,E50-PC20,40,9.359999773353343e+19,9.36e+19,0.0
200,E50-PC30,60,1.4039999660030016e+20,1.404e+20,0.0
200,E50-PC40,80,1.8719999546706687e+20,1.872e+20,0.0
200,E50-PC50,100,2.339999943338336e+20,2.34e+20,0.0
200,E50-PC60,120,2.8079999320060032e+20,2.808e+20,0.0
200,E50-PC80,160,3.7439999093413374e+20,3.744e+20,0.0
200,E50-PC100,200,4.679999886676672e+20,4.68e+20,0.0
300,E50-PC10,30,7.019999830015008e+19,7.02e+19,0.0
300,E50-PC20,60,1.4039999660030016e+20,1.404e+20,0.0
300,E50-PC30,90,2.1059999490045025e+20,2.106e+20,0.0
300,E50-PC40,120,2.8079999320060032e+20,2.808e+20,0.0
300,E50-PC50,150,3.509999915007504e+20,3.51e+20,0.0
300,E50-PC60,180,4.211999898009005e+20,4.212e+20,0.0
300,E50-PC80,240,5.6159998640120064e+20,5.616e+20,0.0
300,E50-PC100,300,7.019999830015008e+20,7.02e+20,0.0
400,E50-PC10,40,9.35999933749442e+19,9.36e+19,0.0
400,E50-PC20,80,1.871999867498884e+20,1.872e+20,0.0
400,E50-PC30,120,2.807999801248326e+20,2.808e+20,0.0
400,E50-PC40,160,3.743999734997768e+20,3.744e+20,0.0
400,E50-PC50,200,4.67999966874721e+20,4.68e+20,0.0
400,E50-PC60,240,5.615999602496652e+20,5.616e+20,0.0
400,E50-PC80,320,7.487999469995536e+20,7.488e+20,0.0
400,E50-PC100,400,9.35999933749442e+20,9.36e+20,0.0
500,E50-PC10,50,1.1699999444279847e+20,1.17e+20,0.0
500,E50-PC20,100,2.3399998888559693e+20,2.34e+20,0.0
500,E50-PC30,150,3.509999833283954e+20,3.51e+20,0.0
500,E50-PC40,200,4.6799997777119386e+20,4.68e+20,0.0
500,E50-PC50,250,5.849999722139923e+20,5.85e+20,0.0
500,E50-PC60,300,7.019999666567908e+20,7.02e+20,0.0
500,E50-PC80,400,9.359999555423877e+20,9.36e+20,0.0
500,E50-PC100,500,1.1699999444279847e+21,1.17e+21,0.0
