N,arm,alpha_case,saving_mean,saving_sd,saving_predicted
100,E50-PC10,LP0,0.9000000000931323,0.0,0.9
100,E50-PC10,LP10,0.810000000083819,0.0,0.81
100,E50-PC10,LP25,0.6750000000698492,0.0,0.675
100,E50-PC10,LP50,0.45000000004656615,0.0,0.45
100,E50-PC20,LP0,0.8000000001862645,0.0,0.8
100,E50-PC20,LP10,0.7200000001676381,0.0,0.7200000000000001
100,E50-PC20,LP25,0.6000000001396983,0.0,0.6000000000000001
100,E50-PC20,LP50,0.4000000000931323,0.0,0.4
100,E50-PC30,LP0,0.7000000002793967,0.0,0.7
100,E50-PC30,LP10,0.6300000002514571,0.0,0.63
100,E50-PC30,LP25,0.5250000002095476,0.0,0.5249999999999999
100,E50-PC30,LP50,0.35000000013969834,0.0,0.35
100,E50-PC40,LP0,0.600000000372529,0.0,0.6
100,E50-PC40,LP10,0.5400000003352762,0.0,0.54
100,E50-PC40,LP25,0.4500000002793968,0.0,0.44999999999999996
100,E50-PC40,LP50,0.3000000001862646,0.0,0.3
100,E50-PC50,LP0,0.5000000004656613,0.0,0.5
100,E50-PC50,LP10,0.45000000041909516,0.0,0.45
100,E50-PC50,LP25,0.37500000034924597,0.0,0.375
100,E50-PC50,LP50,0.25000000023283064,0.0,0.25
100,E50-PC60,LP0,0.4000000005587935,0.0,0.4
100,E50-PC60,LP10,0.36000000050291414,0.0,0.36000000000000004
100,E50-PC60,LP25,0.30000000041909514,0.0,0.30000000000000004
100,E50-PC60,LP50,0.2000000002793968,0.0,0.2
100,E50-PC80,LP0,0.20000000074505808,0.0,0.19999999999999996
100,E50-PC80,LP10,0.18000000067055233,0.0,0.17999999999999997
100,E50-PC80,LP25,0.15000000055879348,0.0,0.14999999999999997
100,E50-PC80,LP50,0.1000000003725291,0.0,0.09999999999999998
100,E50-PC100,LP0,9.313225746154785e-10,0.0,0.0
100,E50-PC100,LP10,8.381902949494702e-10,0.0,0.0
100,E50-PC100,LP25,6.984920419839113e-10,0.0,0.0
100,E50-PC100,LP50,4.656612873077393e-10,0.0,0.0
200,E50-PC10,LP0,0.9000000024214386,0.0,0.9
200,E50-PC10,LP10,0.8100000021792948,0.0,0.81
200,E50-PC10,LP25,0.675000001816079,0.0,0.675
200,E50-PC10,LP50,0.45000000121071937,0.0,0.45
200,E50-PC20,LP0,0.8000000048428773,0.0,0.8
200,E50-PC20,LP10,0.7200000043585896,0.0,0.7200000000000001
200,E50-PC20,LP25,0.600000003632158,0.0,0.6000000000000001
200,E50-PC20,LP50,0.40000000242143874,0.0,0.4
200,E50-PC30,LP0,0.700000007264316,0.0,0.7
200,E50-PC30,LP10,0.6300000065378843,0.0,0.63
200,E50-PC30,LP25,0.525000005448237,0.0,0.5249999999999999
200,E50-PC30,LP50,0.350000003632158,0.0,0.35
200,E50-PC40,LP0,0.6000000096857545,0.0,0.6
200,E50-PC40,LP10,0.540000008717179,0.0,0.54
200,E50-PC40,LP25,0.4500000072643159,0.0,0.44999999999999996
200,E50-PC40,LP50,0.30000000484287737,0.0,0.3
200,E50-PC50,LP0,0.5000000121071931,0.0,0.5
200,E50-PC50,LP10,0.4500000108964739,0.0,0.45
200,E50-PC50,LP25,0.3750000090803949,0.0,0.375
200,E50-PC50,LP50,0.2500000060535966,0.0,0.25
200,E50-PC60,LP0,0.4000000145286319,0.0,0.4
200,E50-PC60,LP10,0.3600000130757687,0.0,0.36000000000000004
200,E50-PC60,LP25,0.300000010896474,0.0,0.30000000000000004
200,E50-PC60,LP50,0.20000000726431588,0.0,0.2
200,E50-PC80,LP0,0.20000001937150913,0.0,0.19999999999999996
200,E50-PC80,LP10,0.18000001743435823,0.0,0.17999999999999997
200,E50-PC80,LP25,0.15000001452863188,0.0,0.14999999999999997
200,E50-PC80,LP50,0.10000000968575451,0.0,0.09999999999999998
200,E50-PC100,LP0,2.4214386273868627e-08,0.0,0.0
200,E50-PC100,LP10,2.1792947779708527e-08,0.0,0.0
200,E50-PC100,LP25,1.816078976091262e-08,0.0,0.0
200,E50-PC100,LP50,1.2107193247956616e-08,0.0,0.0
300,E50-PC10,LP0,0.9000000024214386,0.0,0.9
300,E50-PC10,LP10,0.8100000021792948,0.0,0.81
300,E50-PC10,LP25,0.6750000018160789,0.0,0.675
300,E50-PC10,LP50,0.45000000121071926,0.0,0.45
300,E50-PC20,LP0,0.8000000048428773,0.0,0.8
300,E50-PC20,LP10,0.7200000043585896,0.0,0.7200000000000001
300,E50-PC20,LP25,0.600000003632158,0.0,0.6000000000000001
300,E50-PC20,LP50,0.4000000024214386,0.0,0.4
300,E50-PC30,LP0,0.7000000072643159,0.0,0.7
300,E50-PC30,LP10,0.6300000065378843,0.0,0.63
300,E50-PC30,LP25,0.5250000054482369,0.0,0.5249999999999999
300,E50-PC30,LP50,0.3500000036321579,0.0,0.35
300,E50-PC40,LP0,0.6000000096857545,0.0,0.6
300,E50-PC40,LP10,0.540000008717179,0.0,0.54
300,E50-PC40,LP25,0.450000007264316,0.0,0.44999999999999996
300,E50-PC40,LP50,0.30000000484287725,0.0,0.3
300,E50-PC50,LP0,0.5000000121071931,0.0,0.5
300,E50-PC50,LP10,0.4500000108964738,0.0,0.45
300,E50-PC50,LP25,0.3750000090803949,0.0,0.375
300,E50-PC50,LP50,0.2500000060535966,0.0,0.25
300,E50-PC60,LP0,0.40000001452863176,0.0,0.4
300,E50-PC60,LP10,0.36000001307576857,0.0,0.36000000000000004
300,E50-PC60,LP25,0.30000001089647377,0.0,0.30000000000000004
300,E50-PC60,LP50,0.200000007264316,0.0,0.2
300,E50-PC80,LP0,0.20000001937150913,0.0,0.19999999999999996
300,E50-PC80,LP10,0.18000001743435823,0.0,0.17999999999999997
300,E50-PC80,LP25,0.15000001452863188,0.0,0.14999999999999997
300,E50-PC80,LP50,0.10000000968575451,0.0,0.09999999999999998
300,E50-PC100,LP0,2.4214386273868627e-08,0.0,0.0
300,E50-PC100,LP10,2.1792947557663922e-08,0.0,0.0
300,E50-PC100,LP25,1.816078976091262e-08,0.0,0.0
300,E50-PC100,LP50,1.2107193247956616e-08,0.0,0.0
400,E50-PC10,LP0,0.9000000070780511,0.0,0.9
400,E50-PC10,LP10,0.8100000063702459,0.0,0.81
400,E50-PC10,LP25,0.6750000053085383,0.0,0.675
400,E50-PC10,LP50,0.4500000035390256,0.0,0.45
400,E50-PC20,LP0,0.8000000141561021,0.0,0.8
400,E50-PC20,LP10,0.720000012740492,0.0,0.7200000000000001
400,E50-PC20,LP25,0.6000000106170766,0.0,0.6000000000000001
400,E50-PC20,LP50,0.40000000707805106,0.0,0.4
400,E50-PC30,LP0,0.7000000212341532,0.0,0.7
400,E50-PC30,LP10,0.6300000191107378,0.0,0.63
400,E50-PC30,LP25,0.5250000159256148,0.0,0.5249999999999999
400,E50-PC30,LP50,0.35000001061707675,0.0,0.35
400,E50-PC40,LP0,0.6000000283122042,0.0,0.6
400,E50-PC40,LP10,0.5400000254809838,0.0,0.54
400,E50-PC40,LP25,0.45000002123415317,0.0,0.44999999999999996
400,E50-PC40,LP50,0.3000000141561022,0.0,0.3
400,E50-PC50,LP0,0.5000000353902554,0.0,0.5
400,E50-PC50,LP10,0.45000003185122983,0.0,0.45
400,E50-PC50,LP25,0.3750000265426916,0.0,0.375
400,E50-PC50,LP50,0.2500000176951277,0.0,0.25
400,E50-PC60,LP0,0.40000004246830634,0.0,0.4
400,E50-PC60,LP10,0.36000003822147586,0.0,0.36000000000000004
