N,arm,pooled_blocks,pooled_MT100_blocks,pooled_block_retention,per_seed_ratios_defined,per_seed_ratios_NA,per_seed_ratio_median
100,E50-PC10,50,3,16.666666666666668,3,27,3.0
100,E50-PC20,107,3,35.666666666666664,3,27,5.0
100,E50-PC30,162,3,54.0,3,27,9.0
100,E50-PC40,202,3,67.33333333333333,3,27,10.0
100,E50-PC50,250,3,83.33333333333333,3,27,12.0
100,E50-PC60,295,3,98.33333333333333,3,27,14.0
100,E50-PC80,409,3,136.33333333333334,3,27,18.0
100,E50-PC100,508,3,169.33333333333334,3,27,22.0
100,E50-CONV100,508,3,169.33333333333334,3,27,22.0
200,E50-PC10,50,2,25.0,2,28,4.0
200,E50-PC20,107,2,53.5,2,28,6.5
200,E50-PC30,162,2,81.0,2,28,10.0
200,E50-PC40,202,2,101.0,2,28,11.0
200,E50-PC50,250,2,125.0,2,28,13.0
200,E50-PC60,295,2,147.5,2,28,14.5
200,E50-PC80,409,2,204.5,2,28,18.5
200,E50-PC100,508,2,254.0,2,28,23.5
200,E50-CONV100,508,2,254.0,2,28,23.5
300,E50-PC10,50,1,50.0,1,29,5.0
300,E50-PC20,107,1,107.0,1,29,8.0
300,E50-PC30,162,1,162.0,1,29,11.0
300,E50-PC40,202,1,202.0,1,29,12.0
300,E50-PC50,250,1,250.0,1,29,14.0
300,E50-PC60,295,1,295.0,1,29,14.0
300,E50-PC80,409,1,409.0,1,29,19.0
300,E50-PC100,508,1,508.0,1,29,22.0
300,E50-CONV100,508,1,508.0,1,29,22.0
400,E50-PC10,50,1,50.0,1,29,5.0
400,E50-PC20,107,1,107.0,1,29,8.0
400,E50-PC30,162,1,162.0,1,29,11.0
400,E50-PC40,202,1,202.0,1,29,12.0
400,E50-PC50,250,1,250.0,1,29,14.0
400,E50-PC60,295,1,295.0,1,29,14.0
400,E50-PC80,409,1,409.0,1,29,19.0
400,E50-PC100,508,1,508.0,1,29,22.0
400,E50-CONV100,508,1,508.0,1,29,22.0
500,E50-PC10,50,1,50.0,1,29,5.0
500,E50-PC20,107,1,107.0,1,29,8.0
500,E50-PC30,162,1,162.0,1,29,11.0
500,E50-PC40,202,1,202.0,1,29,12.0
500,E50-PC50,250,1,250.0,1,29,14.0
500,E50-PC60,295,1,295.0,1,29,14.0
500,E50-PC80,409,1,409.0,1,29,19.0
500,E50-PC100,508,1,508.0,1,29,22.0
500,E50-CONV100,508,1,508.0,1,29,22.0
