N,arm,pooled_median_interval_s,MT100_pooled_median_interval_s,median_latency_ratio,runs_with_blocks,MT100_runs_with_blocks,sparse_MT_denominator
100,E50-PC10,3578.41079458331,3452.4086026218993,1.0364968943321828,21,3,True
100,E50-PC20,2183.530361616692,3452.4086026218993,0.6324657979239278,30,3,True
100,E50-PC30,1423.7721470659083,3452.4086026218993,0.41239966381286325,30,3,True
100,E50-PC40,1230.3201659814372,3452.4086026218993,0.35636574565567997,30,3,True
100,E50-PC50,834.3032167278138,3452.4086026218993,0.2416583066367666,30,3,True
100,E50-PC60,726.7842653161299,3452.4086026218993,0.21051513565462107,30,3,True
100,E50-PC80,533.9145551967533,3452.4086026218993,0.15464987394344834,30,3,True
100,E50-PC100,402.26277319820304,3452.4086026218993,0.11651655974113503,30,3,True
100,E50-CONV100,402.2627727955515,3452.4086026218993,0.11651655962450586,30,3,True
200,E50-PC10,3578.4108779914513,4936.359807168986,0.7249088433129591,21,2,True
200,E50-PC20,2183.5304124559702,4936.359807168986,0.44233615412006,30,2,True
200,E50-PC30,1423.7721802615733,4936.359807168986,0.2884255272871023,30,2,True
200,E50-PC40,1230.3201947188336,4936.359807168986,0.24923632854559383,30,2,True
200,E50-PC50,834.3032361988357,4936.359807168986,0.16901183641176082,30,2,True
200,E50-PC60,726.7842821920083,4936.359807168986,0.14723081594184295,30,2,True
200,E50-PC80,533.914567604977,4936.359807168986,0.10815957273405853,30,2,True
200,E50-PC100,402.2627825870562,4936.359807168986,0.08148976134252962,30,2,True
200,E50-CONV100,402.2627727955515,4936.359807168986,0.081489759358982,30,2,True
300,E50-PC10,3578.410878022042,4451.853604496307,0.8038024598131214,21,1,True
300,E50-PC20,2183.530412486561,4451.853604496307,0.4904766882453699,30,1,True
300,E50-PC30,1423.7721802768688,4451.853604496307,0.31981558846384345,30,1,True
300,E50-PC40,1230.3201947494244,4451.853604496307,0.2763613326158837,30,1,True
300,E50-PC50,834.3032361835403,4451.853604496307,0.18740581122005143,30,1,True
300,E50-PC60,726.7842821767126,4451.853604496307,0.16325430859691145,30,1,True
300,E50-PC80,533.9145676126248,4451.853604496307,0.11993084567591776,30,1,True
300,E50-PC100,402.26278251822663,4451.853604496307,0.09035849294593765,30,1,True
300,E50-CONV100,402.2627727955515,4451.853604496307,0.09035849076197654,30,1,True
400,E50-PC10,3578.411044670075,5935.804799852931,0.602851873558702,21,1,True
400,E50-PC20,2183.530514157469,5935.804799852931,0.36785753369308394,30,1,True
400,E50-PC30,1423.7722465840734,5935.804799852931,0.23986170276680083,30,1,True
400,E50-PC40,1230.320252033024,5935.804799852931,0.2072710093269083,30,1,True
400,E50-PC50,834.3032750146918,5935.804799852931,0.14055436510233002,30,1,True
400,E50-PC60,726.7843160355378,5935.804799852931,0.12244073727854815,30,1,True
400,E50-PC80,533.914592467311,5935.804799852931,0.08994813853726112,30,1,True
400,E50-PC100,402.26280128446155,5935.804799852931,0.06776887294110956,30,1,True
400,E50-CONV100,402.2627727955515,5935.804799852931,0.06776886814160704,30,1,True
500,E50-PC10,3578.410961362884,7419.755995209554,0.482281487918636,21,1,True
500,E50-PC20,2183.5304633319574,7419.755995209554,0.2942860202871521,30,1,True
500,E50-PC30,1423.7722134297062,7419.755995209554,0.19188935786418607,30,1,True
500,E50-PC40,1230.3202234011665,7419.755995209554,0.16581680370560742,30,1,True
500,E50-PC50,834.3032555964394,7419.755995209554,0.11244348953457416,30,1,True
500,E50-PC60,726.7842990954184,7419.755995209554,0.09795258760054305,30,1,True
500,E50-PC80,533.9145800407326,7419.755995209554,0.07195850919968877,30,1,True
500,E50-PC100,402.26279190249124,7419.755995209554,0.05421509712208942,30,1,True
500,E50-CONV100,402.26277279555154,7419.755995209554,0.05421509454694548,30,1,True
