N,arm,alpha_case,energy_per_block_J_mean,runs_with_blocks,ratio_vs_MT100
100,E50-CONV100,LP0,232994481.38335842,30,0.06638019412631294
100,E50-CONV100,LP50,232994481.38335842,30,0.06638019412631294
100,E50-MT100,LP0,3510000000.0,3,1.0
100,E50-MT100,LP50,3510000000.0,3,1.0
100,E50-PC10,LP0,207396428.3782756,21,0.05908730153227225
100,E50-PC10,LP50,1140680357.0462806,21,0.3249801587026441
100,E50-PC20,LP0,282794999.7366266,30,0.08056837599334092
100,E50-PC20,LP50,848384999.8683133,30,0.24170512816761064
100,E50-PC30,LP0,293476265.96044517,30,0.0836114717836026
100,E50-PC30,LP50,635865243.369833,30,0.18115818899425443
100,E50-PC40,LP0,284152142.5925056,30,0.08095502637963121
100,E50-PC40,LP50,497266249.8676813,30,0.14167129625859867
100,E50-PC50,LP0,253369399.1146807,30,0.07218501399278653
100,E50-PC50,LP50,380054098.90798974,30,0.10827752105640734
100,E50-PC60,LP0,250120937.5057886,30,0.07125952635492552
100,E50-PC60,LP50,333494583.5351708,30,0.09501270186187202
100,E50-PC80,LP0,236678383.84133476,30,0.06742973898613526
100,E50-PC80,LP50,266263181.9592665,30,0.07585845639865142
100,E50-PC100,LP0,232994481.16636539,30,0.06638019406449157
100,E50-PC100,LP50,232994481.27486193,30,0.06638019409540226
200,E50-CONV100,LP0,465988962.76671684,30,0.06638019412631294
200,E50-CONV100,LP50,465988962.76671684,30,0.06638019412631294
200,E50-MT100,LP0,7020000000.0,2,1.0
200,E50-MT100,LP50,7020000000.0,2,1.0
200,E50-PC10,LP0,414792847.0989026,21,0.05908730015653883
200,E50-PC10,LP50,2281360709.2637367,21,0.3249801580147773
200,E50-PC20,LP0,565589986.3045852,30,0.08056837411746229
200,E50-PC20,LP50,1696769993.1522923,30,0.24170512722967127
200,E50-PC30,LP0,586952518.254837,30,0.08361146983687137
200,E50-PC30,LP50,1271730479.906639,30,0.18115818802088876
200,E50-PC40,LP0,568304271.9531461,30,0.08095502449475016
200,E50-PC40,LP50,994532493.1194302,30,0.14167129531615816
200,E50-PC50,LP0,506738786.43092966,30,0.07218501231209824
200,E50-PC50,LP50,760108191.9167635,30,0.10827752021606318
200,E50-PC60,LP0,500241863.3644136,30,0.07125952469578542
200,E50-PC60,LP50,666989161.2467599,30,0.09501270103230199
200,E50-PC80,LP0,473356756.66147363,30,0.06742973741616433
200,E50-PC80,LP50,532526358.4079352,30,0.07585845561366598
200,E50-PC100,LP0,465988951.4830801,30,0.06638019251895728
200,E50-PC100,LP50,465988957.12489843,30,0.0663801933226351
300,E50-CONV100,LP0,698983444.1500753,30,0.06638019412631295
300,E50-CONV100,LP50,698983444.1500753,30,0.06638019412631295
300,E50-MT100,LP0,10530000000.0,1,1.0
300,E50-MT100,LP50,10530000000.0,1,1.0
300,E50-PC10,LP0,622189270.6483539,21,0.05908730015653883
300,E50-PC10,LP50,3422041063.895606,21,0.3249801580147774
300,E50-PC20,LP0,848384979.4568778,30,0.08056837411746229
300,E50-PC20,LP50,2545154989.728439,30,0.2417051272296713
300,E50-PC30,LP0,880428777.3822557,30,0.08361146983687139
300,E50-PC30,LP50,1907595719.8599594,30,0.18115818802088882
300,E50-PC40,LP0,852456407.9297192,30,0.08095502449475016
300,E50-PC40,LP50,1491798739.6791453,30,0.14167129531615816
300,E50-PC50,LP0,760108179.6463945,30,0.07218501231209824
300,E50-PC50,LP50,1140162287.8751452,30,0.10827752021606317
300,E50-PC60,LP0,750362795.0466206,30,0.07125952469578543
300,E50-PC60,LP50,1000483741.8701398,30,0.09501270103230199
300,E50-PC80,LP0,710035134.9922105,30,0.06742973741616434
300,E50-PC80,LP50,798789537.6119027,30,0.07585845561366597
300,E50-PC100,LP0,698983427.2246201,30,0.06638019251895727
300,E50-PC100,LP50,698983435.6873477,30,0.0663801933226351
400,E50-CONV100,LP0,931977925.5334337,30,0.06638019412631294
400,E50-CONV100,LP50,931977925.5334337,30,0.06638019412631294
400,E50-MT100,LP0,14040000000.0,1,1.0
400,E50-MT100,LP50,14040000000.0,1,1.0
400,E50-PC10,LP0,829585655.5672138,21,0.05908729740507221
400,E50-PC10,LP50,4562721399.212178,21,0.32498015663904406
400,E50-PC20,LP0,1131179919.934502,30,0.08056837036570526
400,E50-PC20,LP50,3393539959.967251,30,0.2417051253537928
400,E50-PC30,LP0,1173904981.8454652,30,0.08361146594340921
400,E50-PC30,LP50,2543460932.4811735,30,0.18115818607415765
400,E50-PC40,LP0,1136608490.9788363,30,0.08095502072498834
400,E50-PC40,LP50,1989064959.7751322,30,0.1416712934312772
400,E50-PC50,LP0,1013477525.6681355,30,0.0721850089507219
400,E50-PC50,LP50,1520216360.2366652,30,0.10827751853537501
400,E50-PC60,LP0,1000483680.1401767,30,0.07125952137750546
400,E50-PC60,LP50,1333978299.1991947,30,0.09501269937316201
400,E50-PC80,LP0,946713469.238167,30,0.06742973427622273
400,E50-PC80,LP50,1065052694.7734803,30,0.07585845404369518
400,E50-PC100,LP0,931977859.5675602,30,0.0663801894278889
400,E50-PC100,LP50,931977892.5504968,30,0.06638019177710092
500,E50-CONV100,LP0,1164972406.9167922,30,0.06638019412631295
500,E50-CONV100,LP50,1164972406.9167922,30,0.06638019412631295
500,E50-MT100,LP0,17550000000.0,1,1.0
500,E50-MT100,LP50,17550000000.0,1,1.0
500,E50-PC10,LP0,1036982093.6031363,21,0.059087298780805486
500,E50-PC10,LP50,5703401761.087282,21,0.32498015732691066
500,E50-PC20,LP0,1413974932.8397944,30,0.08056837224158372
500,E50-PC20,LP50,4241924966.4198966,30,0.241705126291732
500,E50-PC30,LP0,1467381261.4719613,30,0.08361146789014025
500,E50-PC30,LP50,3179326182.684033,30,0.18115818704752323
500,E50-PC40,LP0,1420760646.8032045,30,0.0809550226098692
500,E50-PC40,LP50,2486331216.258745,30,0.14167129437371767
500,E50-PC50,LP0,1266846936.5812461,30,0.07218501063141004
500,E50-PC50,LP50,1900270465.0438697,30,0.10827751937571907
500,E50-PC60,LP0,1250604629.2931268,30,0.0712595230366454
500,E50-PC60,LP50,1667472888.5579462,30,0.09501270020273198
500,E50-PC80,LP0,1183391864.1006958,30,0.0674297358461935
500,E50-PC80,LP50,1331315882.2433438,30,0.07585845482868056
500,E50-PC100,LP0,1164972351.5835745,30,0.06638019097342306
500,E50-PC100,LP50,1164972379.2501833,30,0.066380192549868
