N,arm,F_low_mean,F_low_predicted,transitions_total_mean,active_episode_s,low_episode_s
100,E50-CONV100,0.0,0.0,0.0,10000.0,0.0
100,E50-MT100,0.0,0.0,0.0,10000.0,0.0
100,E50-PC10,0.9000000000931323,0.9,108964741126.06667,1.8354561111111112e-06,1.6519105e-05
100,E50-PC20,0.8000000001862645,0.8,108964741123.8,3.6709122222222224e-06,1.468364888888889e-05
100,E50-PC30,0.7000000002793968,0.7,108964741122.23334,5.5063683333333334e-06,1.2848192777777778e-05
100,E50-PC40,0.600000000372529,0.6,108964741120.63333,7.341824444444445e-06,1.1012736666666667e-05
100,E50-PC50,0.5000000004656613,0.5,108964741119.23334,9.177280555555555e-06,9.177280555555555e-06
100,E50-PC60,0.40000000055879353,0.4,108964741117.3,1.1012736666666667e-05,7.341824444444445e-06
100,E50-PC80,0.20000000074505805,0.19999999999999996,108964741113.03334,1.468364888888889e-05,3.6709122222222224e-06
100,E50-PC100,9.313225735908832e-10,0.0,108964741109.76666,1.835456111111111e-05,0.0
200,E50-CONV100,0.0,0.0,0.0,10000.0,0.0
200,E50-MT100,0.0,0.0,0.0,10000.0,0.0
200,E50-PC10,0.9000000024214386,0.9,217929477180.26666,1.8354561538461539e-06,1.6519105384615384e-05
200,E50-PC20,0.8000000048428773,0.8,217929477178.33334,3.6709123076923077e-06,1.468364923076923e-05
200,E50-PC30,0.7000000072643159,0.7,217929477176.46667,5.5063684615384616e-06,1.2848193076923076e-05
200,E50-PC40,0.6000000096857545,0.6,217929477174.3,7.341824615384615e-06,1.1012736923076923e-05
200,E50-PC50,0.5000000121071931,0.5,217929477173.06668,9.177280769230768e-06,9.177280769230768e-06
200,E50-PC60,0.4000000145286318,0.4,217929477171.13333,1.1012736923076923e-05,7.341824615384615e-06
200,E50-PC80,0.20000001937150907,0.19999999999999996,217929477167.33334,1.468364923076923e-05,3.6709123076923077e-06
200,E50-PC100,2.421438635162222e-08,0.0,217929477164.3,1.8354561538461537e-05,0.0
300,E50-CONV100,0.0,0.0,0.0,10000.0,0.0
300,E50-MT100,0.0,0.0,0.0,10000.0,0.0
300,E50-PC10,0.9000000024214387,0.9,326894215771.8,1.8354561538461539e-06,1.6519105384615384e-05
300,E50-PC20,0.8000000048428773,0.8,326894215769.8333,3.6709123076923077e-06,1.468364923076923e-05
300,E50-PC30,0.7000000072643159,0.7,326894215767.76666,5.5063684615384616e-06,1.2848193076923076e-05
300,E50-PC40,0.6000000096857545,0.6,326894215766.86664,7.341824615384615e-06,1.1012736923076923e-05
300,E50-PC50,0.5000000121071931,0.5,326894215764.9,9.177280769230768e-06,9.177280769230768e-06
300,E50-PC60,0.40000001452863176,0.4,326894215763.0,1.1012736923076923e-05,7.341824615384615e-06
300,E50-PC80,0.20000001937150907,0.19999999999999996,326894215759.3333,1.468364923076923e-05,3.6709123076923077e-06
300,E50-PC100,2.4214386352291357e-08,0.0,326894215755.56665,1.8354561538461537e-05,0.0
400,E50-CONV100,0.0,0.0,0.0,10000.0,0.0
400,E50-MT100,0.0,0.0,0.0,10000.0,0.0
400,E50-PC10,0.9000000070780511,0.9,435858934066.8,1.8354562393162393e-06,1.6519106153846153e-05
400,E50-PC20,0.8000000141561021,0.8,435858934064.93335,3.6709124786324787e-06,1.4683649914529915e-05
400,E50-PC30,0.7000000212341532,0.7,435858934063.0,5.506368717948718e-06,1.2848193675213675e-05
400,E50-PC40,0.6000000283122043,0.6,435858934061.43335,7.341824957264957e-06,1.1012737435897436e-05
400,E50-PC50,0.5000000353902553,0.5,435858934060.4667,9.177281196581196e-06,9.177281196581196e-06
400,E50-PC60,0.4000000424683064,0.4,435858934059.0,1.1012737435897436e-05,7.341824957264957e-06
400,E50-PC80,0.2000000566244085,0.19999999999999996,435858934055.06665,1.4683649914529915e-05,3.6709124786324787e-06
400,E50-PC100,7.078051065793049e-08,0.0,435858934051.23334,1.8354562393162392e-05,0.0
500,E50-CONV100,0.0,0.0,0.0,10000.0,0.0
500,E50-MT100,0.0,0.0,0.0,10000.0,0.0
500,E50-PC10,0.900000004749745,0.9,544823680269.56665,1.8354561965811965e-06,1.6519105769230768e-05
500,E50-PC20,0.8000000094994898,0.8,544823680267.73334,3.670912393162393e-06,1.4683649572649572e-05
500,E50-PC30,0.7000000142492347,0.7,544823680265.73334,5.50636858974359e-06,1.2848193376068376e-05
500,E50-PC40,0.6000000189989796,0.6,544823680264.13336,7.341824786324786e-06,1.101273717948718e-05
500,E50-PC50,0.5000000237487245,0.5,544823680262.7,9.177280982905983e-06,9.177280982905983e-06
500,E50-PC60,0.40000002849846944,0.4,544823680261.13336,1.101273717948718e-05,7.341824786324786e-06
500,E50-PC80,0.20000003799795923,0.19999999999999996,544823680257.3,1.4683649572649572e-05,3.670912393162393e-06
500,E50-PC100,4.749744904781368e-08,0.0,544823680254.2,1.8354561965811966e-05,0.0
