N,arm,duty_mean_expected,duty_min,duty_max,duty_sd,jain_index,duty_max_min_ratio
100,E50-PC10,0.1,0.09999999767169357,0.1,4.5625301874864615e-10,0.9999999999999958,1.0000000232830648
100,E50-PC20,0.2,0.19999999534338714,0.2,9.125060374972923e-10,0.9999999999999958,1.0000000232830648
100,E50-PC30,0.3,0.2999999930150807,0.3,1.3687590562459085e-09,1.0000000000000042,1.0000000232830648
100,E50-PC40,0.4,0.3999999906867743,0.4,1.8250120749945846e-09,0.9999999999999958,1.0000000232830648
100,E50-PC50,0.5,0.4999999883584678,0.5,2.2812650937430355e-09,1.0,1.0000000232830648
100,E50-PC60,0.6,0.5999999860301614,0.6,2.737518112491817e-09,1.0000000000000042,1.0000000232830648
100,E50-PC80,0.8,0.7999999813735486,0.8,3.650024149989169e-09,0.9999999999999958,1.0000000232830648
100,E50-PC100,1.0,0.9999999767169356,1.0,4.562530187486071e-09,1.0,1.0000000232830648
200,E50-PC10,0.1,0.09999999534338724,0.1,2.3264429902680425e-09,1.0000000000000027,1.0000000465661298
200,E50-PC20,0.2,0.1999999906867745,0.2,4.652885980536085e-09,1.0000000000000027,1.0000000465661298
200,E50-PC30,0.3,0.2999999860301617,0.3,6.979328970804207e-09,0.9999999999999933,1.0000000465661298
200,E50-PC40,0.4,0.399999981373549,0.4,9.30577196107217e-09,1.0000000000000027,1.0000000465661298
200,E50-PC50,0.5,0.4999999767169362,0.5,1.1632214951340188e-08,1.0,1.0000000465661298
200,E50-PC60,0.6,0.5999999720603234,0.6,1.3958657941608414e-08,0.9999999999999933,1.0000000465661298
200,E50-PC80,0.8,0.799999962747098,0.8,1.861154392214434e-08,1.0000000000000027,1.0000000465661298
200,E50-PC100,1.0,0.9999999534338724,1.0,2.3264429902680375e-08,1.0,1.0000000465661298
300,E50-PC10,0.1,0.09999999301508086,0.1,3.3241823077350183e-09,1.0000000000000124,1.0000000698491962
300,E50-PC20,0.2,0.19999998603016172,0.2,6.648364615470037e-09,1.0000000000000124,1.0000000698491962
300,E50-PC30,0.3,0.29999997904524256,0.3,9.972546923205072e-09,0.9999999999999903,1.0000000698491962
300,E50-PC40,0.4,0.39999997206032345,0.4,1.3296729230940073e-08,1.0000000000000124,1.0000000698491962
300,E50-PC50,0.5,0.4999999650754043,0.5,1.6620911538674866e-08,0.9999999999999989,1.0000000698491962
300,E50-PC60,0.6,0.5999999580904851,0.6,1.9945093846410144e-08,0.9999999999999903,1.0000000698491962
300,E50-PC80,0.8,0.7999999441206469,0.8,2.6593458461880147e-08,1.0000000000000124,1.0000000698491962
300,E50-PC100,1.0,0.9999999301508086,1.0,3.324182307734973e-08,0.9999999999999989,1.0000000698491962
400,E50-PC10,0.1,0.09999999068677491,0.1,3.9775213242536045e-09,1.0000000000000124,1.0000000931322597
400,E50-PC20,0.2,0.19999998137354982,0.2,7.955042648507209e-09,1.0000000000000124,1.0000000931322597
400,E50-PC30,0.3,0.29999997206032475,0.3,1.193256395497993e-08,0.9999999999999798,1.0000000931322595
400,E50-PC40,0.4,0.39999996274709965,0.4,1.5910085297014418e-08,1.0000000000000124,1.0000000931322597
400,E50-PC50,0.5,0.49999995343387454,0.5,1.988760661534086e-08,0.9999999999999938,1.0000000931322597
400,E50-PC60,0.6,0.5999999441206495,0.6,2.386512790995986e-08,0.9999999999999798,1.0000000931322595
400,E50-PC80,0.8,0.7999999254941993,0.8,3.1820170594028836e-08,1.0000000000000124,1.0000000931322597
400,E50-PC100,1.0,0.9999999068677491,1.0,3.977521323068172e-08,0.9999999999999938,1.0000000931322597
500,E50-PC10,0.1,0.09999998835846836,0.1,5.721383481986511e-09,1.0000000000000173,1.00000011641533
500,E50-PC20,0.2,0.19999997671693673,0.2,1.1442766963973022e-08,1.0000000000000173,1.00000011641533
500,E50-PC30,0.3,0.2999999650754051,0.3,1.7164150425498106e-08,0.9999999999999877,1.0000001164153298
500,E50-PC40,0.4,0.39999995343387346,0.4,2.2885533927946045e-08,1.0000000000000173,1.00000011641533
500,E50-PC50,0.5,0.49999994179234186,0.5,2.860691737583008e-08,0.9999999999999972,1.0000001164153298
500,E50-PC60,0.6,0.5999999301508102,0.6,3.432830085099621e-08,0.9999999999999877,1.0000001164153298
500,E50-PC80,0.8,0.7999999068677469,0.8,4.577106785589209e-08,1.0000000000000173,1.00000011641533
500,E50-PC100,1.0,0.9999998835846837,1.0,5.721383475166016e-08,0.9999999999999972,1.0000001164153298
