tag,arm,N,seed,k_active,U_exact,unique_coverage_rate_per_s,coverage_retention_vs_MT100
primary,E50-CONV100,100,7695027954463196593,100,234000000000000000000,2.34e+16,99.99999977189172
primary,E50-MT100,100,7695027954463196593,100,2340000005337733807,234000000533773.38,1.0
primary,E50-PC10,100,7695027954463196593,10,23399999978207051780,2339999997820705.0,9.999999967875945
primary,E50-PC20,100,7695027954463196593,20,46799999956414103552,4679999995641410.0,19.99999993575189
primary,E50-PC30,100,7695027954463196593,30,70199999934621155327,7019999993462116.0,29.999999903627838
primary,E50-PC40,100,7695027954463196593,40,93599999912828207104,9359999991282820.0,39.99999987150378
primary,E50-PC50,100,7695027954463196593,50,116999999891035258878,1.1699999989103526e+16,49.99999983937973
primary,E50-PC60,100,7695027954463196593,60,140399999869242310662,1.4039999986924232e+16,59.999999807255676
primary,E50-PC80,100,7695027954463196593,80,187199999825656414214,1.871999998256564e+16,79.99999974300756
primary,E50-PC100,100,7695027954463196593,100,233999999782070517764,2.3399999978207052e+16,99.99999967875947
primary,E50-CONV100,100,8525591707662220640,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,8525591707662220640,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,8525591707662220640,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,8525591707662220640,20,46799999956414103551,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,8525591707662220640,30,70199999934621155328,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,8525591707662220640,40,93599999912828207107,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,8525591707662220640,50,116999999891035258884,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,8525591707662220640,60,140399999869242310666,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,8525591707662220640,80,187199999825656414223,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,8525591707662220640,100,233999999782070517772,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,12108552042459345255,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,12108552042459345255,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,12108552042459345255,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,12108552042459345255,20,46799999956414103552,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,12108552042459345255,30,70199999934621155326,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,12108552042459345255,40,93599999912828207107,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,12108552042459345255,50,116999999891035258880,1.1699999989103526e+16,49.99999987543203
