tag,arm,N,seed,run_kind,template_epochs_completed,header_renewals,nonce_domain_exhaustions,nonce_resets
primary,ND-PW,100,467376819415377580,physical,54482369600,54482369600,54482369600,54482371600
primary,ND-PW-OFFSET,100,467376819415377580,physical,54482369600,54482369600,54482369600,0
primary,ND-PC,100,467376819415377580,physical,54482370554,54482370554,5448237055400,5448237055400
primary,ND-PC-NOLP,100,467376819415377580,derived,54482370554,54482370554,5448237055400,5448237055400
primary,ND-PW,100,2704408835578762228,physical,54482369600,54482369600,54482369600,54482371900
primary,ND-PW-OFFSET,100,2704408835578762228,physical,54482369600,54482369600,54482369600,0
primary,ND-PC,100,2704408835578762228,physical,54482370553,54482370553,5448237055300,5448237055300
primary,ND-PC-NOLP,100,2704408835578762228,derived,54482370553,54482370553,5448237055300,5448237055300
primary,ND-PW,100,11237067994138084197,physical,54482369500,54482369500,54482369500,54482371500
primary,ND-PW-OFFSET,100,11237067994138084197,physical,54482369500,54482369500,54482369500,0
primary,ND-PC,100,11237067994138084197,physical,54482370558,54482370558,5448237055800,5448237055800
primary,ND-PC-NOLP,100,11237067994138084197,derived,54482370558,54482370558,5448237055800,5448237055800
primary,ND-PW,100,5926412735843326529,physical,54482370100,54482370100,54482370100,54482371300
primary,ND-PW-OFFSET,100,5926412735843326529,physical,54482370100,54482370100,54482370100,0
primary,ND-PC,100,5926412735843326529,physical,54482370559,54482370559,5448237055900,5448237055900
primary,ND-PC-NOLP,100,5926412735843326529,derived,54482370559,54482370559,5448237055900,5448237055900
primary,ND-PW,100,5192363207272324882,physical,54482369800,54482369800,54482369800,54482371600
primary,ND-PW-OFFSET,100,5192363207272324882,physical,54482369800,54482369800,54482369800,0
primary,ND-PC,100,5192363207272324882,physical,54482370554,54482370554,5448237055400,5448237055400
primary,ND-PC-NOLP,100,5192363207272324882,derived,54482370554,54482370554,5448237055400,5448237055400
primary,ND-PW,100,14936110819278713214,physical,54482369700,54482369700,54482369700,54482371500
primary,ND-PW-OFFSET,100,14936110819278713214,physical,54482369700,54482369700,54482369700,0
