tag,arm,N,seed,run_kind,T_active_s,T_low_s,F_low
primary,ND-PW,100,467376819415377580,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,467376819415377580,physical,1000000.0,0.0,0.0
primary,ND-PC,100,467376819415377580,physical,999999.9990686774,0.0009313225735726496,9.313225735726496e-10
primary,ND-PC-NOLP,100,467376819415377580,derived,1000000.0,0.0,0.0
primary,ND-PW,100,2704408835578762228,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,2704408835578762228,physical,1000000.0,0.0,0.0
primary,ND-PC,100,2704408835578762228,physical,999999.9990686774,0.0009313225735555555,9.313225735555555e-10
primary,ND-PC-NOLP,100,2704408835578762228,derived,1000000.0,0.0,0.0
primary,ND-PW,100,11237067994138084197,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,11237067994138084197,physical,1000000.0,0.0,0.0
primary,ND-PC,100,11237067994138084197,physical,999999.9990686774,0.0009313225736410257,9.313225736410256e-10
primary,ND-PC-NOLP,100,11237067994138084197,derived,1000000.0,0.0,0.0
primary,ND-PW,100,5926412735843326529,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,5926412735843326529,physical,1000000.0,0.0,0.0
primary,ND-PC,100,5926412735843326529,physical,999999.9990686774,0.0009313225736581196,9.313225736581196e-10
primary,ND-PC-NOLP,100,5926412735843326529,derived,1000000.0,0.0,0.0
primary,ND-PW,100,5192363207272324882,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,5192363207272324882,physical,1000000.0,0.0,0.0
primary,ND-PC,100,5192363207272324882,physical,999999.9990686774,0.0009313225735726496,9.313225735726496e-10
primary,ND-PC-NOLP,100,5192363207272324882,derived,1000000.0,0.0,0.0
primary,ND-PW,100,14936110819278713214,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,14936110819278713214,physical,1000000.0,0.0,0.0
primary,ND-PC,100,14936110819278713214,physical,999999.9990686774,0.0009313225735897436,9.313225735897435e-10
primary,ND-PC-NOLP,100,14936110819278713214,derived,1000000.0,0.0,0.0
primary,ND-PW,100,15027284727339452496,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,15027284727339452496,physical,1000000.0,0.0,0.0
primary,ND-PC,100,15027284727339452496,physical,999999.9990686774,0.0009313225736239316,9.313225736239316e-10
primary,ND-PC-NOLP,100,15027284727339452496,derived,1000000.0,0.0,0.0
primary,ND-PW,100,529132900484142986,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,529132900484142986,physical,1000000.0,0.0,0.0
primary,ND-PC,100,529132900484142986,physical,999999.9990686774,0.0009313225736239316,9.313225736239316e-10
primary,ND-PC-NOLP,100,529132900484142986,derived,1000000.0,0.0,0.0
primary,ND-PW,100,8583420154531566926,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,8583420154531566926,physical,1000000.0,0.0,0.0
primary,ND-PC,100,8583420154531566926,physical,999999.9990686774,0.0009313225735897436,9.313225735897435e-10
primary,ND-PC-NOLP,100,8583420154531566926,derived,1000000.0,0.0,0.0
primary,ND-PW,100,16465068975321571430,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,16465068975321571430,physical,1000000.0,0.0,0.0
primary,ND-PC,100,16465068975321571430,physical,999999.9990686774,0.0009313225736752137,9.313225736752137e-10
primary,ND-PC-NOLP,100,16465068975321571430,derived,1000000.0,0.0,0.0
primary,ND-PW,100,1580318165844385263,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,1580318165844385263,physical,1000000.0,0.0,0.0
primary,ND-PC,100,1580318165844385263,physical,999999.9990686774,0.0009313225736410257,9.313225736410256e-10
primary,ND-PC-NOLP,100,1580318165844385263,derived,1000000.0,0.0,0.0
primary,ND-PW,100,860680765458012691,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,860680765458012691,physical,1000000.0,0.0,0.0
primary,ND-PC,100,860680765458012691,physical,999999.9990686774,0.0009313225734871795,9.313225734871794e-10
primary,ND-PC-NOLP,100,860680765458012691,derived,1000000.0,0.0,0.0
primary,ND-PW,100,405674777376978405,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,405674777376978405,physical,1000000.0,0.0,0.0
primary,ND-PC,100,405674777376978405,physical,999999.9990686774,0.0009313225735726496,9.313225735726496e-10
primary,ND-PC-NOLP,100,405674777376978405,derived,1000000.0,0.0,0.0
primary,ND-PW,100,5516199827559636311,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,5516199827559636311,physical,1000000.0,0.0,0.0
primary,ND-PC,100,5516199827559636311,physical,999999.9990686774,0.0009313225735897436,9.313225735897435e-10
primary,ND-PC-NOLP,100,5516199827559636311,derived,1000000.0,0.0,0.0
primary,ND-PW,100,676253669661655881,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,676253669661655881,physical,1000000.0,0.0,0.0
primary,ND-PC,100,676253669661655881,physical,999999.9990686774,0.0009313225736239316,9.313225736239316e-10
primary,ND-PC-NOLP,100,676253669661655881,derived,1000000.0,0.0,0.0
primary,ND-PW,100,4902971022134724746,physical,1000000.0,0.0,0.0
