tag,arm,N,seed,run_kind,per_miner_domain_size,per_miner_domain_size_max,C_nonce,U_nonce_run,R_nonce,rho_nonce,cross_miner_m_max,cross_miner_M_ge2,rho_exact_secondary,domain_sweeps_per_miner
primary,ND-PW,100,467376819415377580,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823696.0
primary,ND-PW-OFFSET,100,467376819415377580,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823696.0
primary,ND-PC,100,467376819415377580,physical,42949672,42949673,233999999782070517784,4294967296,233999999777775550488,0.9999999999816455,1,0,0.0,544823705.54
primary,ND-PC-NOLP,100,467376819415377580,derived,42949672,42949673,233999999782070517784,4294967296,233999999777775550488,0.9999999999816455,1,0,0.0,544823705.54
primary,ND-PW,100,2704408835578762228,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823696.0
primary,ND-PW-OFFSET,100,2704408835578762228,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823696.0
primary,ND-PC,100,2704408835578762228,physical,42949672,42949673,233999999782070517788,4294967296,233999999777775550492,0.9999999999816455,1,0,0.0,544823705.53
primary,ND-PC-NOLP,100,2704408835578762228,derived,42949672,42949673,233999999782070517788,4294967296,233999999777775550492,0.9999999999816455,1,0,0.0,544823705.53
primary,ND-PW,100,11237067994138084197,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823695.0
primary,ND-PW-OFFSET,100,11237067994138084197,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823695.0
primary,ND-PC,100,11237067994138084197,physical,42949672,42949673,233999999782070517768,4294967296,233999999777775550472,0.9999999999816455,1,0,0.0,544823705.58
primary,ND-PC-NOLP,100,11237067994138084197,derived,42949672,42949673,233999999782070517768,4294967296,233999999777775550472,0.9999999999816455,1,0,0.0,544823705.58
