tag,arm,N,seed,run_kind,block_retention,latency_ratio,saving_LP0,energy_per_block_ratio_LP0,saving_LP10,energy_per_block_ratio_LP10,saving_LP25,energy_per_block_ratio_LP25,saving_LP50,energy_per_block_ratio_LP50
primary,ND-PW-OFFSET,100,467376819415377580,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,467376819415377580,physical,1.0,1.0000000013021106,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618098,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343389
primary,ND-PC-NOLP,100,467376819415377580,derived,1.0,1.0000000013021106,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,2704408835578762228,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,2704408835578762228,physical,1.0,1.0000000010550854,9.313225746154785e-10,0.9999999990686775,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015082,4.656612873077393e-10,0.9999999995343388
primary,ND-PC-NOLP,100,2704408835578762228,derived,1.0,1.0000000010550854,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,11237067994138084197,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,11237067994138084197,physical,1.0,1.000000000882844,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618098,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343389
primary,ND-PC-NOLP,100,11237067994138084197,derived,1.0,1.000000000882844,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,5926412735843326529,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,5926412735843326529,physical,1.0,1.00000000088277,9.313225746154785e-10,0.9999999990686775,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015082,4.656612873077393e-10,0.9999999995343388
primary,ND-PC-NOLP,100,5926412735843326529,derived,1.0,1.00000000088277,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,5192363207272324882,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,5192363207272324882,physical,1.0,1.00000000078809,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015082,4.656612873077393e-10,0.9999999995343388
primary,ND-PC-NOLP,100,5192363207272324882,derived,1.0,1.00000000078809,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,14936110819278713214,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,14936110819278713214,physical,1.0,1.000000000935396,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015082,4.656612873077393e-10,0.9999999995343388
primary,ND-PC-NOLP,100,14936110819278713214,derived,1.0,1.000000000935396,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,15027284727339452496,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,15027284727339452496,physical,1.0,1.0000000010082004,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343388
primary,ND-PC-NOLP,100,15027284727339452496,derived,1.0,1.0000000010082004,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,529132900484142986,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,529132900484142986,physical,1.0,1.000000001207966,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,529132900484142986,derived,1.0,1.000000001207966,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,8583420154531566926,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,8583420154531566926,physical,1.0,1.000000001129697,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,8583420154531566926,derived,1.0,1.000000001129697,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,16465068975321571430,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,16465068975321571430,physical,1.0,1.0000000009153611,9.313225746154785e-10,0.9999999990686775,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015082,4.656612873077393e-10,0.9999999995343388
primary,ND-PC-NOLP,100,16465068975321571430,derived,1.0,1.0000000009153611,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,1580318165844385263,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,1580318165844385263,physical,1.0,1.0000000008417822,9.313225746154785e-10,0.9999999990686773,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,1580318165844385263,derived,1.0,1.0000000008417822,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,860680765458012691,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,860680765458012691,physical,1.0,1.0000000011087808,9.313225746154785e-10,0.9999999990686773,8.381902949494702e-10,0.9999999991618096,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343388
primary,ND-PC-NOLP,100,860680765458012691,derived,1.0,1.0000000011087808,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,405674777376978405,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,405674777376978405,physical,1.0,1.0000000011399677,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,405674777376978405,derived,1.0,1.0000000011399677,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,5516199827559636311,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,5516199827559636311,physical,1.0,1.0000000007962022,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,5516199827559636311,derived,1.0,1.0000000007962022,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
