tag,arm,N,seed,run_kind,rounds,accepted_blocks,W_total,t_active_miner_s,t_low_miner_s,F_low,state_time_conservation_rel,work_identity_rel
primary,ND-PW,100,467376819415377580,physical,20,19,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,467376819415377580,physical,20,19,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,467376819415377580,physical,20,19,233999999782070517784,999999.9990686774,0.0009313225735726496,9.313225735726496e-10,0.0,0.0
primary,ND-PC-NOLP,100,467376819415377580,derived,20,19,233999999782070517784,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,2704408835578762228,physical,23,22,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,2704408835578762228,physical,23,22,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,2704408835578762228,physical,23,22,233999999782070517788,999999.9990686774,0.0009313225735555555,9.313225735555555e-10,0.0,0.0
primary,ND-PC-NOLP,100,2704408835578762228,derived,23,22,233999999782070517788,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,11237067994138084197,physical,20,19,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,11237067994138084197,physical,20,19,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,11237067994138084197,physical,20,19,233999999782070517768,999999.9990686774,0.0009313225736410257,9.313225736410256e-10,0.0,0.0
primary,ND-PC-NOLP,100,11237067994138084197,derived,20,19,233999999782070517768,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,5926412735843326529,physical,12,11,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,5926412735843326529,physical,12,11,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,5926412735843326529,physical,12,11,233999999782070517764,999999.9990686774,0.0009313225736581196,9.313225736581196e-10,0.0,0.0
primary,ND-PC-NOLP,100,5926412735843326529,derived,12,11,233999999782070517764,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,5192363207272324882,physical,18,17,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
