tag,arm,N,seed,run_kind,alpha_case,alpha,energy_J,energy_kWh,saving_vs_ND_PW,energy_per_block_J
pilot,ND-PW,100,13119598877139152285,physical,LP0,0.0,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PW,100,13119598877139152285,physical,LP10,0.1,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PW,100,13119598877139152285,physical,LP25,0.25,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PW,100,13119598877139152285,physical,LP50,0.5,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PW-OFFSET,100,13119598877139152285,physical,LP0,0.0,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PW-OFFSET,100,13119598877139152285,physical,LP10,0.1,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PW-OFFSET,100,13119598877139152285,physical,LP25,0.25,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PW-OFFSET,100,13119598877139152285,physical,LP50,0.5,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PC,100,13119598877139152285,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,250714285.48078984
pilot,ND-PC,100,13119598877139152285,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,250714285.50413942
pilot,ND-PC,100,13119598877139152285,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,250714285.5391638
pilot,ND-PC,100,13119598877139152285,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,250714285.5975378
pilot,ND-PC-NOLP,100,13119598877139152285,derived,LP0,0.0,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PC-NOLP,100,13119598877139152285,derived,LP10,0.1,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PC-NOLP,100,13119598877139152285,derived,LP25,0.25,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PC-NOLP,100,13119598877139152285,derived,LP50,0.5,3510000000.0,975.0,0.0,250714285.7142857
pilot,ND-PW,100,18045328320792528348,physical,LP0,0.0,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PW,100,18045328320792528348,physical,LP10,0.1,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PW,100,18045328320792528348,physical,LP25,0.25,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PW,100,18045328320792528348,physical,LP50,0.5,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PW-OFFSET,100,18045328320792528348,physical,LP0,0.0,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PW-OFFSET,100,18045328320792528348,physical,LP10,0.1,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PW-OFFSET,100,18045328320792528348,physical,LP25,0.25,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PW-OFFSET,100,18045328320792528348,physical,LP50,0.5,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PC,100,18045328320792528348,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,194999999.8183921
pilot,ND-PC,100,18045328320792528348,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,194999999.8365529
pilot,ND-PC,100,18045328320792528348,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,194999999.86379406
pilot,ND-PC,100,18045328320792528348,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,194999999.90919605
pilot,ND-PC-NOLP,100,18045328320792528348,derived,LP0,0.0,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PC-NOLP,100,18045328320792528348,derived,LP10,0.1,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PC-NOLP,100,18045328320792528348,derived,LP25,0.25,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PC-NOLP,100,18045328320792528348,derived,LP50,0.5,3510000000.0,975.0,0.0,195000000.0
pilot,ND-PW,300,13119598877139152285,physical,LP0,0.0,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PW,300,13119598877139152285,physical,LP10,0.1,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PW,300,13119598877139152285,physical,LP25,0.25,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PW,300,13119598877139152285,physical,LP50,0.5,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PW-OFFSET,300,13119598877139152285,physical,LP0,0.0,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PW-OFFSET,300,13119598877139152285,physical,LP10,0.1,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PW-OFFSET,300,13119598877139152285,physical,LP25,0.25,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PW-OFFSET,300,13119598877139152285,physical,LP50,0.5,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PC,300,13119598877139152285,physical,LP0,0.0,10529999745.022512,2924.99992917292,2.4214386273868627e-08,752142838.9301795
pilot,ND-PC,300,13119598877139152285,physical,LP10,0.1,10529999770.520262,2924.999936255628,2.1792947557663922e-08,752142840.7514473
pilot,ND-PC,300,13119598877139152285,physical,LP25,0.25,10529999808.766884,2924.99994687969,1.816078976091262e-08,752142843.4833488
pilot,ND-PC,300,13119598877139152285,physical,LP50,0.5,10529999872.511255,2924.99996458646,1.2107193247956616e-08,752142848.0365182
pilot,ND-PC-NOLP,300,13119598877139152285,derived,LP0,0.0,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PC-NOLP,300,13119598877139152285,derived,LP10,0.1,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PC-NOLP,300,13119598877139152285,derived,LP25,0.25,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PC-NOLP,300,13119598877139152285,derived,LP50,0.5,10530000000.0,2925.0,0.0,752142857.1428572
pilot,ND-PW,300,18045328320792528348,physical,LP0,0.0,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PW,300,18045328320792528348,physical,LP10,0.1,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PW,300,18045328320792528348,physical,LP25,0.25,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PW,300,18045328320792528348,physical,LP50,0.5,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PW-OFFSET,300,18045328320792528348,physical,LP0,0.0,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PW-OFFSET,300,18045328320792528348,physical,LP10,0.1,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PW-OFFSET,300,18045328320792528348,physical,LP25,0.25,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PW-OFFSET,300,18045328320792528348,physical,LP50,0.5,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PC,300,18045328320792528348,physical,LP0,0.0,10529999745.022512,2924.99992917292,2.4214386273868627e-08,584999985.834584
pilot,ND-PC,300,18045328320792528348,physical,LP10,0.1,10529999770.520262,2924.999936255628,2.1792947557663922e-08,584999987.2511257
pilot,ND-PC,300,18045328320792528348,physical,LP25,0.25,10529999808.766884,2924.99994687969,1.816078976091262e-08,584999989.3759379
pilot,ND-PC,300,18045328320792528348,physical,LP50,0.5,10529999872.511255,2924.99996458646,1.2107193247956616e-08,584999992.917292
pilot,ND-PC-NOLP,300,18045328320792528348,derived,LP0,0.0,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PC-NOLP,300,18045328320792528348,derived,LP10,0.1,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PC-NOLP,300,18045328320792528348,derived,LP25,0.25,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PC-NOLP,300,18045328320792528348,derived,LP50,0.5,10530000000.0,2925.0,0.0,585000000.0
pilot,ND-PW,500,13119598877139152285,physical,LP0,0.0,17550000000.0,4875.0,0.0,1253571428.5714285
pilot,ND-PW,500,13119598877139152285,physical,LP10,0.1,17550000000.0,4875.0,0.0,1253571428.5714285
pilot,ND-PW,500,13119598877139152285,physical,LP25,0.25,17550000000.0,4875.0,0.0,1253571428.5714285
pilot,ND-PW,500,13119598877139152285,physical,LP50,0.5,17550000000.0,4875.0,0.0,1253571428.5714285
pilot,ND-PW-OFFSET,500,13119598877139152285,physical,LP0,0.0,17550000000.0,4875.0,0.0,1253571428.5714285
pilot,ND-PW-OFFSET,500,13119598877139152285,physical,LP10,0.1,17550000000.0,4875.0,0.0,1253571428.5714285
