tag,arm,N,seed,run_kind,template_epochs_completed,header_renewals,nonce_domain_exhaustions,nonce_resets
pilot,ND-PW,100,13119598877139152285,physical,54482370000,54482370000,54482370000,54482371500
pilot,ND-PW-OFFSET,100,13119598877139152285,physical,54482370000,54482370000,54482370000,0
pilot,ND-PC,100,13119598877139152285,physical,54482370558,54482370558,5448237055800,5448237055800
pilot,ND-PC-NOLP,100,13119598877139152285,derived,54482370558,54482370558,5448237055800,5448237055800
pilot,ND-PW,100,18045328320792528348,physical,54482369500,54482369500,54482369500,54482371400
pilot,ND-PW-OFFSET,100,18045328320792528348,physical,54482369500,54482369500,54482369500,0
pilot,ND-PC,100,18045328320792528348,physical,54482370555,54482370555,5448237055500,5448237055500
pilot,ND-PC-NOLP,100,18045328320792528348,derived,54482370555,54482370555,5448237055500,5448237055500
pilot,ND-PW,300,13119598877139152285,physical,163447110000,163447110000,163447110000,163447114500
pilot,ND-PW-OFFSET,300,13119598877139152285,physical,163447110000,163447110000,163447110000,0
pilot,ND-PC,300,13119598877139152285,physical,163447107881,163447107881,49034132364300,49034132364300
pilot,ND-PC-NOLP,300,13119598877139152285,derived,163447107881,163447107881,49034132364300,49034132364300
pilot,ND-PW,300,18045328320792528348,physical,163447108500,163447108500,163447108500,163447114200
pilot,ND-PW-OFFSET,300,18045328320792528348,physical,163447108500,163447108500,163447108500,0
pilot,ND-PC,300,18045328320792528348,physical,163447107877,163447107877,49034132363100,49034132363100
pilot,ND-PC-NOLP,300,18045328320792528348,derived,163447107877,163447107877,49034132363100,49034132363100
pilot,ND-PW,500,13119598877139152285,physical,272411850000,272411850000,272411850000,272411857500
pilot,ND-PW-OFFSET,500,13119598877139152285,physical,272411850000,272411850000,272411850000,0
pilot,ND-PC,500,13119598877139152285,physical,272411840129,272411840129,136205920064500,136205920064500
pilot,ND-PC-NOLP,500,13119598877139152285,derived,272411840129,272411840129,136205920064500,136205920064500
pilot,ND-PW,500,18045328320792528348,physical,272411847500,272411847500,272411847500,272411857000
pilot,ND-PW-OFFSET,500,18045328320792528348,physical,272411847500,272411847500,272411847500,0
pilot,ND-PC,500,18045328320792528348,physical,272411840126,272411840126,136205920063000,136205920063000
pilot,ND-PC-NOLP,500,18045328320792528348,derived,272411840126,272411840126,136205920063000,136205920063000
