tag,arm,N,seed,run_kind,T_active_s,T_low_s,F_low
pilot,ND-PW,100,13119598877139152285,physical,1000000.0,0.0,0.0
pilot,ND-PW-OFFSET,100,13119598877139152285,physical,1000000.0,0.0,0.0
pilot,ND-PC,100,13119598877139152285,physical,999999.9990686774,0.0009313225736410257,9.313225736410256e-10
pilot,ND-PC-NOLP,100,13119598877139152285,derived,1000000.0,0.0,0.0
pilot,ND-PW,100,18045328320792528348,physical,1000000.0,0.0,0.0
pilot,ND-PW-OFFSET,100,18045328320792528348,physical,1000000.0,0.0,0.0
pilot,ND-PC,100,18045328320792528348,physical,999999.9990686774,0.0009313225735897436,9.313225735897435e-10
pilot,ND-PC-NOLP,100,18045328320792528348,derived,1000000.0,0.0,0.0
pilot,ND-PW,300,13119598877139152285,physical,3000000.0,0.0,0.0
pilot,ND-PW-OFFSET,300,13119598877139152285,physical,3000000.0,0.0,0.0
pilot,ND-PC,300,13119598877139152285,physical,2999999.927356841,0.07264315905822222,2.4214386352740738e-08
pilot,ND-PC-NOLP,300,13119598877139152285,derived,3000000.0,0.0,0.0
pilot,ND-PW,300,18045328320792528348,physical,3000000.0,0.0,0.0
pilot,ND-PW-OFFSET,300,18045328320792528348,physical,3000000.0,0.0,0.0
pilot,ND-PC,300,18045328320792528348,physical,2999999.927356841,0.07264315905644445,2.421438635214815e-08
pilot,ND-PC-NOLP,300,18045328320792528348,derived,3000000.0,0.0,0.0
pilot,ND-PW,500,13119598877139152285,physical,5000000.0,0.0,0.0
pilot,ND-PW-OFFSET,500,13119598877139152285,physical,5000000.0,0.0,0.0
pilot,ND-PC,500,13119598877139152285,physical,4999999.762512755,0.23748724524066667,4.7497449048133335e-08
pilot,ND-PC-NOLP,500,13119598877139152285,derived,5000000.0,0.0,0.0
pilot,ND-PW,500,18045328320792528348,physical,5000000.0,0.0,0.0
pilot,ND-PW-OFFSET,500,18045328320792528348,physical,5000000.0,0.0,0.0
pilot,ND-PC,500,18045328320792528348,physical,4999999.762512755,0.2374872452380513,4.749744904761026e-08
pilot,ND-PC-NOLP,500,18045328320792528348,derived,5000000.0,0.0,0.0
