tag,arm,N,seed,run_kind,block_retention,latency_ratio,saving_LP0,energy_per_block_ratio_LP0,saving_LP10,energy_per_block_ratio_LP10,saving_LP25,energy_per_block_ratio_LP25,saving_LP50,energy_per_block_ratio_LP50
pilot,ND-PW-OFFSET,100,13119598877139152285,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PC,100,13119598877139152285,physical,1.0,1.0000000009305825,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343388
pilot,ND-PC-NOLP,100,13119598877139152285,derived,1.0,1.0000000009305825,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PW-OFFSET,100,18045328320792528348,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PC,100,18045328320792528348,physical,1.0,1.0000000009172716,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343387
pilot,ND-PC-NOLP,100,18045328320792528348,derived,1.0,1.0000000009172716,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PW-OFFSET,300,13119598877139152285,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PC,300,13119598877139152285,physical,1.0,1.0000000242136466,2.4214386273868627e-08,0.9999999757856137,2.1792947557663922e-08,0.9999999782070524,1.816078976091262e-08,0.9999999818392101,1.2107193247956616e-08,0.9999999878928066
pilot,ND-PC-NOLP,300,13119598877139152285,derived,1.0,1.0000000242136466,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PW-OFFSET,300,18045328320792528348,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PC,300,18045328320792528348,physical,1.0,1.000000024129886,2.4214386273868627e-08,0.9999999757856137,2.1792947557663922e-08,0.9999999782070524,1.816078976091262e-08,0.9999999818392101,1.2107193247956616e-08,0.9999999878928069
pilot,ND-PC-NOLP,300,18045328320792528348,derived,1.0,1.000000024129886,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PW-OFFSET,500,13119598877139152285,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PC,500,13119598877139152285,physical,1.0,1.000000047496711,4.7497449084943355e-08,0.999999952502551,4.2747704043222257e-08,0.9999999572522961,3.5623086813707516e-08,0.9999999643769132,2.3748724542471678e-08,0.9999999762512756
pilot,ND-PC-NOLP,500,13119598877139152285,derived,1.0,1.000000047496711,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PW-OFFSET,500,18045328320792528348,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
pilot,ND-PC,500,18045328320792528348,physical,1.0,1.0000000474411301,4.7497449084943355e-08,0.9999999525025509,4.2747704043222257e-08,0.999999957252296,3.5623086813707516e-08,0.9999999643769132,2.3748724542471678e-08,0.9999999762512755
pilot,ND-PC-NOLP,500,18045328320792528348,derived,1.0,1.0000000474411301,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
