tag,arm,N,seed,run_kind,rounds,accepted_blocks,W_total,t_active_miner_s,t_low_miner_s,F_low,state_time_conservation_rel,work_identity_rel
pilot,ND-PW,100,13119598877139152285,physical,15,14,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW-OFFSET,100,13119598877139152285,physical,15,14,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
pilot,ND-PC,100,13119598877139152285,physical,15,14,233999999782070517768,999999.9990686774,0.0009313225736410257,9.313225736410256e-10,0.0,0.0
pilot,ND-PC-NOLP,100,13119598877139152285,derived,15,14,233999999782070517768,1000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW,100,18045328320792528348,physical,19,18,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW-OFFSET,100,18045328320792528348,physical,19,18,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
pilot,ND-PC,100,18045328320792528348,physical,19,18,233999999782070517780,999999.9990686774,0.0009313225735897436,9.313225735897435e-10,0.0,0.0
pilot,ND-PC-NOLP,100,18045328320792528348,derived,19,18,233999999782070517780,1000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW,300,13119598877139152285,physical,15,14,702000000000000000000,3000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW-OFFSET,300,13119598877139152285,physical,15,14,702000000000000000000,3000000.0,0.0,0.0,0.0,0.0
pilot,ND-PC,300,13119598877139152285,physical,15,14,701999983001500780376,2999999.927356841,0.07264315905822222,2.4214386352740738e-08,0.0,0.0
pilot,ND-PC-NOLP,300,13119598877139152285,derived,15,14,701999983001500780376,3000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW,300,18045328320792528348,physical,19,18,702000000000000000000,3000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW-OFFSET,300,18045328320792528348,physical,19,18,702000000000000000000,3000000.0,0.0,0.0,0.0,0.0
pilot,ND-PC,300,18045328320792528348,physical,19,18,701999983001500780792,2999999.927356841,0.07264315905644445,2.421438635214815e-08,0.0,0.0
pilot,ND-PC-NOLP,300,18045328320792528348,derived,19,18,701999983001500780792,3000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW,500,13119598877139152285,physical,15,14,1170000000000000000000,5000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW-OFFSET,500,13119598877139152285,physical,15,14,1170000000000000000000,5000000.0,0.0,0.0,0.0,0.0
pilot,ND-PC,500,13119598877139152285,physical,15,14,1169999944427984613684,4999999.762512755,0.23748724524066667,4.7497449048133335e-08,0.0,0.0
pilot,ND-PC-NOLP,500,13119598877139152285,derived,15,14,1169999944427984613684,5000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW,500,18045328320792528348,physical,19,18,1170000000000000000000,5000000.0,0.0,0.0,0.0,0.0
pilot,ND-PW-OFFSET,500,18045328320792528348,physical,19,18,1170000000000000000000,5000000.0,0.0,0.0,0.0,0.0
pilot,ND-PC,500,18045328320792528348,physical,19,18,1169999944427984614296,4999999.762512755,0.2374872452380513,4.749744904761026e-08,0.0,0.0
pilot,ND-PC-NOLP,500,18045328320792528348,derived,19,18,1169999944427984614296,5000000.0,0.0,0.0,0.0,0.0
