tag,arm,N,seed,run_kind,accepted_blocks,closed_rounds,mean_interval_s,median_interval_s,p95_interval_s,blocks_per_hour,stale_blocks
pilot,ND-PW,100,13119598877139152285,physical,14,15,626.6322689637997,482.5241380149736,1729.741340259706,5.04,0
pilot,ND-PW-OFFSET,100,13119598877139152285,physical,14,15,626.6322689637997,482.5241380149736,1729.741340259706,5.04,0
pilot,ND-PC,100,13119598877139152285,physical,14,15,626.6322695332091,482.52413846400214,1729.7413418443268,5.04,0
pilot,ND-PC-NOLP,100,13119598877139152285,derived,14,15,626.6322695332091,482.52413846400214,1729.7413418443268,5.04,0
pilot,ND-PW,100,18045328320792528348,physical,18,19,537.5853687348124,434.22222262741224,1532.7602361520314,6.48,0
pilot,ND-PW-OFFSET,100,18045328320792528348,physical,18,19,537.5853687348124,434.22222262741224,1532.7602361520314,6.48,0
pilot,ND-PC,100,18045328320792528348,physical,18,19,537.5853692243411,434.22222302571197,1532.7602375047788,6.48,0
pilot,ND-PC-NOLP,100,18045328320792528348,derived,18,19,537.5853692243411,434.22222302571197,1532.7602375047788,6.48,0
pilot,ND-PW,300,13119598877139152285,physical,14,15,626.6322689637998,482.5241380149737,1729.741340259706,5.04,0
pilot,ND-PW-OFFSET,300,13119598877139152285,physical,14,15,626.6322689637998,482.5241380149737,1729.741340259706,5.04,0
pilot,ND-PC,300,13119598877139152285,physical,14,15,626.6322841274987,482.5241496986427,1729.7413821180057,5.04,0
pilot,ND-PC-NOLP,300,13119598877139152285,derived,14,15,626.6322841274987,482.5241496986427,1729.7413821180057,5.04,0
pilot,ND-PW,300,18045328320792528348,physical,18,19,537.5853687348124,434.2222226274123,1532.7602361520314,6.48,0
pilot,ND-PW-OFFSET,300,18045328320792528348,physical,18,19,537.5853687348124,434.2222226274123,1532.7602361520314,6.48,0
pilot,ND-PC,300,18045328320792528348,physical,18,19,537.5853817477738,434.22223310514505,1532.760273253316,6.48,0
pilot,ND-PC-NOLP,300,18045328320792528348,derived,18,19,537.5853817477738,434.22223310514505,1532.760273253316,6.48,0
pilot,ND-PW,500,13119598877139152285,physical,14,15,626.6322689637998,482.5241380149737,1729.741340259706,5.04,0
pilot,ND-PW-OFFSET,500,13119598877139152285,physical,14,15,626.6322689637998,482.5241380149737,1729.741340259706,5.04,0
pilot,ND-PC,500,13119598877139152285,physical,14,15,626.6322987261584,482.52416093328327,1729.741422428394,5.04,0
pilot,ND-PC-NOLP,500,13119598877139152285,derived,14,15,626.6322987261584,482.52416093328327,1729.741422428394,5.04,0
pilot,ND-PW,500,18045328320792528348,physical,18,19,537.5853687348124,434.22222262741235,1532.7602361520314,6.48,0
pilot,ND-PW-OFFSET,500,18045328320792528348,physical,18,19,537.5853687348124,434.22222262741235,1532.7602361520314,6.48,0
pilot,ND-PC,500,18045328320792528348,physical,18,19,537.5853942698469,434.22224322740533,1532.7603089529075,6.48,0
pilot,ND-PC-NOLP,500,18045328320792528348,derived,18,19,537.5853942698469,434.22224322740533,1532.7603089529075,6.48,0
